layer,expert,target_delta_nll,control_delta_nll,causal_specificity
36,229,1.2857521772384644,-0.03184548392891884,1.2857521772384644
38,60,0.19167040288448334,0.0024572263937443495,0.18982748308917508
36,252,0.11167460680007935,0.010621885769069195,0.10370819247327745
27,146,0.2327473759651184,0.18054868280887604,0.09733586385846138
27,40,0.09210789203643799,-0.004402244929224253,0.09210789203643799
33,1,0.0908670425415039,-0.025969192385673523,0.0908670425415039
38,210,0.06898041814565659,4.371007435111096e-06,0.06897713989008025
33,251,0.057142455130815506,-0.0030486981850117445,0.057142455130815506
33,169,0.04257045313715935,-0.0030087034683674574,0.04257045313715935
27,69,0.03329308703541756,-0.04564778506755829,0.03329308703541756
33,166,0.048079151660203934,0.03190651163458824,0.024149267934262753
36,37,0.010175228118896484,-0.005211988929659128,0.010175228118896484
27,29,0.016981204971671104,0.012486626394093037,0.007616235176101327
36,250,0.01876002550125122,0.015420611016452312,0.007194567238911986
38,203,0.0066088042221963406,-0.015369176864624023,0.0066088042221963406
33,133,0.0049744644202291965,-9.014705574372783e-05,0.0049744644202291965
33,119,0.00640098238363862,0.0070641785860061646,0.001102848444133997
36,122,0.00043364366865716875,-0.012857501395046711,0.00043364366865716875
27,73,0.0,0.0,0.0
38,181,0.0,0.0,0.0
38,171,0.0,-1.1156002983625513e-05,0.0
27,133,0.0,0.0,0.0
27,195,0.0,0.0,0.0
38,90,0.0,0.0,0.0
36,204,0.0,-1.5457471818081103e-05,0.0
38,157,-1.0271866813127417e-05,-0.0006011973018757999,-1.0271866813127417e-05
33,140,-7.915496826171875e-05,-0.01370673906058073,-7.915496826171875e-05
36,172,-0.0008784334058873355,0.0014544874429702759,-0.0019692989881150424
33,55,-0.0017865300178527832,0.0016336491098627448,-0.003011766850249842
38,71,-0.003130535362288356,-0.0038908671122044325,-0.003130535362288356
38,18,-0.0035646159667521715,-0.00408211862668395,-0.0035646159667521715
36,62,-0.004397491458803415,-0.005058040376752615,-0.004397491458803415
36,149,-0.0025344889145344496,0.004454230424016714,-0.005875161732546985
36,193,-0.003937045577913523,0.005821918603032827,-0.008303484530188143
33,153,-0.006297329906374216,0.00773686682805419,-0.012099980027414858
33,100,-0.012184877879917622,0.0025075774174183607,-0.014065560942981392
27,139,-0.03326179459691048,-0.025893932208418846,-0.03326179459691048
27,249,-0.03590160608291626,0.0033931087236851454,-0.03844643762568012
27,141,-0.037174880504608154,0.025025760754942894,-0.055944201070815325
