layer,target_delta_nll,control_delta_nll,causal_specificity
36,1.3797293901443481,-0.1783042550086975,1.3797293901443481
27,0.3766305148601532,0.09312925487756729,0.30678357370197773
38,0.2884698212146759,-0.08959203958511353,0.2884698212146759
33,0.26326289772987366,0.002164562465623021,0.2616394758806564
31,0.06803125143051147,-0.15610015392303467,0.06803125143051147
34,0.055333059281110764,-0.0673825740814209,0.055333059281110764
25,0.37798914313316345,0.48278605937957764,0.015899598598480225
8,0.03770897909998894,0.05989748612046242,-0.007214135490357876
22,-0.02088375948369503,-0.24393053352832794,-0.02088375948369503
13,-0.04055054858326912,-0.0798788070678711,-0.04055054858326912
7,-0.05943385884165764,-0.18689686059951782,-0.05943385884165764
29,0.08865085989236832,0.2128468006849289,-0.07098424062132835
17,-0.07937821000814438,-0.06826885789632797,-0.07937821000814438
37,-0.12120068073272705,-0.155003622174263,-0.12120068073272705
10,-0.13006074726581573,-0.08978267759084702,-0.13006074726581573
2,-0.15558075904846191,-0.03368500992655754,-0.15558075904846191
23,0.029836555942893028,0.2555687427520752,-0.16184000112116337
24,-0.1645912528038025,-0.30333805084228516,-0.1645912528038025
9,-0.11992653459310532,0.06239672377705574,-0.16672407742589712
32,-0.08845973014831543,0.12496975809335709,-0.18218704871833324
1,-0.03829183056950569,0.20921920239925385,-0.19520623236894608
18,-0.19986224174499512,-0.07407340407371521,-0.19986224174499512
3,-0.20998074114322662,-0.046373337507247925,-0.20998074114322662
16,-0.11588927358388901,0.1482500284910202,-0.22707679495215416
28,-0.23135586082935333,-0.05020271614193916,-0.23135586082935333
21,-0.18204033374786377,0.10063778609037399,-0.25751867331564426
12,-0.2576249837875366,-0.06407805532217026,-0.2576249837875366
26,-0.26943495869636536,-0.16035307943820953,-0.26943495869636536
11,-0.28111597895622253,-0.14771513640880585,-0.28111597895622253
39,-0.3039960563182831,-0.2408543825149536,-0.3039960563182831
19,-0.30703702569007874,-0.16391579806804657,-0.30703702569007874
14,-0.35265612602233887,-0.11753219366073608,-0.35265612602233887
6,-0.3880902826786041,-0.3723401725292206,-0.3880902826786041
20,-0.3944309651851654,-0.2927936911582947,-0.3944309651851654
5,-0.4100660979747772,-0.005698551889508963,-0.4100660979747772
4,-0.43042269349098206,-0.17545843124389648,-0.43042269349098206
35,-0.5616060495376587,-0.16089844703674316,-0.5616060495376587
30,-0.7368857264518738,-0.34381532669067383,-0.7368857264518738
15,-0.8188522458076477,-0.5167608857154846,-0.8188522458076477
