method,family,lr,updates,trainable_params,target_improvement,control_improvement,control_abs_shift,specific_gain,selective_target_gain,relative_target_improvement,relative_control_improvement,generation_accuracy,target_nll,control_nll,parameter_delta_l2,peak_gpu_gib,train_wall_seconds,order_seed,selected_updates,base_generation_accuracy,generation_accuracy_gain
gradient_experts,full_expert,1e-05,0,12582912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7604166666666666,1.0465847253799438,1.6690949201583862,0.0,,0.0,17,0,0.7604166666666666,0.0
gradient_experts,full_expert,1e-05,0,12582912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7604166666666666,1.0465847253799438,1.6690949201583862,0.0,,0.0,43,0,0.7604166666666666,0.0
gradient_experts,full_expert,1e-05,0,12582912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7604166666666666,1.0465847253799438,1.6690949201583862,0.0,,0.0,71,0,0.7604166666666666,0.0
gradient_specific_experts,full_expert,1e-05,8,12582912,0.03630876541137695,0.004712343215942383,0.004712343215942383,0.03159642219543457,0.03159642219543457,0.03469261926997425,0.002823292527602452,0.7604166666666666,1.010275959968567,1.6643825769424438,0.1502247497832205,63.13094615936279,40.85870003700256,17,8,0.7604166666666666,0.0
gradient_specific_experts,full_expert,1e-05,8,12582912,0.03697550296783447,0.0026710033416748047,0.0026710033416748047,0.03430449962615967,0.03430449962615967,0.035329679548314806,0.0016002704875654069,0.7604166666666666,1.0096092224121094,1.6664239168167114,0.15121552883751882,63.10843276977539,40.765668869018555,43,8,0.7604166666666666,0.0
gradient_specific_experts,full_expert,1e-05,8,12582912,0.03591489791870117,0.003741741180419922,0.003741741180419922,0.03217315673828125,0.03217315673828125,0.034316283285773075,0.0022417785443052305,0.7760416666666666,1.0106698274612427,1.6653531789779663,0.15148992561359131,63.10843276977539,40.90673112869263,71,8,0.7604166666666666,0.015625
contrastive_experts,full_expert,1e-05,8,12582912,0.056721508502960205,0.0336611270904541,0.0336611270904541,0.023060381412506104,0.023060381412506104,0.05419676699597204,0.020167293473794697,0.7916666666666666,0.9898632168769836,1.6354337930679321,0.175541372340278,63.13094615936279,40.87297248840332,17,8,0.7604166666666666,0.03125
contrastive_experts,full_expert,1e-05,8,12582912,0.05839055776596069,0.03297781944274902,0.03297781944274902,0.02541273832321167,0.02541273832321167,0.055791524899967415,0.01975790534406494,0.78125,0.9881941676139832,1.6361171007156372,0.1707753985134135,63.10843276977539,40.618414640426636,43,8,0.7604166666666666,0.02083333333333337
contrastive_experts,full_expert,1e-05,8,12582912,0.05881577730178833,0.03486466407775879,0.03486466407775879,0.02395111322402954,0.02395111322402954,0.05619781741075603,0.02088836509936197,0.765625,0.9877689480781555,1.6342302560806274,0.17837318895655452,63.10843276977539,40.78723382949829,71,8,0.7604166666666666,0.00520833333333337
standard_lora,lora,1e-05,16,12288000,0.0018453598022460938,0.007752895355224609,0.007752895355224609,-0.005907535552978516,-0.005907535552978516,0.001763220652371139,0.004644969714777462,0.7708333333333334,1.0447393655776978,1.6613420248031616,0.25153246748716235,63.03504180908203,87.51536655426025,17,16,0.7604166666666666,0.01041666666666674
standard_lora,lora,1e-05,16,12288000,0.002156972885131836,0.005838632583618164,0.005838632583618164,-0.003681659698486328,-0.003681659698486328,0.002060963467958875,0.0034980830107997187,0.7604166666666666,1.044427752494812,1.663256287574768,0.25263809506526386,63.03504180908203,87.74763703346252,43,16,0.7604166666666666,0.0
