method,family,lr,updates,trainable_params,target_improvement,control_improvement,control_abs_shift,specific_gain,selective_target_gain,relative_target_improvement,relative_control_improvement,generation_accuracy,target_nll,control_nll,parameter_delta_l2,peak_gpu_gib,train_wall_seconds,order_seed,base_generation_accuracy,generation_accuracy_gain
standard_lora_v10_policy,lora,1e-05,16,12288000,0.0050373077392578125,0.006584763526916504,0.006584763526916504,-0.0015474557876586914,-0.0015474557876586914,0.004945345019621162,0.003970008849633211,0.7760416666666666,1.0135585069656372,1.6520421504974365,0.24942273328305398,63.11926555633545,144.15606451034546,107,0.78125,-0.00520833333333337
standard_lora_v10_policy,lora,1e-05,16,12288000,0.0032351016998291016,0.008124947547912598,0.008124947547912598,-0.004889845848083496,-0.004889845848083496,0.003176040636654655,0.00489859864157088,0.7708333333333334,1.015360713005066,1.6505019664764404,0.25453107264250036,63.11926555633545,149.91966366767883,211,0.78125,-0.01041666666666663
standard_lora_v10_policy,lora,1e-05,16,12288000,0.002113938331604004,0.00029718875885009766,0.00029718875885009766,0.0018167495727539062,0.0018167495727539062,0.002075345589571707,0.00017917758137001637,0.8020833333333334,1.016481876373291,1.658329725265503,0.2533413428719724,63.10204792022705,142.7318992614746,503,0.78125,0.02083333333333337
standard_lora_v10_policy,lora,1e-05,16,12288000,0.0029854774475097656,0.006010651588439941,0.006010651588439941,-0.0030251741409301758,-0.0030251741409301758,0.0029309736054381006,0.0036238719736291997,0.7838541666666666,1.0156103372573853,1.652616262435913,0.2526407878490875,63.10204792022705,140.48711824417114,887,0.78125,0.0026041666666666297
standard_lora_v10_policy,lora,1e-05,16,12288000,0.002550363540649414,0.00014400482177734375,0.00014400482177734375,0.0024063587188720703,0.0024063587188720703,0.0025038032788189876,8.68217081006738e-05,0.7578125,1.0160454511642456,1.6584829092025757,0.2521161199418997,63.11926555633545,140.74394011497498,1597,0.78125,-0.0234375
guided_lora_v10_policy,lora,1e-05,4,12644352,0.0019044876098632812,0.0006053447723388672,0.0006053447723388672,0.001299142837524414,0.001299142837524414,0.001869718667963548,0.00036496741203246815,0.7890625,1.0166913270950317,1.6580215692520142,0.06926896316571912,63.037673473358154,67.05234813690186,107,0.78125,0.0078125
guided_lora_fixed8,lora,1e-05,8,12644352,0.0052642822265625,0.0011924505233764648,0.0011924505233764648,0.004071831703186035,0.004071831703186035,0.005168175787260283,0.0007189383660025165,0.7708333333333334,1.0133315324783325,1.6574344635009766,0.13344634584397522,63.037673473358154,67.05234813690186,107,0.78125,-0.01041666666666663
guided_lora_v10_policy,lora,1e-05,4,12644352,0.0019981861114501953,0.0009156465530395508,0.0009156465530395508,0.0010825395584106445,0.0010825395584106445,0.0019617065793944037,0.0005520509436434399,0.7786458333333334,1.0165976285934448,1.6577112674713135,0.06950618371592696,63.08027267456055,66.60715079307556,211,0.78125,-0.0026041666666666297
guided_lora_fixed8,lora,1e-05,8,12644352,0.004557132720947266,0.00299990177154541,0.00299990177154541,0.0015572309494018555,0.0015572309494018555,0.004473936231779576,0.001808665798305841,0.78125,1.0140386819839478,1.6556270122528076,0.1359652297212165,63.08027267456055,66.60715079307556,211,0.78125,0.0
guided_lora_v10_policy,lora,1e-05,4,12644352,0.0019092559814453125,-0.0011347532272338867,0.0011347532272338867,0.0030440092086791992,0.0007745027542114258,0.0018743999866114287,-0.0006841521849423128,0.7994791666666666,1.0166865587234497,1.659761667251587,0.07095579265293328,63.08027267456055,66.79750323295593,503,0.78125,0.01822916666666663
guided_lora_fixed8,lora,1e-05,8,12644352,0.0066661834716796875,0.003319859504699707,0.003319859504699707,0.0033463239669799805,0.0033463239669799805,0.006544483469737206,0.002001570984185153,0.7942708333333334,1.0119296312332153,1.6553070545196533,0.13761584347201544,63.08027267456055,66.79750323295593,503,0.78125,0.01302083333333337
guided_lora_v10_policy,lora,1e-05,4,12644352,0.0011413097381591797,-0.0016603469848632812,0.0016603469848632812,0.002801656723022461,-0.0005190372467041016,0.0011204736183702433,-0.0010010370450547887,0.7786458333333334,1.0174545049667358,1.6602872610092163,0.07071229508816514,63.04147720336914,67.5662190914154,887,0.78125,-0.0026041666666666297
guided_lora_fixed8,lora,1e-05,8,12644352,0.0038062334060668945,0.0030099153518676758,0.0030099153518676758,0.0007963180541992188,0.0007963180541992188,0.0037367455777045644,0.0018147030693989343,0.7890625,1.0147895812988281,1.6556169986724854,0.13636905129740073,63.04147720336914,67.5662190914154,887,0.78125,0.0078125
guided_lora_v10_policy,lora,1e-05,4,12644352,0.0018186569213867188,-0.0019474029541015625,0.0019474029541015625,0.0037660598754882812,-0.00012874603271484375,0.0017854549323016956,-0.001174105483056794,0.7838541666666666,1.0167771577835083,1.6605743169784546,0.06993375214206811,63.09940719604492,66.63736891746521,1597,0.78125,0.0026041666666666297
guided_lora_fixed8,lora,1e-05,8,12644352,0.0046225786209106445,-0.0004545450210571289,0.0004545450210571289,0.0050771236419677734,0.004168033599853516,0.004538187330221739,-0.0002740489842614811,0.7734375,1.0139732360839844,1.6590814590454102,0.1363276631133892,63.09940719604492,66.63736891746521,1597,0.78125,-0.0078125
