method,family,lr,updates,trainable_params,target_improvement,control_improvement,control_abs_shift,specific_gain,selective_target_gain,relative_target_improvement,relative_control_improvement,generation_accuracy,target_nll,control_nll,parameter_delta_l2,peak_gpu_gib,train_wall_seconds,placement_id,order_seed,layers_json,base_generation_accuracy,generation_accuracy_gain
random_signature_00,lora,1e-05,8,12644352,0.0036298036575317383,0.003438115119934082,0.003438115119934082,0.00019168853759765625,0.00019168853759765625,0.003563536787732979,0.0020728682809035867,0.765625,1.0149660110473633,1.655188798904419,0.12501023623842242,63.037673473358154,68.70037174224854,random_signature_00,107,"[1, 8, 10, 13, 20, 28, 30, 35]",0.78125,-0.015625
random_signature_00,lora,1e-05,8,12644352,0.004383444786071777,0.004364371299743652,0.004364371299743652,1.9073486328125e-05,1.9073486328125e-05,0.004303419200030522,0.0026313158570147087,0.796875,1.0142123699188232,1.6542625427246094,0.12756381423733817,63.08027267456055,67.49228715896606,random_signature_00,211,"[1, 8, 10, 13, 20, 28, 30, 35]",0.78125,0.015625
random_signature_00,lora,1e-05,8,12644352,0.0020151138305664062,0.002553701400756836,0.002553701400756836,-0.0005385875701904297,-0.0005385875701904297,0.00197832526059438,0.0015396478732886043,0.7786458333333334,1.0165807008743286,1.6560732126235962,0.12619940492429677,63.08027267456055,67.59318709373474,random_signature_00,503,"[1, 8, 10, 13, 20, 28, 30, 35]",0.78125,-0.0026041666666666297
random_signature_01,lora,1e-05,8,12644352,0.0027997493743896484,0.004883766174316406,0.004883766174316406,-0.002084016799926758,-0.002084016799926758,0.002748636244103148,0.0029444633588314602,0.7838541666666666,1.0157960653305054,1.6537431478500366,0.12125284425764106,63.037673473358154,67.86103296279907,random_signature_01,107,"[1, 2, 8, 11, 12, 16, 21, 26]",0.78125,0.0026041666666666297
random_signature_01,lora,1e-05,8,12644352,7.915496826171875e-05,0.0017074346542358398,0.0017074346542358398,-0.001628279685974121,-0.001628279685974121,7.770988955481946e-05,0.0010294265936473103,0.7942708333333334,1.0185166597366333,1.6569194793701172,0.12567452005229726,63.08027267456055,67.79645657539368,random_signature_01,211,"[1, 2, 8, 11, 12, 16, 21, 26]",0.78125,0.01302083333333337
random_signature_01,lora,1e-05,8,12644352,0.0026869773864746094,-0.004600882530212402,0.004600882530212402,0.007287859916687012,-0.001913905143737793,0.0026379230580807693,-0.002773910450451577,0.8098958333333334,1.0159088373184204,1.6632277965545654,0.12380575984394734,63.08027267456055,69.48585295677185,random_signature_01,503,"[1, 2, 8, 11, 12, 16, 21, 26]",0.78125,0.02864583333333337
random_signature_02,lora,1e-05,8,12644352,0.0038224458694458008,0.0015516281127929688,0.0015516281127929688,0.002270817756652832,0.002270817756652832,0.003752662061107359,0.0009354895303297766,0.7942708333333334,1.0147733688354492,1.65707528591156,0.1273153616229139,63.037673473358154,71.3495557308197,random_signature_02,107,"[4, 8, 16, 19, 26, 27, 33, 34]",0.78125,0.01302083333333337
random_signature_02,lora,1e-05,8,12644352,0.0030069351196289062,-0.0009548664093017578,0.0009548664093017578,0.003961801528930664,0.0020520687103271484,0.0029520395393535636,-0.0005756969220913884,0.7994791666666666,1.0155888795852661,1.6595817804336548,0.1304032224499939,63.08027267456055,71.73580288887024,random_signature_02,211,"[4, 8, 16, 19, 26, 27, 33, 34]",0.78125,0.01822916666666663
random_signature_02,lora,1e-05,8,12644352,0.0021207332611083984,-0.0017652511596679688,0.0017652511596679688,0.003885984420776367,0.0003554821014404297,0.0020820164686449374,-0.0010642846469824318,0.7786458333333334,1.0164750814437866,1.660392165184021,0.12923602925753938,63.08027267456055,70.87356090545654,random_signature_02,503,"[4, 8, 16, 19, 26, 27, 33, 34]",0.78125,-0.0026041666666666297
random_signature_03,lora,1e-05,8,12644352,0.003949403762817383,0.005455732345581055,0.005455732345581055,-0.0015063285827636719,-0.0015063285827636719,0.0038773021701071823,0.0032893065338869512,0.7708333333333334,1.0146464109420776,1.653171181678772,0.12841014265751138,63.037673473358154,69.95886993408203,random_signature_03,107,"[1, 9, 12, 20, 25, 26, 36, 37]",0.78125,-0.01041666666666663
random_signature_03,lora,1e-05,8,12644352,0.0041005611419677734,0.003961682319641113,0.003961682319641113,0.00013887882232666016,0.00013887882232666016,0.004025699971245,0.0023885313123424607,0.7708333333333334,1.0144952535629272,1.654665231704712,0.13132330090025046,63.08027267456055,67.29707646369934,random_signature_03,211,"[1, 9, 12, 20, 25, 26, 36, 37]",0.78125,-0.01041666666666663
random_signature_03,lora,1e-05,8,12644352,0.004586338996887207,-0.0003770589828491211,0.0003770589828491211,0.004963397979736328,0.004209280014038086,0.004502609308497846,-0.00022733200556492652,0.8098958333333334,1.0140094757080078,1.6590039730072021,0.1291333056991909,63.08027267456055,71.94399166107178,random_signature_03,503,"[1, 9, 12, 20, 25, 26, 36, 37]",0.78125,0.02864583333333337
random_signature_04,lora,1e-05,8,12644352,0.001535654067993164,0.002050161361694336,0.002050161361694336,-0.0005145072937011719,-0.0005145072937011719,0.0015076186705499765,0.001236059384035917,0.8046875,1.0170601606369019,1.6565767526626587,0.12776030576902925,63.037673473358154,68.21581959724426,random_signature_04,107,"[4, 12, 15, 22, 25, 30, 35, 36]",0.78125,0.0234375
random_signature_04,lora,1e-05,8,12644352,0.0022916793823242188,0.0008770227432250977,0.0008770227432250977,0.001414656639099121,0.001414656639099121,0.00224984174217146,0.0005287643265700804,0.7760416666666666,1.0163041353225708,1.657749891281128,0.13081840950756196,63.08027267456055,68.37227416038513,random_signature_04,211,"[4, 12, 15, 22, 25, 30, 35, 36]",0.78125,-0.00520833333333337
random_signature_04,lora,1e-05,8,12644352,0.0036973953247070312,0.004789948463439941,0.004789948463439941,-0.0010925531387329102,-0.0010925531387329102,0.003629894479566688,0.00288789987847117,0.7838541666666666,1.014898419380188,1.653836965560913,0.12919208895500756,63.08027267456055,71.78311228752136,random_signature_04,503,"[4, 12, 15, 22, 25, 30, 35, 36]",0.78125,0.0026041666666666297
random_signature_05,lora,1e-05,8,12644352,0.0054738521575927734,0.0010329484939575195,0.0010329484939575195,0.004440903663635254,0.004440903663635254,0.005373919741834639,0.0006227732621625318,0.8020833333333334,1.0131219625473022,1.6575939655303955,0.12463448188065052,63.037673473358154,72.25629734992981,random_signature_05,107,"[2, 3, 6, 8, 20, 25, 34, 36]",0.78125,0.02083333333333337
random_signature_05,lora,1e-05,8,12644352,0.003266453742980957,0.0034869909286499023,0.0034869909286499023,-0.0002205371856689453,-0.0002205371856689453,0.00320682030676447,0.002102335913619875,0.7786458333333334,1.015329360961914,1.6551399230957031,0.12788848716358456,63.08027267456055,69.38525891304016,random_signature_05,211,"[2, 3, 6, 8, 20, 25, 34, 36]",0.78125,-0.0026041666666666297
random_signature_05,lora,1e-05,8,12644352,0.003075242042541504,0.0003312826156616211,0.0003312826156616211,0.002743959426879883,0.002743959426879883,0.0030190994289844546,0.0001997330519965004,0.7942708333333334,1.0155205726623535,1.6582956314086914,0.12454112988004214,63.08027267456055,73.89910125732422,random_signature_05,503,"[2, 3, 6, 8, 20, 25, 34, 36]",0.78125,0.01302083333333337
