method,family,lr,updates,trainable_params,target_improvement,control_improvement,control_abs_shift,specific_gain,selective_target_gain,relative_target_improvement,relative_control_improvement,generation_accuracy,target_nll,control_nll,parameter_delta_l2,peak_gpu_gib,train_wall_seconds,order_seed,base_generation_accuracy,generation_accuracy_gain
stratified_lora_unconditioned,lora,1e-05,8,12644352,0.0027997493743896484,0.004883766174316406,0.004883766174316406,-0.002084016799926758,-0.002084016799926758,0.002748636244103148,0.0029444633588314602,0.7838541666666666,1.0157960653305054,1.6537431478500366,0.12125284425764106,65.08454847335815,64.37757706642151,107,0.78125,0.0026041666666666297
stratified_lora_unconditioned,lora,1e-05,8,12644352,7.915496826171875e-05,0.0017074346542358398,0.0017074346542358398,-0.001628279685974121,-0.001628279685974121,7.770988955481946e-05,0.0010294265936473103,0.7942708333333334,1.0185166597366333,1.6569194793701172,0.12567452005229726,65.12714767456055,61.77808856964111,211,0.78125,0.01302083333333337
stratified_lora_unconditioned,lora,1e-05,8,12644352,0.0026869773864746094,-0.004600882530212402,0.004600882530212402,0.007287859916687012,-0.001913905143737793,0.0026379230580807693,-0.002773910450451577,0.8098958333333334,1.0159088373184204,1.6632277965545654,0.12380575984394734,65.12714767456055,62.177173376083374,503,0.78125,0.02864583333333337
stratified_lora_riemannian_alpha001,lora,1e-05,8,12644352,0.026047587394714355,0.0005980730056762695,0.0005980730056762695,0.025449514389038086,0.025449514389038086,0.025572054212946865,0.0003605832032624838,0.7942708333333334,0.9925482273101807,1.6580288410186768,0.11550246215136116,65.08454847335815,62.28190326690674,107,0.78125,0.01302083333333337
stratified_lora_riemannian_alpha001,lora,1e-05,8,12644352,0.028093039989471436,0.00350344181060791,0.00350344181060791,0.024589598178863525,0.024589598178863525,0.027580164363438388,0.0021122542875585282,0.7786458333333334,0.9905027747154236,1.6551234722137451,0.11668647141190093,65.12714767456055,61.766239404678345,211,0.78125,-0.0026041666666666297
stratified_lora_riemannian_alpha001,lora,1e-05,8,12644352,0.030140340328216553,0.002962827682495117,0.002962827682495117,0.027177512645721436,0.027177512645721436,0.02959008852490596,0.0017863135208064126,0.7942708333333334,0.9884554743766785,1.655664086341858,0.11618166190960402,65.12714767456055,62.6237359046936,503,0.78125,0.01302083333333337
stratified_lora_riemannian_alpha010,lora,1e-05,8,12644352,0.0052100419998168945,0.0020443201065063477,0.0020443201065063477,0.003165721893310547,0.003165721893310547,0.00511492578764064,0.001232537642564946,0.7942708333333334,1.0133857727050781,1.6565825939178467,0.11664145777191251,65.08454847335815,72.16829204559326,107,0.78125,0.01302083333333337
stratified_lora_riemannian_alpha010,lora,1e-05,8,12644352,0.008706212043762207,0.0033146142959594727,0.0033146142959594727,0.005391597747802734,0.005391597747802734,0.008547268620266762,0.0019984086040887705,0.7786458333333334,1.0098896026611328,1.6553122997283936,0.1210994488052387,65.12714767456055,62.790146827697754,211,0.78125,-0.0026041666666666297
stratified_lora_riemannian_alpha010,lora,1e-05,8,12644352,0.007501840591430664,-0.0020627975463867188,0.0020627975463867188,0.009564638137817383,0.005439043045043945,0.007364884562778297,-0.0012436778451772016,0.7864583333333334,1.0110939741134644,1.6606897115707397,0.11880639206410389,65.12714767456055,62.536866188049316,503,0.78125,0.00520833333333337
bottleneck_lora_unconditioned,lora,1e-05,8,12644352,0.0052642822265625,0.0011924505233764648,0.0011924505233764648,0.004071831703186035,0.004071831703186035,0.005168175787260283,0.0007189383660025165,0.7708333333333334,1.0133315324783325,1.6574344635009766,0.13344634584397522,65.08454847335815,62.89055371284485,107,0.78125,-0.01041666666666663
bottleneck_lora_unconditioned,lora,1e-05,8,12644352,0.004557132720947266,0.00299990177154541,0.00299990177154541,0.0015572309494018555,0.0015572309494018555,0.004473936231779576,0.001808665798305841,0.78125,1.0140386819839478,1.6556270122528076,0.1359652297212165,65.12714767456055,61.831432819366455,211,0.78125,0.0
bottleneck_lora_unconditioned,lora,1e-05,8,12644352,0.0066661834716796875,0.003319859504699707,0.003319859504699707,0.0033463239669799805,0.0033463239669799805,0.006544483469737206,0.002001570984185153,0.7942708333333334,1.0119296312332153,1.6553070545196533,0.13761584347201544,65.12714767456055,61.91204047203064,503,0.78125,0.01302083333333337
