method,family,lr,updates,trainable_params,target_improvement,control_improvement,control_abs_shift,specific_gain,selective_target_gain,relative_target_improvement,relative_control_improvement,generation_accuracy,target_nll,control_nll,parameter_delta_l2,peak_gpu_gib,train_wall_seconds,order_seed,base_generation_accuracy,generation_accuracy_gain
stratified_lora_baseline_r63,lora,1e-05,8,12644352,0.0027997493743896484,0.004883766174316406,0.004883766174316406,-0.002084016799926758,-0.002084016799926758,0.002748636244103148,0.0029444633588314602,0.7838541666666666,1.0157960653305054,1.6537431478500366,0.12125284425764106,64.06111097335815,65.57182288169861,107,0.78125,0.0026041666666666297
stratified_lora_baseline_r63,lora,1e-05,8,12644352,7.915496826171875e-05,0.0017074346542358398,0.0017074346542358398,-0.001628279685974121,-0.001628279685974121,7.770988955481946e-05,0.0010294265936473103,0.7942708333333334,1.0185166597366333,1.6569194793701172,0.12567452005229726,64.10371017456055,65.36496114730835,211,0.78125,0.01302083333333337
stratified_lora_baseline_r63,lora,1e-05,8,12644352,0.0026869773864746094,-0.004600882530212402,0.004600882530212402,0.007287859916687012,-0.001913905143737793,0.0026379230580807693,-0.002773910450451577,0.8098958333333334,1.0159088373184204,1.6632277965545654,0.12380575984394734,64.10371017456055,65.71512937545776,503,0.78125,0.02864583333333337
stratified_lora_adaptive_riemannian_r63,lora,1e-05,8,12644352,0.04997807741165161,-0.0005868673324584961,0.0005868673324584961,0.05056494474411011,0.049391210079193115,0.049065661462717805,-0.0003538272094202128,0.8072916666666666,0.9686177372932434,1.6592137813568115,0.11163366129670581,64.06111097335815,63.00692868232727,107,0.78125,0.02604166666666663
stratified_lora_adaptive_riemannian_r63,lora,1e-05,8,12644352,0.05564051866531372,0.004152059555053711,0.004152059555053711,0.05148845911026001,0.05148845911026001,0.054624727357076124,0.0025033113353861492,0.7916666666666666,0.9629552960395813,1.6544748544692993,0.11685898887688567,64.10371017456055,61.67466497421265,211,0.78125,0.01041666666666663
stratified_lora_adaptive_riemannian_r63,lora,1e-05,8,12644352,0.05664980411529541,0.0058193206787109375,0.0058193206787109375,0.05083048343658447,0.05083048343658447,0.05561558696538317,0.0035085169723861687,0.796875,0.9619460105895996,1.652807593345642,0.11557088438098968,64.10371017456055,61.81178855895996,503,0.78125,0.015625
stratified_lora_adaptive_riemannian_r128,lora,7e-06,8,25690112,0.06959670782089233,0.011466026306152344,0.011466026306152344,0.05813068151473999,0.05813068151473999,0.06832612780865953,0.006912962890691397,0.8125,0.9489991068840027,1.6471608877182007,0.10328613411885414,64.15830945968628,62.623730182647705,107,0.78125,0.03125
stratified_lora_adaptive_riemannian_r128,lora,7e-06,8,25690112,0.07040172815322876,0.005589127540588379,0.005589127540588379,0.06481260061264038,0.06481260061264038,0.06911645142938798,0.0033697316095199427,0.7786458333333334,0.9481940865516663,1.6530377864837646,0.10291715021272942,64.20090866088867,62.15990734100342,211,0.78125,-0.0026041666666666297
stratified_lora_adaptive_riemannian_r128,lora,7e-06,8,25690112,0.07129985094070435,0.0139085054397583,0.0139085054397583,0.057391345500946045,0.057391345500946045,0.06999817779671631,0.008385553931481717,0.7786458333333334,0.9472959637641907,1.6447184085845947,0.10402750802354896,64.20090866088867,62.04417395591736,503,0.78125,-0.0026041666666666297
stratified_lora_adaptive_riemannian_r256,lora,5e-06,8,51380224,0.09701073169708252,0.014800429344177246,0.014800429344177246,0.08221030235290527,0.08221030235290527,0.0952396723966397,0.008923302292416519,0.7994791666666666,0.9215850830078125,1.6438264846801758,0.10058968954161839,64.34971570968628,61.81328344345093,107,0.78125,0.01822916666666663
stratified_lora_adaptive_riemannian_r256,lora,5e-06,8,51380224,0.09913212060928345,0.013842582702636719,0.013842582702636719,0.08528953790664673,0.08528953790664673,0.09732233254659872,0.008345808563452186,0.7682291666666666,0.9194636940956116,1.6447843313217163,0.10376914614263462,64.39231491088867,63.09683537483215,211,0.78125,-0.01302083333333337
stratified_lora_adaptive_riemannian_r256,lora,5e-06,8,51380224,0.0986594557762146,0.010432243347167969,0.010432243347167969,0.08822721242904663,0.08822721242904663,0.09685829683562755,0.0062896865226044416,0.7890625,0.9199363589286804,1.648194670677185,0.10206514035827621,64.39231491088867,62.53953957557678,503,0.78125,0.0078125
