layer,expert,target_delta_nll,control_delta_nll,causal_specificity,ci_2.5,ci_97.5,p_positive,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity
36,229,1.280375361442566,0.4886748492717743,0.9138692244887352,0.41110499345511203,1.4357144342288375,1.0,1.3010811805725098,0.5282308459281921,0.9049080461263657
38,60,0.24451500177383423,0.049528613686561584,0.20736854150891304,0.06265908863395454,0.40011457234621034,0.9994,0.24574808776378632,0.04625768959522247,0.21105482056736946
33,166,0.07009730488061905,-0.011548838578164577,0.07009730488061905,0.0263574378490448,0.10744104593992225,0.999,0.08063892275094986,0.0001101380621548742,0.0805563192043337
27,146,0.2360536754131317,0.18044787645339966,0.10071776807308197,0.031797942198812934,0.17131224072631449,0.9986,0.23845793306827545,0.19977492094039917,0.08862674236297607
33,206,0.058985091745853424,0.001513472176156938,0.05784998761373572,0.013595021935179826,0.08969958896283059,0.9954,0.03563840314745903,0.0038178639952093363,0.03277500515105203
24,146,0.06717895716428757,-0.0008140112622641027,0.06717895716428757,0.008491517387330538,0.11078198683261868,0.987,0.07152313739061356,-0.000850165612064302,0.07152313739061356
33,234,0.044725045561790466,-0.011313468217849731,0.044725045561790466,-0.007952766378410157,0.09425533831119534,0.945,0.020106099545955658,-0.03369348123669624,0.020106099545955658
27,192,0.046307001262903214,-0.008726914413273335,0.046307001262903214,-0.00926539869606495,0.09106546592712401,0.9442,0.05316156521439552,0.013947809115052223,0.042700708378106356
24,206,0.13875146210193634,0.09423879534006119,0.06807236559689045,-0.01831022994220257,0.15719559955038123,0.9396,0.13805148005485535,0.09153179079294205,0.06940263696014881
38,149,0.0009056568378582597,0.0,0.0009056568378582597,-9.40241813659668e-05,0.002498872399330139,0.9094,-0.0008356952457688749,0.0,-0.0008356952457688749
25,196,0.12151012569665909,0.08678377419710159,0.05642229504883289,-0.02832043949514628,0.1419776179427281,0.9028,0.08569911867380142,0.03888525068759918,0.056535180658102036
16,59,0.07585054636001587,-0.013861383311450481,0.07585054636001587,-0.03897076964378357,0.18094252938032146,0.9022,0.014438774436712265,0.005021922755986452,0.010672332369722426
33,142,0.037997011095285416,0.0203035157173872,0.022769374307245016,-0.011622081172186884,0.05287471298873423,0.9002,0.040162667632102966,0.011631850153207779,0.03143878001719713
24,153,0.14040260016918182,0.07968799769878387,0.08063660189509392,-0.04199679486826061,0.20528340292070058,0.8996,0.13924899697303772,0.09123549610376358,0.07082237489521503
27,118,0.024515843018889427,-0.03806626424193382,0.024515843018889427,-0.015447478532791136,0.06535114967823027,0.8794,0.04757644981145859,-0.015413124114274979,0.04757644981145859
27,40,0.06347551196813583,0.04123253375291824,0.03255111165344715,-0.02339954029768705,0.08727158303093162,0.8758,0.07712068408727646,0.0554988831281662,0.03549652174115181
25,224,0.03346249461174011,0.001486350316554308,0.03234773187432438,-0.02147424463927746,0.0728857352733612,0.8704,,,
38,210,0.016305631026625633,-3.384113369975239e-05,0.016305631026625633,-0.007969166427850723,0.04928932145237913,0.87,,,
36,13,0.010067994706332684,-0.003219644073396921,0.010067994706332684,-0.00724498656205833,0.023433312561362978,0.863,,,
25,168,0.1544191539287567,0.13741116225719452,0.051360782235860825,-0.052977658709511155,0.1558256588224321,0.8414,,,
8,35,0.06062449514865875,0.01081449631601572,0.05251362291164696,-0.04799370738863945,0.14042343597300344,0.8274,,,
8,65,0.09083151072263718,0.06898844987154007,0.039090173318982124,-0.04109034419059753,0.12170968469977371,0.8204,,,
36,95,0.018586743623018265,-0.004808240104466677,0.018586743623018265,-0.02599150341749191,0.060907131791114774,0.7986,,,
8,134,0.031066283583641052,-0.02089811861515045,0.031066283583641052,-0.050789208076894285,0.11368191552162166,0.749,,,
8,48,0.02160738781094551,-0.008514603599905968,0.02160738781094551,-0.03812842952460051,0.07565910363197327,0.7442,,,
27,168,0.010770793072879314,-0.0205365102738142,0.010770793072879314,-0.020332913994789124,0.04311318874359131,0.7422,,,
25,88,0.014170524664223194,-0.034141816198825836,0.014170524664223194,-0.027659058034420012,0.05568689781427382,0.7416,,,
8,232,0.027591433376073837,-0.03017006814479828,0.027591433376073837,-0.05210587090253829,0.11192642229795445,0.7336,,,
8,188,0.029303092509508133,-0.002715281443670392,0.029303092509508133,-0.051376416351646186,0.09370554220676419,0.7286,,,
33,131,0.008058133535087109,-0.017153790220618248,0.008058133535087109,-0.013729048013687134,0.0321801700592041,0.7274,,,
8,113,0.030071072280406952,-0.0014966309536248446,0.030071072280406952,-0.053047022223472594,0.09316855303477488,0.7228,,,
38,112,0.003605489619076252,-0.006309387739747763,0.003605489619076252,-0.007775165763683617,0.013866817593574516,0.7224,,,
8,40,0.0367475301027298,0.0009094199631363153,0.03606546513037756,-0.0675128226429224,0.12048203830607226,0.7118,,,
25,254,0.010182967409491539,-0.028514035046100616,0.010182967409491539,-0.025211112588644023,0.04793780052661889,0.7014,,,
27,137,0.005961473099887371,-0.009888931177556515,0.005961473099887371,-0.015686574593186377,0.025869848549365956,0.699,,,
24,187,0.0059333182871341705,-0.01740187220275402,0.0059333182871341705,-0.016615089774131776,0.028152091026306142,0.698,,,
8,44,0.03076530061662197,0.012508882209658623,0.021383638959378004,-0.05437805361393839,0.09148138499259947,0.687,,,
36,250,0.0034820532891899347,-0.0024261223152279854,0.0034820532891899347,-0.008189708352088928,0.012167603954672793,0.6786,,,
36,128,0.002716677263379097,-0.017359528690576553,0.002716677263379097,-0.008561493579298257,0.01284573721885681,0.6722,,,
33,1,0.014603917486965656,-0.004619918763637543,0.014603917486965656,-0.047378990828990934,0.0839868968725204,0.6606,,,
8,93,0.020516149699687958,-0.00390344625338912,0.020516149699687958,-0.058468806535005566,0.08799697579443447,0.6472,,,
25,217,0.007277986966073513,-0.016070343554019928,0.007277986966073513,-0.02633436733484268,0.039770042836666054,0.6464,,,
16,17,0.023667141795158386,0.0018994611455127597,0.022242545936023816,-0.0631706512691453,0.08978757981210943,0.6368,,,
27,110,0.004673495423048735,-0.006410882342606783,0.004673495423048735,-0.01828028428554535,0.024927603140473355,0.619,,,
27,237,0.007338047027587891,-0.0021233544684946537,0.007338047027587891,-0.024642408465035258,0.03029208195209502,0.6172,,,
27,75,0.003516104305163026,-0.012177769094705582,0.003516104305163026,-0.016806438624858856,0.02291296249628066,0.6134,,,
38,168,0.02050056681036949,-0.0021812685299664736,0.02050056681036949,-0.05007873173058033,0.13004286020994182,0.6116,,,
27,230,0.0033526397310197353,-0.013213247992098331,0.0033526397310197353,-0.01881268149614334,0.025155971940606828,0.6076,,,
8,222,0.020464008674025536,0.007224665954709053,0.015045509207993746,-0.06467358777625486,0.0847891272972338,0.6004,,,
8,180,0.02085920423269272,0.016150983050465584,0.00874596694484353,-0.0607482236996293,0.07192582073062656,0.5684,,,
38,54,0.0006134796421974897,-0.003383250441402197,0.0006134796421974897,-0.007295679140836,0.008986739993095395,0.5678,,,
27,152,0.0033977555576711893,-0.017312277108430862,0.0033977555576711893,-0.027452454226091504,0.03163243377208708,0.5648,,,
25,13,0.000965306768193841,-0.008799896575510502,0.000965306768193841,-0.007631567180156708,0.009692531466484066,0.563,,,
36,93,0.002844567410647869,-0.00233487063087523,0.002844567410647869,-0.011978154614567756,0.018499139742925757,0.5616,,,
24,24,0.002705964958295226,-0.01519034244120121,0.002705964958295226,-0.021811470080167053,0.024551894426345817,0.5576,,,
25,84,0.02116422727704048,0.01941075176000595,0.006606163457036018,-0.06620046139881014,0.06350282061100006,0.5552,,,
16,231,0.009896814823150635,-0.0022207219153642654,0.009896814823150635,-0.058027856588363645,0.05860279262065885,0.5548,,,
27,141,0.0014487338485196233,-0.011236554011702538,0.0014487338485196233,-0.023276412725448607,0.019938184728845922,0.5548,,,
24,87,0.001272873836569488,-0.027853114530444145,0.001272873836569488,-0.02117068839073181,0.022954208135604857,0.549,,,
8,97,0.005776474252343178,-0.015818478539586067,0.005776474252343178,-0.06681928664445877,0.07410041326284407,0.5358,,,
36,127,0.0023460816591978073,0.0021549963857978582,0.0007298343698494136,-0.008112411871552467,0.007765454173088064,0.5312,,,
8,131,0.005596053786575794,-0.007368352264165878,0.005596053786575794,-0.04813696619309485,0.048577558219432805,0.5146,,,
27,139,0.0006058812141418457,-0.027834195643663406,0.0006058812141418457,-0.02076526981592178,0.021473438680171916,0.5106,,,
25,22,0.0003184127854183316,-0.0123725775629282,0.0003184127854183316,-0.015676444054581226,0.015456669211387627,0.501,,,
