layer,expert,target_delta_nll,control_delta_nll,causal_specificity,renorm_causal_specificity,ci_2.5,ci_97.5,p_positive,selection_supervised_selected_rate,selection_supervised_routing_mass,hybrid_causal_exposure
36,229,1.280375361442566,0.4886748492717743,0.9138692244887352,0.9049080461263657,0.4166057519279421,1.4125016637146472,1.0,0.19875776397515527,0.052673718944099376,0.20973989357783687
38,60,0.24451500177383423,0.049528613686561584,0.20736854150891304,0.21105482056736946,0.06033758796472102,0.39307264526467767,0.9993,0.34782608695652173,0.11850980201863354,0.0713871443364849
27,146,0.2360536754131317,0.18044787645339966,0.10071776807308197,0.08862674236297607,0.03174441258609293,0.16909511912427835,0.9975,0.32298136645962733,0.06885675465838509,0.026428917060612102
24,153,0.14040260016918182,0.07968799769878387,0.08063660189509392,0.07082237489521503,-0.04283802407654001,0.2019964031069539,0.9018,0.32298136645962733,0.05153945069875776,0.018306364723121017
16,59,0.07585054636001587,-0.013861383311450481,0.07585054636001587,0.010672332369722426,-0.04246740889549255,0.1795978434085845,0.8999,0.45962732919254656,0.1232121627523292,0.026624747871739813
33,166,0.07009730488061905,-0.011548838578164577,0.07009730488061905,0.0805563192043337,0.027202945974655453,0.1074593756198883,0.9985,0.2857142857142857,0.03691830842391304,0.01346859262345635
24,206,0.13875146210193634,0.09423879534006119,0.06807236559689045,0.06940263696014881,-0.01908118149638176,0.15458979186974464,0.9382,0.3105590062111801,0.041173330745341616,0.013812708403056975
24,146,0.06717895716428757,-0.0008140112622641027,0.06717895716428757,0.07152313739061356,0.006112459716387092,0.11090197437349705,0.9855,0.4409937888198758,0.051915518245341616,0.015306710020877946
33,206,0.058985091745853424,0.001513472176156938,0.05784998761373572,0.03277500515105203,0.014292003191076218,0.09105983381252734,0.9956,0.32919254658385094,0.04858246797360249,0.012750965093131374
25,196,0.12151012569665909,0.08678377419710159,0.05642229504883289,0.056535180658102036,-0.027420126403681924,0.14257525909319516,0.905,0.3167701863354037,0.038189052795031056,0.011026055927092113
25,168,0.1544191539287567,0.13741116225719452,0.051360782235860825,0.021651336923241615,-0.052955965578556044,0.1534433995597064,0.835,0.3105590062111801,0.06997282608695653,0.013586147862991811
27,192,0.046307001262903214,-0.008726914413273335,0.046307001262903214,0.042700708378106356,-0.010351410076022149,0.0904344829916954,0.9418,0.16770186335403728,0.047154017857142856,0.010055554166852144
33,234,0.044725045561790466,-0.011313468217849731,0.044725045561790466,0.020106099545955658,-0.008790912399999795,0.09455083739757536,0.9464,0.3105590062111801,0.07107070069875776,0.011923289539609966
