layer,target_delta_nll,control_delta_nll,causal_specificity
36,1.2388120889663696,0.21873854100704193,1.0747581832110882
38,0.35137566924095154,0.06711243838071823,0.30104134045541286
33,0.2551012337207794,0.0820503681898117,0.19356345757842064
27,0.2409934550523758,0.10859218239784241,0.159549318253994
25,0.5615708827972412,0.5642874240875244,0.1383553147315979
24,0.061678171157836914,-0.06750410050153732,0.061678171157836914
16,0.18904361128807068,0.1937265843153,0.04374867305159569
8,0.032251037657260895,0.011593196541070938,0.02355614025145769
18,0.05636831372976303,0.05978250131011009,0.011531437747180462
3,-0.029723701998591423,-0.08274921774864197,-0.029723701998591423
9,-0.020550543442368507,0.03973623365163803,-0.05035271868109703
1,0.03974321484565735,0.14627261459827423,-0.06996124610304832
17,-0.037159841507673264,0.0518563874065876,-0.07605213206261396
34,-0.08325380086898804,-0.1591080278158188,-0.08325380086898804
29,0.06320483982563019,0.21761459112167358,-0.100006103515625
10,-0.10370728373527527,-0.15764960646629333,-0.10370728373527527
31,-0.11615948379039764,-0.25130051374435425,-0.11615948379039764
28,-0.12499267607927322,-0.17103411257266998,-0.12499267607927322
7,-0.1315329223871231,-0.14948025345802307,-0.1315329223871231
23,0.15796290338039398,0.39075127243995667,-0.13510055094957352
22,-0.13624030351638794,-0.20790092647075653,-0.13624030351638794
2,-0.13662707805633545,-0.01927090249955654,-0.13662707805633545
12,-0.1161670982837677,0.03325006738305092,-0.1411046488210559
37,-0.1447192132472992,-0.19033747911453247,-0.1447192132472992
6,-0.14635056257247925,-0.154796302318573,-0.14635056257247925
5,-0.1463923454284668,-0.057889584451913834,-0.1463923454284668
32,-0.08125210553407669,0.10774385184049606,-0.16205999441444874
11,-0.16432315111160278,-0.00855511985719204,-0.16432315111160278
13,-0.17469871044158936,-0.04503939300775528,-0.17469871044158936
19,-0.18344445526599884,-0.14229339361190796,-0.18344445526599884
14,-0.16775749623775482,0.02290673926472664,-0.1849375506862998
4,-0.1857481151819229,-0.17802467942237854,-0.1857481151819229
20,-0.18684732913970947,-0.13052380084991455,-0.18684732913970947
21,-0.16388022899627686,0.06727704405784607,-0.2143380120396614
39,-0.2314234972000122,-0.13671904802322388,-0.2314234972000122
26,-0.37132948637008667,-0.1989571750164032,-0.37132948637008667
35,-0.4045746624469757,-0.08370014280080795,-0.4045746624469757
15,-0.5225328207015991,-0.38746869564056396,-0.5225328207015991
30,-0.6434329748153687,-0.38587433099746704,-0.6434329748153687
