layer,expert_a,expert_b,pair_causal_specificity,interaction_score
38,60,210,0.23422895278781652,0.010554780252277851
27,146,40,0.13699603825807571,0.0037271585315465927
27,146,192,0.1368112713098526,-0.010213498026132584
27,146,118,0.1310936026275158,0.0058599915355443954
33,166,206,0.12260393053293228,-0.005343361961422488
27,118,40,0.09567030426114798,0.0386033495888114
33,166,234,0.09293869882822037,-0.021883651614189148
27,192,118,0.06784415990114212,-0.0029786843806505203
33,206,234,0.06271430534252431,-0.039860727833001874
27,192,40,0.05668706260621548,-0.022171050310134888
