layer,target_delta_nll,control_delta_nll,causal_specificity
38,3.1786229610443115,1.5193383693695068,2.0391191840171814
36,0.9835925102233887,0.966597318649292,0.2586445212364197
35,0.7970271110534668,0.761507511138916,0.22589647769927979
24,0.4127785563468933,0.34641650319099426,0.1529661789536476
27,0.1757378727197647,0.054892659187316895,0.13456837832927704
37,0.22570016980171204,0.13453784584999084,0.1247967854142189
23,0.31774014234542847,0.2820725739002228,0.10618571192026138
18,0.17619669437408447,0.1142982691526413,0.0904729925096035
21,0.2107560783624649,0.16556738317012787,0.086580540984869
6,0.08119358122348785,-0.0439826101064682,0.08119358122348785
16,0.05719638243317604,-0.08467184007167816,0.05719638243317604
26,0.22035209834575653,0.23119983077049255,0.046952225267887115
7,0.04231796786189079,-0.016122987493872643,0.04231796786189079
31,0.3870429992675781,0.46734198927879333,0.036536507308483124
29,0.1527247130870819,0.17400619387626648,0.02222006767988205
22,0.24218612909317017,0.29541927576065063,0.02062167227268219
19,0.21171635389328003,0.256692498922348,0.019196979701519012
4,0.0189434215426445,-0.013487053103744984,0.0189434215426445
14,0.015977034345269203,-0.06130913272500038,0.015977034345269203
2,0.013526392169296741,-0.0024949454236775637,0.013526392169296741
25,0.003971948754042387,-0.02332032285630703,0.003971948754042387
11,0.07566534727811813,0.10168203711509705,-0.0005961805582046509
8,-0.0014553404180333018,-0.013107769191265106,-0.0014553404180333018
34,0.22423718869686127,0.3040251135826111,-0.003781646490097046
13,0.0196707583963871,0.031406477093696594,-0.0038840994238853455
9,0.0432460755109787,0.06590098142623901,-0.0061796605587005615
28,-0.00854556541889906,-0.03289264813065529,-0.00854556541889906
1,0.002428684150800109,0.027068961411714554,-0.017873036907985806
33,0.3632138967514038,0.5148646235466003,-0.022934570908546448
10,0.019854869693517685,0.06624378263950348,-0.029827967286109924
30,0.0931200310587883,0.1663833111524582,-0.031667452305555344
5,-0.039031289517879486,-0.016492025926709175,-0.039031289517879486
20,0.047496944665908813,0.11573270708322525,-0.039302585646510124
3,-0.044594649225473404,-0.013698481023311615,-0.044594649225473404
17,-0.00805078074336052,0.05312230437994003,-0.047892509028315544
32,0.3524935841560364,0.5462671518325806,-0.05720677971839905
15,-0.03812228515744209,0.027094634249806404,-0.058443260844796896
12,-0.12152936309576035,-0.08990593254566193,-0.12152936309576035
39,-1.0266927480697632,-0.8381337523460388,-1.0266927480697632
