selector,layer,expert,dataset,scope,selected_hits,token_positions,selected_rate,routing_mass
causal_routed,36,229,selection_target,supervised,32,161,0.19875776397515527,0.052673718944099376
causal_routed,36,229,selection_target,all_valid,323,3226,0.10012399256044638,0.02838668302948698
causal_routed,36,229,train_target,supervised,41,169,0.24260355029585798,0.07109548354289941
causal_routed,36,229,train_target,all_valid,361,3630,0.09944903581267217,0.02730218556301653
causal_routed,36,229,heldout_target,supervised,41,176,0.23295454545454544,0.06128345836292614
causal_routed,36,229,heldout_target,all_valid,357,3602,0.09911160466407551,0.026804227686007775
causal_routed,36,229,selection_control,supervised,29,127,0.2283464566929134,0.04921644315944882
causal_routed,36,229,selection_control,all_valid,319,3112,0.10250642673521851,0.028873394571417094
causal_routed,36,229,heldout_control,supervised,32,161,0.19875776397515527,0.04138107773680124
causal_routed,36,229,heldout_control,all_valid,349,3241,0.10768281394631286,0.02844053725701944
routing_routed,29,194,selection_target,supervised,56,161,0.34782608695652173,0.07231111704192547
routing_routed,29,194,selection_target,all_valid,2096,3226,0.6497210167389956,0.18819019296342218
routing_routed,29,194,train_target,supervised,53,169,0.3136094674556213,0.06527800249630178
routing_routed,29,194,train_target,all_valid,2154,3630,0.5933884297520661,0.16814442363980717
routing_routed,29,194,heldout_target,supervised,63,176,0.35795454545454547,0.07425897771661932
routing_routed,29,194,heldout_target,all_valid,2152,3602,0.5974458634092171,0.17067849404410745
routing_routed,29,194,selection_control,supervised,51,127,0.4015748031496063,0.09059731791338582
routing_routed,29,194,selection_control,all_valid,2111,3112,0.6783419023136247,0.19536933800861583
routing_routed,29,194,heldout_control,supervised,57,161,0.35403726708074534,0.07246275718167702
routing_routed,29,194,heldout_control,all_valid,2105,3241,0.6494908978710274,0.18701556051855137
hybrid_causal_exposure,36,229,selection_target,supervised,32,161,0.19875776397515527,0.052673718944099376
hybrid_causal_exposure,36,229,selection_target,all_valid,323,3226,0.10012399256044638,0.02838668302948698
hybrid_causal_exposure,36,229,train_target,supervised,41,169,0.24260355029585798,0.07109548354289941
hybrid_causal_exposure,36,229,train_target,all_valid,361,3630,0.09944903581267217,0.02730218556301653
hybrid_causal_exposure,36,229,heldout_target,supervised,41,176,0.23295454545454544,0.06128345836292614
hybrid_causal_exposure,36,229,heldout_target,all_valid,357,3602,0.09911160466407551,0.026804227686007775
hybrid_causal_exposure,36,229,selection_control,supervised,29,127,0.2283464566929134,0.04921644315944882
hybrid_causal_exposure,36,229,selection_control,all_valid,319,3112,0.10250642673521851,0.028873394571417094
hybrid_causal_exposure,36,229,heldout_control,supervised,32,161,0.19875776397515527,0.04138107773680124
hybrid_causal_exposure,36,229,heldout_control,all_valid,349,3241,0.10768281394631286,0.02844053725701944
gradient_routed,25,168,selection_target,supervised,50,161,0.3105590062111801,0.06997282608695653
gradient_routed,25,168,selection_target,all_valid,220,3226,0.06819590824550527,0.011396811308508989
gradient_routed,25,168,train_target,supervised,50,169,0.2958579881656805,0.0657995099852071
gradient_routed,25,168,train_target,all_valid,245,3630,0.0674931129476584,0.010743734396522039
gradient_routed,25,168,heldout_target,supervised,50,176,0.2840909090909091,0.06578480113636363
gradient_routed,25,168,heldout_target,all_valid,242,3602,0.06718489727928928,0.01085388759716824
gradient_routed,25,168,selection_control,supervised,50,127,0.3937007874015748,0.09038970226377953
gradient_routed,25,168,selection_control,all_valid,223,3112,0.07165809768637532,0.012298034824871466
gradient_routed,25,168,heldout_control,supervised,52,161,0.32298136645962733,0.07179857336956522
gradient_routed,25,168,heldout_control,all_valid,235,3241,0.07250848503548288,0.012214714787102746
