layer,expert,panel_group,v6_anchor,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,global_grad_ratio_bf16,scan_peak_gpu_gib,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank,global_target_grad_rank,global_grad_specific_rank,global_grad_ratio_rank
1,161,population_random,False,0.0283264424651861,0.0110147520899772,0.0200653783977031,2.5716822522396785,64.86089658737183,161,1,0.006211180124223602,0.0005489373059006211,3930,5293,2333,1746
2,2,population_random,False,0.0950838178396225,0.0271897949278354,0.0746914716437459,3.4970406392724835,64.86089658737183,161,0,0.0,0.0,4827,3209,1262,1602
3,38,population_random,False,0.0,0.0,0.0,0.0,64.86089658737183,161,0,0.0,0.0,4990,7263,3722,7263
4,98,population_random,False,0.0656184256076812,0.047692559659481,0.0298490058630704,1.3758629453904931,64.86089658737183,161,0,0.0,0.0,5155,3901,2019,2239
5,72,population_random,False,0.1123469322919845,0.1143656373023986,0.0265727043151855,0.9823486751876462,64.86089658737183,161,2,0.012422360248447204,0.0011676290760869565,2970,2923,2122,2739
6,21,population_random,False,0.0,0.0,0.0,0.0,64.86089658737183,161,0,0.0,0.0,5394,7263,3722,7263
7,122,population_random,False,0.8731508255004883,0.0,0.8731508255004883,873150825500.4883,64.86089658737183,161,0,0.0,0.0,5601,444,69,37
8,127,population_random,False,0.2083638906478881,0.4201302230358124,-0.1067337766289711,0.4959507296137347,64.86089658737183,161,5,0.031055900621118012,0.002344356560559006,2143,1866,9075,5928
9,235,population_random,False,0.4923195540904999,0.7770018577575684,-0.0904318392276763,0.6336143847978732,64.86089658737183,161,0,0.0,0.0,5964,827,8938,5081
10,114,population_random,False,0.0,0.0,0.0,0.0,64.86089658737183,161,0,0.0,0.0,6041,7263,3722,7263
11,174,population_random,False,0.426253467798233,0.6286056041717529,-0.0452007353305816,0.6780936488136851,64.86089658737183,161,4,0.024844720496894408,0.005932162267080745,1333,957,8289,4588
12,180,population_random,False,0.1668139547109604,0.0,0.1668139547109604,166813954710.9604,64.86089658737183,161,1,0.006211180124223602,0.0004700844332298137,4198,2206,633,213
13,166,population_random,False,0.3087497353553772,0.5090948939323425,-0.0730714350938797,0.6064679473996116,64.86089658737183,161,1,0.006211180124223602,0.00054590450310559,3944,1319,8764,5308
14,76,population_random,False,0.0986313745379448,0.3185817301273346,-0.1403049230575561,0.3095952002590136,64.86089658737183,161,10,0.062111801242236024,0.005498471467391304,1392,3162,9246,6473
15,31,population_random,False,0.4192917346954345,0.1340469568967819,0.3187565170228481,3.1279466867358074,64.86089658737183,161,16,0.09937888198757763,0.008960415857919254,1062,983,323,1642
16,159,population_random,False,0.1936303824186325,1.534850001335144,-0.9575071185827256,0.1261558994364726,64.86089658737183,161,1,0.006211180124223602,0.0002714358501552795,4642,1972,9913,6916
17,129,population_random,False,0.0,0.0,0.0,0.0,64.86089658737183,161,4,0.024844720496894408,0.004549204192546584,1544,7263,3722,7263
18,143,population_random,False,0.5331810712814331,0.9238858819007874,-0.1597333401441574,0.5771070667125016,64.86089658737183,161,0,0.0,0.0,7245,761,9329,5515
19,28,population_random,False,0.0,0.1840790212154388,-0.1380592659115791,0.0,64.86089658737183,161,0,0.0,0.0,7318,7263,9233,7263
20,23,population_random,False,0.6664793491363525,0.9122377038002014,-0.0176989287137985,0.7305983367703408,64.86089658737183,161,0,0.0,0.0,7464,583,7389,3921
21,187,population_random,False,0.0301198475062847,0.0,0.0301198475062847,30119847506.284718,64.86089658737183,161,0,0.0,0.0,7682,5215,2014,707
22,2,population_random,False,0.0,0.0,0.0,0.0,64.86089658737183,161,1,0.006211180124223602,0.0004609860248447205,4238,7263,3722,7263
23,139,population_random,False,0.0691203474998474,0.120388887822628,-0.0211713183671236,0.5741422547329287,64.86089658737183,161,0,0.0,0.0,7918,3809,7561,5531
24,97,population_random,False,0.6274963021278381,0.637234628200531,0.1495703309774398,0.9847178328943338,64.86089658737183,161,0,0.0,0.0,8041,628,706,2737
25,185,population_random,False,0.1401803642511367,0.1703774780035019,0.0123972557485103,0.8227634655293629,64.86089658737183,161,0,0.0,0.0,8235,2527,2646,3210
