method,k,pairs,trainable_params,updates,target_improvement,control_improvement,utility_score,specific_gain,target_token_acc,target_seq_exact,mean_train_grad_norm
gradient,1,"[[30, 229]]",3145728,19,0.1572842597961425,0.121828556060791,0.1572842597961425,0.0354557037353515,0.6149523854255676,0.0,11.802272344890394
gradient,2,"[[30, 229], [25, 168]]",6291456,19,1.2255635261535645,0.8231706619262695,1.2255635261535645,0.4023928642272949,0.6249523758888245,0.0,15.660007777966952
gradient,4,"[[30, 229], [25, 168], [29, 194], [30, 66]]",12582912,19,2.2281672954559326,1.5218942165374756,2.2281672954559326,0.706273078918457,0.6192381381988525,0.0,17.520663964120967
gradient,8,"[[30, 229], [25, 168], [29, 194], [30, 66], [36, 95], [24, 153], [30, 195], [26, 134]]",25165824,19,3.119497299194336,2.4941914081573486,3.119497299194336,0.6253058910369873,0.6762856841087341,0.1599999964237213,18.263819117295117
gradient_specific,1,"[[36, 95]]",3145728,19,0.15312623977661133,0.005059719085693359,0.15312623977661133,0.14806652069091797,0.6149523854255676,0.0,4.66680089423531
gradient_specific,2,"[[36, 95], [33, 1]]",6291456,19,0.26720190048217773,0.02585887908935547,0.26720190048217773,0.24134302139282227,0.6149523854255676,0.0,6.7502749468150895
gradient_specific,4,"[[36, 95], [33, 1], [16, 59], [31, 70]]",12582912,19,0.31412410736083984,0.017461776733398438,0.31412410736083984,0.2966623306274414,0.6149523854255676,0.0,8.142766550967568
gradient_specific,8,"[[36, 95], [33, 1], [16, 59], [31, 70], [35, 22], [38, 210], [29, 136], [34, 146]]",25165824,19,0.3992471694946289,0.04852628707885742,0.3992471694946289,0.3507208824157715,0.6149523854255676,0.0,8.917131398853503
routing,1,"[[33, 1]]",3145728,19,0.11904144287109375,0.021047592163085938,0.11904144287109375,0.09799385070800781,0.6149523854255676,0.0,4.738567113876343
routing,2,"[[33, 1], [36, 95]]",6291456,19,0.26720190048217773,0.02585887908935547,0.26720190048217773,0.24134302139282227,0.6149523854255676,0.0,6.7502749468150895
routing,4,"[[33, 1], [36, 95], [3, 29], [5, 185]]",12582912,19,0.519775390625,0.1618194580078125,0.519775390625,0.3579559326171875,0.6149523854255676,0.0,6.973588968578138
routing,8,"[[33, 1], [36, 95], [3, 29], [5, 185], [6, 17], [16, 59], [39, 252], [11, 110]]",25165824,19,0.7260074615478516,0.31707072257995605,0.7260074615478516,0.4089367389678955,0.6149523854255676,0.0,7.716670739023309
