layer,expert,panel_group,v6_anchor,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,global_grad_ratio_bf16,scan_peak_gpu_gib,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank,global_target_grad_rank,global_grad_specific_rank,global_grad_ratio_rank,target_delta_nll,control_delta_nll,causal_specificity,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,ci_2.5,ci_97.5,p_positive,precise_target_grad_l2,precise_control_grad_l2,precise_grad_dot,precise_grad_cosine,precise_grad_specific,precise_grad_ratio,atlas_order_seed,atlas_lr,atlas_updates,trainable_params,mean_train_grad_norm,parameter_delta_l2,relative_parameter_delta,peak_gpu_gib,validation_target_nll,validation_control_nll,validation_target_improvement,validation_control_improvement,validation_utility_score,validation_specific_gain,validation_target_token_acc,validation_control_token_acc,validation_target_seq_exact,validation_control_seq_exact
1,161,population_random,False,0.0283264424651861,0.0110147520899772,0.0200653783977031,2.5716822522396785,64.86089658737183,161,1,0.006211180124223602,0.0005489373059006211,3930,5293,2333,1746,0.0277439206838607,0.0114528872072696,0.0191542552784085,0.0061043784953653,-0.0093723069876432,0.0061043784953653,-0.0684446899564936,0.0913437803983688,0.6402,0.019532981810681,0.0099810841384872,5.972089093120303e-05,0.3063232885462278,0.0120471687068156,1.9570000149988276,101,1e-05,7,3145728,0.0159185416996479,0.07011634233757,0.0015992241010304,62.97764205932617,4.73295783996582,4.021884441375732,0.029639720916748,0.0080499649047851,0.029639720916748,0.0215897560119628,0.6309524178504944,0.6419999599456787,0.0,0.0
2,2,population_random,False,0.0950838178396225,0.0271897949278354,0.0746914716437459,3.4970406392724835,64.86089658737183,161,0,0.0,0.0,4827,3209,1262,1602,-0.0237118750810623,0.0106154633685946,-0.0316734726075083,0.0334818735718727,0.0530210249125957,-0.0062838951125741,-0.1109416375011205,0.0350696131000294,0.1694,0.1304124327279947,0.0247374652844196,-3.948696303268662e-06,-0.0012239947049852,0.1118593337646799,5.271859150616385,101,1e-05,7,3145728,0.0720124542713165,0.0463321151088601,0.0010233867143572,62.97764158248901,4.750664234161377,4.045261859893799,0.0119333267211914,-0.0153274536132812,0.0004377365112304,0.0272607803344726,0.6276190280914307,0.6320000290870667,0.0,0.0
3,38,population_random,False,0.0,0.0,0.0,0.0,64.86089658737183,161,0,0.0,0.0,4990,7263,3722,7263,-0.0228158980607986,0.035013735294342,-0.0490761995315551,-0.0069979047402739,-0.0132720014080405,-0.0069979047402739,-0.1218844044078141,0.0096424317732452,0.0554,0.0,0.0,0.0,0.0,0.0,0.0,101,1e-05,7,3145728,0.0077695841235773,0.0329278454443541,0.0007472225147604,62.97764158248901,4.699619293212891,4.043913841247559,0.0629782676696777,-0.013979434967041,0.0524936914443969,0.0769577026367187,0.6309524178504944,0.6320000290870667,0.0,0.0
4,98,population_random,False,0.0656184256076812,0.047692559659481,0.0298490058630704,1.3758629453904931,64.86089658737183,161,0,0.0,0.0,5155,3901,2019,2239,0.0236136987805366,0.0076540070585906,0.0178731934865936,0.0175470933318138,-0.0138829443603754,0.0175470933318138,-0.0697665750393644,0.0843463034033775,0.6148,0.0439389522241359,0.0360224874383484,5.891893579246244e-06,0.0037224725070606,0.0169220866453746,1.219764523427668,101,1e-05,7,3145728,0.0800566018692084,0.0454901994748714,0.0010164166610699,62.97764205932617,4.59254264831543,3.9851503372192383,0.1700549125671386,0.0447840690612793,0.1700549125671386,0.1252708435058593,0.6509524583816528,0.6320000290870667,0.0,0.0
5,72,population_random,False,0.1123469322919845,0.1143656373023986,0.0265727043151855,0.9823486751876462,64.86089658737183,161,2,0.012422360248447204,0.0011676290760869565,2970,2923,2122,2739,-8.890867320587859e-05,0.0015981459291651,-0.0012875181200797,-0.0342407040297985,0.0019785345066338,-0.0357246049097739,-0.0857071343958377,0.0620798575878142,0.4126,0.0750242693819289,0.1005730643877136,0.0001034478536894,0.0137100180550009,-0.0004055289088563,0.7459678179036192,101,1e-05,7,3145728,0.1358026324638298,0.0489989808143692,0.0010838361096481,62.97764158248901,4.758996486663818,4.013452529907227,0.00360107421875,0.016481876373291,0.00360107421875,-0.012880802154541,0.6309524178504944,0.6320000290870667,0.0,0.0
6,21,population_random,False,0.0,0.0,0.0,0.0,64.86089658737183,161,0,0.0,0.0,5394,7263,3722,7263,0.0109722996130585,0.0007414609426632,0.0104162039060611,0.0123684117570519,-0.0320363529026508,0.0123684117570519,-0.0693172130733728,0.0659341217502951,0.4992,0.0,0.0248515643335594,0.0,0.0,-0.0186386732501696,0.0,101,1e-05,7,3145728,0.0905409918299743,0.0602416538056701,0.0013445717345876,62.97764205932617,4.687682151794434,4.024765491485596,0.0749154090881347,0.0051689147949218,0.0749154090881347,0.0697464942932128,0.6252380609512329,0.6419999599456787,0.0,0.0
7,122,population_random,False,0.8731508255004883,0.0,0.8731508255004883,873150825500.4883,64.86089658737183,161,0,0.0,0.0,5601,444,69,37,-0.0062393830157816,-0.011829818598926,-0.0062393830157816,0.0057842065580189,-0.0182106550782918,0.0057842065580189,-0.0806367256119847,0.0588874682635068,0.3908,0.5880121124562453,0.0,0.0,0.0,0.5880121124562453,588012112456.2454,101,1e-05,7,3145728,0.1095797814694898,0.0446854933791701,0.0009867136864218,62.97764158248901,4.670392036437988,4.024989128112793,0.09220552444458,0.0049452781677246,0.09220552444458,0.0872602462768554,0.640952467918396,0.6320000290870667,0.0,0.0
8,127,population_random,False,0.2083638906478881,0.4201302230358124,-0.1067337766289711,0.4959507296137347,64.86089658737183,161,5,0.031055900621118012,0.002344356560559006,2143,1866,9075,5928,-0.0225064847618341,0.0175947304815053,-0.0357025326229631,-0.0350630246102809,0.0192362181842327,-0.0494901882484555,-0.1379103593826293,0.0424218503711745,0.206,0.148718217130966,0.3124465360206656,0.0058021864388138,0.1248681838424152,-0.0856166848845332,0.4759797276826062,101,1e-05,7,3145728,0.1578383498958178,0.0666510822972888,0.0014993600513941,62.97764205932617,4.685801982879639,4.03654670715332,0.0767955780029296,-0.0066123008728027,0.0718363523483276,0.0834078788757324,0.6309524178504944,0.6419999599456787,0.0,0.0
9,235,population_random,False,0.4923195540904999,0.7770018577575684,-0.0904318392276763,0.6336143847978732,64.86089658737183,161,0,0.0,0.0,5964,827,8938,5081,0.020072815939784,-0.0226763486862182,0.020072815939784,0.002561907749623,0.0072609521448612,-0.0028838063590228,-0.0514241486787796,0.0811421678066253,0.7008,0.43004444208695,0.6408872184020231,0.2155245617032051,0.7819911194565125,-0.0506209717145673,0.6710142279924762,101,1e-05,7,3145728,0.4370289721659252,0.0851776863270851,0.0018964509215483,62.97764205932617,4.6744585037231445,3.97629189491272,0.0881390571594238,0.0536425113677978,0.0881390571594238,0.0344965457916259,0.6252380609512329,0.6320000290870667,0.0,0.0
10,114,population_random,False,0.0,0.0,0.0,0.0,64.86089658737183,161,0,0.0,0.0,6041,7263,3722,7263,-0.0124056795611977,0.0111481808125972,-0.0207668151706457,-0.0158359501510858,0.0090377386659383,-0.0226142541505396,-0.098374012067914,0.0411529846191406,0.2388,0.0922438324641631,0.0,0.0,0.0,0.0922438324641631,92243832464.1632,101,1e-05,7,3145728,0.0225784733359302,0.042389603973804,0.0009456953410079,62.97764158248901,4.730678558349609,3.9713094234466553,0.0319190025329589,0.0586249828338623,0.0319190025329589,-0.0267059803009033,0.640952467918396,0.6320000290870667,0.0,0.0
