selector,layer,expert,order_seed,lr,updates,trainable_params,mean_train_grad_norm,relative_parameter_delta,final_target_improvement,final_control_improvement,final_utility_score,final_specific_gain,final_target_token_acc,final_control_token_acc,final_target_seq_exact,final_control_seq_exact,peak_gpu_gib
panel_causal,36,229,11,1e-05,19,3145728,1.0509751344981946,0.004076995680198231,0.034293174743652344,0.03276538848876953,0.034293174743652344,0.0015277862548828125,0.6149523854255676,0.6340000033378601,0.0,0.0,63.006328105926514
panel_causal,36,229,23,1e-05,19,3145728,1.056932220333501,0.004115107719266385,0.02033233642578125,0.04022836685180664,0.02033233642578125,-0.01989603042602539,0.6149523854255676,0.6340000033378601,0.0,0.0,63.006328105926514
panel_causal,36,229,47,1e-05,19,3145728,1.0501703776811298,0.004098449064715099,0.028037548065185547,0.030332088470458984,0.028037548065185547,-0.0022945404052734375,0.6149523854255676,0.6340000033378601,0.0,0.0,63.006328105926514
global_routing,33,1,11,1e-05,19,3145728,4.738567113876343,0.0034980183069971676,0.11904144287109375,0.021047592163085938,0.11904144287109375,0.09799385070800781,0.6149523854255676,0.6340000033378601,0.0,0.0,63.006328105926514
global_routing,33,1,23,1e-05,19,3145728,4.662867652742486,0.0034078058204472825,0.10371589660644531,0.01427459716796875,0.10371589660644531,0.08944129943847656,0.6149523854255676,0.6340000033378601,0.0,0.0,63.006328105926514
global_routing,33,1,47,1e-05,19,3145728,4.819486379623413,0.0034337479323627066,0.11771392822265625,0.017887592315673828,0.11771392822265625,0.09982633590698242,0.6149523854255676,0.6340000033378601,0.0,0.0,63.006328105926514
global_gradient,30,229,11,1e-05,19,3145728,11.802272344890394,0.0043094559758929596,0.15728425979614258,0.12182855606079102,0.15728425979614258,0.03545570373535156,0.6149523854255676,0.6340000033378601,0.0,0.0,63.006328105926514
global_gradient,30,229,23,1e-05,19,3145728,11.818197601719907,0.004291276884584807,0.15715742111206055,0.11811161041259766,0.15715742111206055,0.03904581069946289,0.6149523854255676,0.6340000033378601,0.0,0.0,63.006328105926514
global_gradient,30,229,47,1e-05,19,3145728,11.794396500838431,0.004302132711500374,0.14994382858276367,0.11006736755371094,0.14994382858276367,0.039876461029052734,0.6149523854255676,0.6406667232513428,0.0,0.0,63.006328105926514
global_gradient_specific,36,95,11,1e-05,19,3145728,4.66680089423531,0.0037941189370384217,0.15312623977661133,0.005059719085693359,0.15312623977661133,0.14806652069091797,0.6149523854255676,0.6340000033378601,0.0,0.0,63.006328105926514
global_gradient_specific,36,95,23,1e-05,19,3145728,4.659359793913992,0.003771334142140981,0.16050052642822266,-0.005641460418701172,0.15626943111419678,0.16614198684692383,0.6149523854255676,0.6340000033378601,0.0,0.0,63.006328105926514
global_gradient_specific,36,95,47,1e-05,19,3145728,4.623081520984047,0.0038584261936828743,0.15192937850952148,-0.0017085075378417969,0.15064799785614014,0.15363788604736328,0.6149523854255676,0.6340000033378601,0.0,0.0,63.006328105926514
validation_write_oracle,3,29,11,1e-05,19,3145728,0.5889544769337303,0.0052742541752210945,0.007362842559814453,0.05837583541870117,0.007362842559814453,-0.05101299285888672,0.6149523854255676,0.6406667232513428,0.0,0.0,63.006328105926514
validation_write_oracle,3,29,23,1e-05,19,3145728,0.603697635625538,0.005177254883092974,0.08580446243286133,0.12239646911621094,0.08580446243286133,-0.03659200668334961,0.6016190052032471,0.6406667232513428,0.0,0.0,63.006328105926514
validation_write_oracle,3,29,47,1e-05,19,3145728,0.5967415539841903,0.005265132188371195,0.12236499786376953,0.11473846435546875,0.12236499786376953,0.007626533508300781,0.6016190052032471,0.6473333835601807,0.0,0.0,63.006328105926514
