layer,expert,target_delta_nll,control_delta_nll,causal_specificity,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,ci_2.5,ci_97.5,p_positive
1,161,0.02774392068386078,0.011452887207269669,0.019154255278408527,0.006104378495365381,-0.009372306987643242,0.006104378495365381,-0.06844468995649367,0.09134378039836882,0.6402
2,2,-0.023711875081062317,0.010615463368594646,-0.0316734726075083,0.03348187357187271,0.05302102491259575,-0.0062838951125741005,-0.11094163750112057,0.03506961310002947,0.1694
3,38,-0.022815898060798645,0.03501373529434204,-0.049076199531555176,-0.0069979047402739525,-0.013272001408040524,-0.0069979047402739525,-0.12188440440781415,0.00964243177324528,0.0554
4,98,0.02361369878053665,0.0076540070585906506,0.017873193486593664,0.017547093331813812,-0.013882944360375404,0.017547093331813812,-0.0697665750393644,0.08434630340337754,0.6148
5,72,-8.890867320587859e-05,0.0015981459291651845,-0.001287518120079767,-0.03424070402979851,0.0019785345066338778,-0.035724604909773916,-0.08570713439583778,0.06207985758781424,0.4126
6,21,0.010972299613058567,0.0007414609426632524,0.010416203906061128,0.012368411757051945,-0.03203635290265083,0.012368411757051945,-0.06931721307337284,0.06593412175029516,0.4992
7,122,-0.006239383015781641,-0.011829818598926067,-0.006239383015781641,0.005784206558018923,-0.018210655078291893,0.005784206558018923,-0.08063672561198473,0.05888746826350687,0.3908
8,127,-0.022506484761834145,0.017594730481505394,-0.03570253262296319,-0.03506302461028099,0.019236218184232712,-0.049490188248455524,-0.13791035938262938,0.042421850371174505,0.206
9,235,0.02007281593978405,-0.02267634868621826,0.02007281593978405,0.0025619077496230602,0.007260952144861221,-0.0028838063590228558,-0.0514241486787796,0.08114216780662531,0.7008
10,114,-0.012405679561197758,0.011148180812597275,-0.020766815170645714,-0.015835950151085854,0.009037738665938377,-0.022614254150539637,-0.098374012067914,0.04115298461914061,0.2388
11,174,-0.02466907538473606,0.05779869109392166,-0.06801809370517731,-0.008136660791933537,0.013974811881780624,-0.018617769703269005,-0.1599411441255361,0.021885319218039455,0.0718
12,180,-0.0338439904153347,0.004212650470435619,-0.037003478268161416,-0.02205360122025013,0.01598079688847065,-0.03403919888660312,-0.09897797892894596,0.011964654180221244,0.0708
13,166,0.02870112843811512,0.0610504150390625,-0.017086682841181755,-0.0027353905607014894,0.023455698043107986,-0.02032716409303248,-0.09785245203413069,0.06134439987502986,0.3322
