layer,expert,precise_target_grad_l2,precise_control_grad_l2,precise_grad_dot,precise_grad_cosine,precise_grad_specific,precise_grad_ratio
1,161,0.019532981810681048,0.00998108413848722,5.972089093120303e-05,0.30632328854622787,0.012047168706815634,1.9570000149988274
2,2,0.13041243272799471,0.024737465284419644,-3.948696303268662e-06,-0.0012239947049852427,0.11185933376467998,5.271859150616385
3,38,0.0,0.0,0.0,0.0,0.0,0.0
4,98,0.04393895222413598,0.03602248743834842,5.8918935792462435e-06,0.0037224725070606835,0.016922086645374663,1.219764523427668
5,72,0.0750242693819289,0.10057306438771361,0.00010344785368943121,0.013710018055000968,-0.0004055289088563119,0.7459678179036192
6,21,0.0,0.024851564333559475,0.0,0.0,-0.018638673250169605,0.0
7,122,0.5880121124562453,0.0,0.0,0.0,0.5880121124562453,588012112456.2454
8,127,0.14871821713096603,0.31244653602066563,0.005802186438813806,0.12486818384241528,-0.0856166848845332,0.47597972768260627
9,235,0.43004444208695003,0.6408872184020231,0.2155245617032051,0.7819911194565125,-0.05062097171456731,0.6710142279924762
10,114,0.09224383246416319,0.0,0.0,0.0,0.09224383246416319,92243832464.1632
11,174,0.388190647277087,0.5615329244061028,0.18469306826591492,0.8472865320038657,-0.03295904602749006,0.6913052296745733
12,180,0.1327883386372825,0.01775960898453509,5.477048034663312e-06,0.0023224865780432594,0.1194686318988812,7.476985486867219
13,166,0.2706250373981265,0.4546976586481876,0.10830293968319893,0.8801355299751527,-0.07039820658801421,0.5951757882415698
14,76,0.07451367131945864,0.23667259962464973,0.005385356722399592,0.3053729278639827,-0.10299077839902866,0.31483860589404333
15,31,0.3038778796842169,0.08953496487551564,4.592581535689533e-05,0.0016879715417846964,0.2367266560275802,3.393957657807959
16,159,0.17440940342369243,1.364422252359274,0.0032851810683496296,0.0138051338308822,-0.8489072858457629,0.12782656037893456
17,129,0.0,0.0,0.0,0.0,0.0,0.0
18,143,0.5130987196986623,0.8555538884128769,0.17505604028701782,0.3987758047948104,-0.1285666966109954,0.5997269449033807
19,28,0.0,0.12246034871496754,0.0,0.0,-0.09184526153622566,0.0
20,23,0.6077955513285178,0.8911815711204832,0.25713371485471725,0.4747175746081236,-0.06059062701184459,0.6820109066704039
21,187,0.0201693506259917,0.0,0.0,0.0,0.0201693506259917,20169350625.9917
22,2,0.0,0.0,0.0,0.0,0.0,0.0
23,139,0.06497964056156277,0.10805571564745192,0.005850050714798272,0.833171838776563,-0.016062146174026168,0.6013531091031529
24,97,0.6143875955316973,0.4837257279115109,0.08885662257671356,0.2989841572181437,0.2515932995980641,1.27011560493805
25,185,0.09421980879395897,0.13263297745437733,0.0003452418022789061,0.02762673980414447,-0.005254924296824032,0.7103799567921034
26,229,0.10191770482746451,0.5404227551014603,0.0034076482988893986,0.061868773011189655,-0.30339936149863067,0.18858884801795892
27,180,0.18489775802165737,0.08191806500560964,0.00028993732121307403,0.01914224152842601,0.12345920926745013,2.2571060242540972
28,7,0.13374587914433403,0.19939449916753027,0.022220123559236526,0.8332069556704932,-0.015799995231313674,0.6707601247880497
29,217,0.027201907820691058,0.0,0.0,0.0,0.027201907820691058,27201907820.69106
30,246,0.0,0.0,0.0,0.0,0.0,0.0
31,223,0.0,0.0,0.0,0.0,0.0,0.0
32,190,0.009616657740849,0.002736992328742856,-5.1237233122947146e-08,-0.0019466502478408115,0.007563913494291858,3.513585930199701
33,94,0.037020665096554724,0.0456835836424374,0.0009391396306455135,0.5552975867704745,0.002757977364726674,0.8103713006734065
34,185,2.9049801667237296,0.004412118748961602,1.857628149082302e-05,0.0014493337952389683,2.9016710776620083,658.4093337807399
35,137,0.0,0.0,0.0,0.0,0.0,0.0
36,47,0.03962791465484117,0.10754039576688125,0.00010180271419812925,0.02388836947860563,-0.04102738217031977,0.36849329381654283
37,54,0.20719548449874683,0.3104830172399021,0.019889971241354942,0.309183293152459,-0.02566677843117976,0.6673327460547865
38,150,0.0,0.03120245100736492,0.0,0.0,-0.02340183825552369,0.0
39,218,0.0,0.0,0.0,0.0,0.0,0.0
2,155,0.0,0.0,0.0,0.0,0.0,0.0
34,179,0.05849178104073441,0.09367335683431618,2.523392367947963e-05,0.004605468921250988,-0.011763236585002723,0.6244228136669292
4,22,0.1629383224297177,0.22908487088406837,0.004473763983696699,0.11985424475389768,-0.008875330733333575,0.7112574558075626
28,234,0.08852138284026331,0.06774747176584307,0.002491660648956895,0.4154775969859894,0.037710779015881005,1.3066374365218363
23,119,0.297754984972868,0.22617957624194393,0.01292664953507483,0.19194356080679065,0.12812030279141007,1.3164538987951924
38,210,4.1543998041929,0.0,0.0,0.0,4.1543998041929,4154399804192.8994
34,174,0.8654054425252016,0.06892262090786568,0.008365789195522666,0.14025731177415404,0.8137134768443023,12.556188826154788
4,248,0.08700214433921999,0.17284911633500952,0.00235132995294407,0.15635668560599494,-0.04263469291203714,0.5033415627655997
36,111,0.001873842112467991,0.0,0.0,0.0,0.001873842112467991,1873842112.467991
36,229,1.0626641315021532,1.2311479661751292,1.0475318133831024,0.8006836262329596,0.1393031568708063,0.8631489964628081
