predictor,outcome,n,spearman_rho,spearman_p,spearman_ci_low,spearman_ci_high,kendall_tau
renorm_causal_specificity,specific_gain,48,0.21016620889918897,0.16256748650269945,-0.10116143467003928,0.49278857750844574,0.14960077043577466
global_target_gradient,specific_gain,48,0.20278573501308716,0.16276744651069786,-0.06931137632176478,0.4497911662349298,0.13031823346327182
precise_target_gradient,specific_gain,48,0.15909328337714979,0.27634473105378926,-0.11297908556718211,0.4135224697415179,0.10499704523814934
target_control_gradient_cosine,specific_gain,48,0.15065326842114354,0.32473505298940214,-0.13434535699450312,0.427534945649539,0.10825005195937104
routing_mass,specific_gain,48,0.11878445859558229,0.42811437712457506,-0.16540591100488214,0.38760069565980054,0.08332897562112009
precise_control_gradient,specific_gain,48,0.08594901647752956,0.5520895820835833,-0.22982339314073555,0.3810899624295196,0.05200890941166494
initial_to_train_gradient,specific_gain,48,0.07259291458378614,0.6176764647070586,-0.19829242349681864,0.3248948029421314,0.03756708407871199
routing_rate,specific_gain,48,0.06879789486647016,0.6510697860427914,-0.2141813562797279,0.342558354528194,0.051440993061337106
precise_gradient_specific,specific_gain,48,0.05198135470516277,0.7284543091381723,-0.2398640707018531,0.33510528637993425,0.027954031452567446
global_gradient_specific,specific_gain,48,0.03256714775440138,0.8248350329934013,-0.273216884683003,0.31365691357551995,0.01454068454126254
precise_gradient_ratio,specific_gain,48,0.0007648715546978356,0.996000799840032,-0.29773989477933255,0.28279674925438486,-0.01552130233955251
causal_specificity,specific_gain,48,-0.19496567615022686,0.1923615276944611,-0.507510810312377,0.13810598397613014,-0.15233975422440074
precise_target_gradient,target_improvement,48,0.27994298901940784,0.057788442311537694,0.014904847870025767,0.5152569150907584,0.17073432573507763
target_control_gradient_cosine,target_improvement,48,0.2670873578793725,0.0617876424715057,-0.011706665476150959,0.5298532008993331,0.1937106192957166
global_target_gradient,target_improvement,48,0.25719032896801525,0.07998400319936012,-0.018236793308690668,0.49720988994055343,0.15417931846358918
precise_control_gradient,target_improvement,48,0.19488375841098193,0.1833633273345331,-0.10589932238138842,0.46500491852773945,0.12630735142832913
initial_to_train_gradient,target_improvement,48,0.18550315148880678,0.20495900819836033,-0.06496303886402467,0.42416716352552886,0.11270125223613596
precise_gradient_ratio,target_improvement,48,0.0668716273535822,0.6644671065786842,-0.22127457459147337,0.35677854026829686,0.0429118358799393
renorm_causal_specificity,target_improvement,48,0.06017161743160242,0.6858628274345131,-0.2305400020543884,0.33166508352943147,0.049866923478591556
routing_mass,target_improvement,48,-0.040896668929338575,0.7784443111377725,-0.314978315695053,0.24943176499300126,-0.022029499302135196
precise_gradient_specific,target_improvement,48,-0.04305471368773167,0.7778444311137772,-0.3278240390268628,0.2371905633467608,-0.04959586225455515
global_gradient_specific,target_improvement,48,-0.07369885530351132,0.6106778644271146,-0.3593571820779502,0.2104473460483812,-0.07452100827397051
routing_rate,target_improvement,48,-0.08935302100616654,0.5452909418116376,-0.35628793622128535,0.20834331620139523,-0.06529049119323556
causal_specificity,target_improvement,48,-0.2537812269220084,0.08438312337532493,-0.5690909838915631,0.082168905557036,-0.21291930561188172
