layer,expert,panel_group,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,global_grad_ratio_bf16,scan_peak_gpu_gib,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank,global_target_grad_rank,global_grad_specific_rank
1,71,population_random,0.0944921672344207,0.0468675196170806,0.0593415275216102,2.016154641944553,64.9197096824646,330,25,0.07575757575757576,0.010088186553030303,1076,2405,2013
2,13,population_random,0.0125682149082422,0.0017853288445621,0.0112292182748205,7.039719847401383,64.9402003288269,330,0,0.0,0.0,5044,6603,4428
3,180,population_random,0.0186759606003761,0.0233816262334585,0.0011397409252822,0.7987451519882973,64.96069097518921,330,10,0.030303030303030304,0.0026337594696969695,2628,5887,5963
4,98,population_random,0.012416398152709,0.0930675789713859,-0.0573842860758304,0.1334127124591161,64.978675365448,330,0,0.0,0.0,5342,6618,9190
5,192,population_random,0.0206113643944263,0.0368593446910381,-0.0070331441238522,0.559189659138963,64.9991660118103,330,0,0.0,0.0,5522,5676,7862
6,222,population_random,0.0095491344109177,0.1092332601547241,-0.0723758107051253,0.0874196595185789,65.01965665817261,330,8,0.024242424242424242,0.0018458510890151515,3045,7031,9333
7,6,population_random,0.0845057442784309,0.0451037399470806,0.0506779393181204,1.8735861898748616,65.04014730453491,330,0,0.0,0.0,5714,2647,2246
8,149,population_random,0.0004176665970589,0.0,0.0004176665970589,417666597.05899656,65.0581316947937,330,4,0.012121212121212121,0.0006340258049242425,4352,8455,6120
9,55,population_random,0.0,0.0687285810708999,-0.0515464358031749,0.0,65.078622341156,330,0,0.0,0.0,6042,8531,9115
10,178,population_random,0.0219303611665964,0.0089652631431818,0.01520641380921,2.446148073280882,65.09911298751831,330,5,0.015151515151515152,0.001278409090909091,3660,5569,3999
11,134,population_random,0.0319593399763107,0.0814936459064483,-0.0291608944535255,0.3921697160611353,65.11960363388062,330,0,0.0,0.0,6389,4804,8746
12,198,population_random,0.0096422545611858,0.0021508890204131,0.0080290877958759,4.482915885102598,65.1375880241394,330,0,0.0,0.0,6568,7018,4820
13,238,population_random,0.0116673549637198,0.0010826563229784,0.010855362721486,10.776600759921504,65.15807867050171,330,0,0.0,0.0,6736,6711,4455
14,248,population_random,0.0130876656621694,0.0079443976283073,0.0071293674409389,1.647408182829155,65.17856931686401,330,10,0.030303030303030304,0.0021299419981060607,2876,6532,4960
15,68,population_random,0.0,0.0940416455268859,-0.0705312341451644,0.0,65.19905996322632,330,0,0.0,0.0,6959,8531,9320
16,213,population_random,0.1162918508052825,0.0,0.1162918508052825,116291850805.2826,65.21704435348511,330,27,0.08181818181818182,0.007285748106060606,1383,2018,1171
17,146,population_random,0.0108384992927312,0.0,0.0108384992927312,10838499292.731283,65.23753499984741,330,1,0.0030303030303030303,0.00016571969696969698,4867,6830,4459
18,206,population_random,0.2569844424724579,0.0,0.2569844424724579,256984442472.4579,65.25802564620972,330,20,0.06060606060606061,0.007742956912878788,1332,885,515
19,173,population_random,0.0201981980353593,0.0502468757331371,-0.0174869587644934,0.4019791825909878,65.27851629257202,330,0,0.0,0.0,7618,5719,8402
20,61,population_random,0.034190859645605,0.0416457094252109,0.0029565775766968,0.8209935697262024,65.29650068283081,330,16,0.048484848484848485,0.0034638375946969696,2250,4672,5602
21,245,population_random,0.3811711966991424,0.5107619762420654,-0.0019002854824066,0.7462795087114076,65.31699132919312,330,43,0.1303030303030303,0.016994406960227273,659,588,7336
22,13,population_random,0.0290020909160375,0.1397674083709716,-0.0758234653621912,0.2075025304815876,65.33748197555542,330,0,0.0,0.0,7940,5003,9348
23,137,population_random,0.3115346431732178,0.0277245249599218,0.2907412494532764,11.236789218654994,65.35797262191772,330,53,0.1606060606060606,0.01788293087121212,619,718,455
24,120,population_random,0.0766738057136535,0.0537308901548385,0.0363756380975246,1.4269967516129445,65.37595701217651,330,0,0.0,0.0,8254,2860,2708
25,31,population_random,0.2272607237100601,0.0,0.2272607237100601,227260723710.0601,65.39644765853882,330,0,0.0,0.0,8346,1020,593
26,17,population_random,0.0248825103044509,0.0459812171757221,-0.0096034025773406,0.5411450986349204,65.41693830490112,330,0,0.0,0.0,8464,5308,8040
27,141,population_random,0.0176091119647026,0.0565052852034568,-0.02476985193789,0.3116365469351472,65.43742895126343,330,8,0.024242424242424242,0.0023652047821969696,2747,5997,8644
28,12,population_random,0.0,0.0194835867732763,-0.0146126900799572,0.0,65.45541334152222,330,4,0.012121212121212121,0.0006606593276515152,4327,8531,8304
29,242,population_random,0.0038538563530892,0.0010212820488959,0.0030878948164172,3.773547526348703,65.47590398788452,330,0,0.0,0.0,8928,7939,5577
30,94,population_random,0.017735606059432,0.002953257644549,0.0155206628260202,6.005438125644798,65.49639463424683,330,5,0.015151515151515152,0.0015669389204545454,3320,5984,3968
31,70,population_random,0.0057603470049798,0.9926249980926514,-0.7387084015645087,0.005803145211981,65.51688528060913,330,5,0.015151515151515152,0.001231060606060606,3720,7595,9971
32,161,population_random,0.031667485833168,0.019050033763051,0.0173799605108797,1.6623322680365618,65.53486967086792,330,6,0.01818181818181818,0.0009847005208333333,4021,4824,3810
33,123,population_random,0.0972817242145538,0.2067011594772339,-0.0577441453933715,0.4706394703354232,65.55536031723022,330,6,0.01818181818181818,0.002108487215909091,2892,2353,9197
34,44,population_random,0.1700167506933212,0.4627287983894348,-0.1770298480987548,0.3674220218942735,65.57585096359253,330,12,0.03636363636363636,0.004020182291666666,2055,1409,9731
35,202,population_random,0.0362610183656215,0.0209520161151886,0.0205470062792301,1.7306696484260744,65.59634160995483,330,3,0.00909090909090909,0.0006236683238636364,4364,4539,3573
36,222,population_random,0.0599474608898162,0.0112001858651638,0.0515473214909434,5.352363041663433,65.61432600021362,330,12,0.03636363636363636,0.0035111860795454543,2235,3397,2210
37,143,population_random,0.0365467220544815,0.0036325459368526,0.0338223126018419,10.060911184535597,65.63481664657593,330,2,0.006060606060606061,0.0005193536931818182,4442,4520,2839
38,197,population_random,0.0930746123194694,0.0099941389635205,0.085579008096829,9.312919567146997,65.65530729293823,330,16,0.048484848484848485,0.0036206794507575757,2182,2442,1509
39,130,population_random,0.0,0.0,0.0,0.0,65.67579793930054,330,0,0.0,0.0,9934,8531,6219
32,90,population_random,0.0072058867663145,0.137592077255249,-0.0959881711751222,0.052371378570689,65.53486967086792,330,5,0.015151515151515152,0.001205166903409091,3748,7370,9474
26,66,population_random,0.0713921561837196,0.0562463477253913,0.029207395389676,1.2692763009432109,65.41693830490112,330,4,0.012121212121212121,0.0007982658617424242,4199,3027,3064
32,14,population_random,0.084878571331501,0.0035109219606965,0.0822453798609785,24.175579023831464,65.53486967086792,330,10,0.030303030303030304,0.0015565814393939394,3326,2634,1558
24,209,population_random,0.1115872263908386,0.033641118556261,0.0863563874736428,3.316989183962605,65.37595701217651,330,5,0.015151515151515152,0.0013509114583333333,3561,2091,1494
22,197,population_random,0.0301775764673948,0.0259477011859416,0.0107168005779385,1.1630154151220855,65.33748197555542,330,0,0.0,0.0,8034,4924,4474
29,190,population_random,0.2174583226442337,0.097121812403202,0.1446169633418321,2.2390266126749627,65.47590398788452,330,30,0.09090909090909091,0.01893051609848485,575,1081,955
31,76,population_random,0.0061682327650487,0.0056774890981614,0.0019101159414276,1.0864367429538109,65.51688528060913,330,0,0.0,0.0,9083,7542,5818
11,50,population_random,0.0717886835336685,0.0758603438735008,0.0148934256285429,0.946326893171375,65.11960363388062,330,0,0.0,0.0,6342,3013,4039
26,176,population_random,0.0482320338487625,0.0247635394334793,0.029659379273653,1.9477035573358727,65.41693830490112,330,0,0.0,0.0,8537,3872,3037
30,229,sentinel,5.554198741912842,4.271908283233643,2.35026752948761,1.3001680686148211,65.49639463424683,330,14,0.04242424242424243,0.026278409090909092,327,1,2
32,121,sentinel,5.306466579437256,0.0160863772034645,5.2944017965346575,329.8733152896933,65.53486967086792,330,309,0.9363636363636364,0.25325964725378786,1,2,1
29,194,sentinel,4.260711669921875,3.4911768436431885,1.6423290371894836,1.2204227573514794,65.47590398788452,330,54,0.16363636363636364,0.03524206912878788,187,3,7
25,168,sentinel,3.803467512130737,3.1635541915893555,1.4308018684387207,1.2022767058144466,65.39644765853882,330,58,0.17575757575757575,0.037354995265151514,164,4,14
24,153,sentinel,3.714207887649536,3.22188663482666,1.297792911529541,1.1528052686584394,65.37595701217651,330,138,0.41818181818181815,0.06155155066287879,56,5,25
26,134,sentinel,3.340575933456421,2.785585165023804,1.251387059688568,1.1992366901575868,65.41693830490112,330,50,0.15151515151515152,0.032993016098484845,207,6,29
28,149,sentinel,3.334465265274048,2.55556869506836,1.4177887439727783,1.3047840473658443,65.45541334152222,330,54,0.16363636363636364,0.03624378551136364,178,7,15
31,132,sentinel,3.253180980682373,2.497144222259521,1.380322813987732,1.3027605501044928,65.51688528060913,330,50,0.15151515151515152,0.029802911931818183,261,8,17
35,132,sentinel,2.036064863204956,0.0023946431465446,2.0342688808450475,850.2581544530337,65.59634160995483,330,252,0.7636363636363637,0.13704796993371213,7,40,3
34,113,sentinel,2.2994251251220703,0.5276944637298584,1.9036542773246763,4.357493366265167,65.57585096359253,330,58,0.17575757575757575,0.027391098484848483,306,28,4
37,155,sentinel,2.533418655395508,0.9859856367111206,1.7939294278621674,2.5694275464736744,65.63481664657593,330,50,0.15151515151515152,0.02676373106060606,319,20,5
28,210,sentinel,1.7151312828063965,0.008837035857141,1.7085035059135407,194.08445437350483,65.45541334152222,330,252,0.7636363636363637,0.16243341619318183,5,63,6
26,224,sentinel,1.6581168174743652,0.0278303567320108,1.637244049925357,59.57943095668616,65.41693830490112,330,246,0.7454545454545455,0.13230794270833332,8,70,8
8,255,sentinel,0.8840956091880798,0.0409110412001609,0.8534123282879591,21.610195762091504,65.0581316947937,330,276,0.8363636363636363,0.2052527225378788,2,178,76
18,119,sentinel,1.4697223901748655,0.2803399264812469,1.2594674453139303,5.242643845338737,65.25802564620972,330,223,0.6757575757575758,0.17119140625,3,85,28
