layer,expert,panel_group,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,global_grad_ratio_bf16,scan_peak_gpu_gib,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank,global_target_grad_rank,global_grad_specific_rank,target_delta_nll,control_delta_nll,causal_specificity,target_relative_delta,control_relative_delta,causal_relative_specificity,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,renorm_target_relative_delta,renorm_control_relative_delta,renorm_causal_relative_specificity,ci_2.5,ci_97.5,p_positive,precise_target_grad_l2,precise_control_grad_l2,precise_grad_dot,precise_grad_cosine,precise_grad_specific,precise_grad_ratio,atlas_order_seed,atlas_lr,atlas_updates,trainable_params,mean_train_grad_norm,parameter_delta_l2,relative_parameter_delta,peak_gpu_gib,delta_merge_max_nll_diff,validation_target_nll,validation_control_nll,validation_target_improvement,validation_control_improvement,validation_utility_score,validation_specific_gain,validation_relative_target_improvement,validation_relative_control_improvement,validation_relative_specific_gain,validation_target_token_acc,validation_control_token_acc,validation_target_seq_exact,validation_control_seq_exact,validation_native_target_nll,validation_native_control_nll,validation_native_target_improvement,validation_native_control_improvement,validation_native_utility_score,validation_native_specific_gain,validation_native_relative_target_improvement,validation_native_relative_control_improvement,validation_native_relative_specific_gain,validation_native_target_token_acc,validation_native_control_token_acc,validation_native_target_seq_exact,validation_native_control_seq_exact
1,71,population_random,0.0944921672344207,0.0468675196170806,0.0593415275216102,2.016154641944553,64.9197096824646,330,25,0.07575757575757576,0.010088186553030303,1076,2405,2013,0.0219777971506118,0.0184971820563077,0.008104910608381,0.0079503963789309,0.0091203200022735,0.0011101563772258,0.010806948877871,-0.0103880623355507,0.010806948877871,0.0039093784803417,-0.0051219938483267,0.0039093784803417,-0.0366056604534387,0.0512249149419367,0.635,0.0948790595936701,0.0521707537492159,0.0007196384831331,0.14538409476365,0.0557509942817581,1.8186254323242803,101.0,1e-05,7.0,3145728.0,0.1796765412603105,0.0803360767723136,0.0017357598698853,64.6339282989502,0.6513950824737549,2.693273067474365,2.0012779235839844,0.0871400833129882,0.0151565074920654,0.0871400833129882,0.0719835758209228,0.0313406959999135,0.0075164891347234,0.02382420686519,0.6816666126251221,0.813274085521698,0.0,0.0,2.732598304748535,2.039104700088501,0.0478148460388183,-0.0226702690124511,0.0308121442794799,0.0704851150512695,0.0171970291628343,-0.0112427504029245,0.0284397795657589,0.6716666221618652,0.813274085521698,0.0,0.0
2,13,population_random,0.0125682149082422,0.0017853288445621,0.0112292182748205,7.039719847401383,64.9402003288269,330,0,0.0,0.0,5044,6603,4428,0.0026162147987633,-0.001604700111784,0.0026162147987633,0.0009464071635593,-0.0007912220619661,0.0009464071635593,-0.009099886752665,0.0107398573309183,-0.0171547797508537,-0.0032918543287699,0.0052954517795501,-0.0072634431634325,-0.0427672799266874,0.0324351205416023,0.447,0.0104877893450289,0.0014932347659904,-2.7713672778872933e-07,-0.0176962822463944,0.0093678632705361,7.023536805378903,101.0,1e-05,7.0,3145728.0,0.0052465177473745,0.0661144612881762,0.0014846921414296,64.6339282989502,0.4856166839599609,2.7941596508026123,2.042523145675659,-0.0137465000152587,-0.0260887145996093,-0.0333130359649658,0.0123422145843505,-0.0049440494163128,-0.0129380426149971,0.0079939931986842,0.6716666221618652,0.813274085521698,0.0,0.0,2.749222040176392,2.0385842323303223,0.0311911106109619,-0.0221498012542724,0.0145787596702575,0.0533409118652343,0.0112181567700214,-0.0109846374932471,0.0222027942632686,0.6716666221618652,0.812404453754425,0.0,0.0
3,180,population_random,0.0186759606003761,0.0233816262334585,0.0011397409252822,0.7987451519882973,64.96069097518921,330,10,0.030303030303030304,0.0026337594696969695,2628,5887,5963,0.0125740934163331,-0.0047195889055728,0.0125740934163331,0.0045486372487868,-0.0023270658723568,0.0045486372487868,0.0328358523547649,-0.00327840866521,0.0328358523547649,0.011878262405983,-0.0016164697970708,0.011878262405983,-0.0347665570899844,0.0531766520738601,0.6436,0.021240134691136,0.0200139574397872,3.5197713259549346e-05,0.0827988320297165,0.0062296666112956,1.061266106614673,101.0,1e-05,7.0,3145728.0,0.0274958331137895,0.0784635183507557,0.0017889098696684,64.6339282989502,0.6892378330230713,2.7676804065704346,2.0093417167663574,0.0127327442169189,0.0070927143096923,0.0127327442169189,0.0056400299072265,0.0045794432432868,0.0035174534814441,0.0010619897618426,0.6816666126251221,0.812404453754425,0.0,0.0,2.7679336071014404,2.024245023727417,0.012479543685913,-0.0078105926513671,0.0066215991973876,0.0202901363372802,0.0044883774493654,-0.0038734672107335,0.0083618446600989,0.6716666221618652,0.812404453754425,0.0,0.0
4,98,population_random,0.012416398152709,0.0930675789713859,-0.0573842860758304,0.1334127124591161,64.978675365448,330,0,0.0,0.0,5342,6618,9190,0.0021067403722554,0.0099716139957308,-0.0053719701245427,0.0007621064528053,0.0049166575915925,-0.0029253867408891,0.001097023487091,0.0193078108131885,-0.0133838346228003,0.0003968446655322,0.0095200129740619,-0.0067431650650142,-0.0527222320660948,0.0360612023472785,0.3744,0.0104336058555713,0.0774500991108246,-2.1307665747372084e-06,-0.0026368138486436,-0.0476539684775471,0.1347139122508678,101.0,1e-05,7.0,3145728.0,0.0226772265242678,0.0748781429346193,0.0016730503033024,64.6339282989502,0.5316781997680664,2.771071434020996,2.019383430480957,0.0093417167663574,-0.0029489994049072,0.007129967212677,0.0122907161712646,0.0033598304495546,-0.001462482171232,0.0048223126207866,0.6716666221618652,0.812404453754425,0.0,0.0,2.8084867000579834,2.0301592350006104,-0.0280735492706298,-0.0137248039245605,-0.0383671522140502,-0.0143487453460693,-0.0100968984636977,-0.0068064717171271,-0.0032904267465705,0.6716666221618652,0.813274085521698,0.0,0.0
5,192,population_random,0.0206113643944263,0.0368593446910381,-0.0070331441238522,0.559189659138963,64.9991660118103,330,0,0.0,0.0,5522,5676,7862,2.602815584396012e-05,0.0015954124974086,-0.0011705312172125,9.415600414999285e-06,0.0007866426609036,-0.0005805663952627,0.023241015151143,0.0087244780734181,0.0166976565960794,0.0084073613672052,0.0043017380507025,0.0051810578291782,-0.0452635679356753,0.0370074195824563,0.4126,0.0205135096288695,0.0329605556925864,0.0001087279742932,0.1608076858726463,-0.0042069071405702,0.6223654060802487,101.0,1e-05,7.0,3145728.0,0.0293659221913133,0.084658811771424,0.0018790052008218,64.6339282989502,0.3054471015930176,2.7725980281829834,2.0206761360168457,0.0078151226043701,-0.0042417049407958,0.0046338438987731,0.012056827545166,0.0028107774566369,-0.0021035670069035,0.0049143444635405,0.6716666221618652,0.8115348815917969,0.0,0.0,2.7716739177703857,1.983892798423767,0.0087392330169677,0.0325416326522827,0.0087392330169677,-0.0238023996353149,0.0031431418796494,0.0161382052154888,-0.0129950633358393,0.6616666316986084,0.813274085521698,0.0,0.0
6,222,population_random,0.0095491344109177,0.1092332601547241,-0.0723758107051253,0.0874196595185789,65.01965665817261,330,8,0.024242424242424242,0.0018458510890151515,3045,7031,9333,-0.0051642213948071,0.006346640177071,-0.0099242015276104,-0.0018681402324313,0.0031293085172633,-0.0042151216203788,0.0089829638600349,-0.007307169958949,0.0089829638600349,0.0032495578540227,-0.0036029124941163,0.0032495578540227,-0.0567508063875138,0.0220653517469763,0.2252,0.0079694533625683,0.090859749394299,-4.239241889081313e-06,-0.0058544773457182,-0.0601753586831559,0.0877115930388054,101.0,1e-05,7.0,3145728.0,0.0089397822905864,0.0471311810778776,0.001054261583872,64.63392782211304,0.2884321212768554,2.800806999206543,2.01253604888916,-0.0203938484191894,0.0038983821868896,-0.0203938484191894,-0.0242922306060791,-0.0073348266294217,0.0019333047119262,-0.0092681313413479,0.6716666221618652,0.813274085521698,0.0,0.0,2.77174711227417,2.038489818572998,0.0086660385131835,-0.0220553874969482,-0.0078755021095275,0.0307214260101318,0.0031168168337606,-0.0109378153621283,0.014054632195889,0.6716666221618652,0.813274085521698,0.0,0.0
7,6,population_random,0.0845057442784309,0.0451037399470806,0.0506779393181204,1.8735861898748616,65.04014730453491,330,0,0.0,0.0,5714,2647,2246,0.0127841280773282,0.019826702773571,-0.00208589900285,0.004624616601803,0.0097758606329588,-0.002707278872916,0.0040064789354801,0.0115580568090081,-0.0046620636712759,0.0014493306768925,0.0056988776118286,-0.0028248275319788,-0.0473260621465742,0.0407159542515873,0.4572,0.0995606812966839,0.0537988679892294,0.0002981706202263,0.0556677734747727,0.0592115303047618,1.8506092231302211,101.0,1e-05,7.0,3145728.0,0.1108427771500178,0.0786594068961616,0.0017802913353695,64.6339282989502,0.4729220867156982,2.762338638305664,2.0473477840423584,0.0180745124816894,-0.0309133529663085,-0.0051105022430419,0.048987865447998,0.0065006570971551,-0.0153307008102475,0.0218313579074027,0.6716666221618652,0.813274085521698,0.0,0.0,2.777148485183716,1.996291160583496,0.0032646656036376,0.0201432704925537,0.0032646656036376,-0.016878604888916,0.0011741656461066,0.0099895489692687,-0.008815383323162,0.6716666221618652,0.812404453754425,0.0,0.0
8,149,population_random,0.0004176665970589,0.0,0.0004176665970589,417666597.05899656,65.0581316947937,330,4,0.012121212121212121,0.0006340258049242425,4352,8455,6120,0.0135684125125408,0.0066960197873413,0.0085463976720348,0.0049083289361665,0.0033015755057286,0.00243214730687,0.0117823919281363,0.0130824372172355,0.0019705640152096,0.0042622418197172,0.0064504968090614,-0.0005756307870787,-0.0323309237770736,0.0452195211946964,0.6292,0.0003428778107959,0.0,0.0,0.0,0.0003428778107959,342877810.7959385,101.0,1e-05,7.0,3145728.0,5.254762280466301e-05,0.0132345947697719,0.0002918720823294,64.63392782211304,0.2630758285522461,2.7981886863708496,2.0388007164001465,-0.017775535583496,-0.0223662853240966,-0.0345502495765686,0.0045907497406005,-0.0063931274308864,-0.0110919973292467,0.0046988698983602,0.6716666221618652,0.813274085521698,0.0,0.0,2.774481773376465,2.0507757663726807,0.0059313774108886,-0.0343413352966308,-0.0198246240615844,0.0402727127075195,0.0021332719596758,-0.0170307225305139,0.0191639944901897,0.6650000214576721,0.813274085521698,0.0,0.0
9,55,population_random,0.0,0.0687285810708999,-0.0515464358031749,0.0,65.078622341156,330,0,0.0,0.0,6042,8531,9115,-0.0023870742879807,0.0048311091959476,-0.0060104061849415,-0.0008635163317481,0.0023820526661218,-0.0026500558313395,0.0401492416858673,0.0390696749091148,0.0108469855040311,0.0145238571240183,0.0192639039001301,7.592919892071733e-05,-0.0396120114699006,0.0214493538737296,0.3102,0.0,0.0570410323653207,0.0,0.0,-0.0427807742739905,0.0,101.0,1e-05,7.0,3145728.0,0.0,0.0,0.0,64.61049032211304,0.0,2.780413150787353,2.01643443107605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6716666221618652,0.813274085521698,0.0,0.0,2.780413150787353,2.01643443107605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6716666221618652,0.813274085521698,0.0,0.0
10,178,population_random,0.0219303611665964,0.0089652631431818,0.01520641380921,2.446148073280882,65.09911298751831,330,5,0.015151515151515152,0.001278409090909091,3660,5569,3999,0.0188399329781532,-0.0057292259298264,0.0188399329781532,0.0068152842572141,-0.0028248829300743,0.0068152842572141,0.0132056893780827,-0.0014160585124045,0.0132056893780827,0.0047771150262833,-0.000698209421076,0.0047771150262833,-0.0172904808819293,0.0484242824912071,0.8324,0.018264420345841,0.0075862412742075,-5.500578197370487e-07,-0.0039698655498292,0.0125747393901853,2.4075717714819524,101.0,1e-05,7.0,3145728.0,0.0307914180947201,0.0834817511526211,0.0019880741675147,64.6339282989502,0.3258655071258545,2.8008501529693604,1.968461513519287,-0.0204370021820068,0.0479729175567626,-0.0204370021820068,-0.0684099197387695,-0.0073503472590825,0.0237909633050465,-0.031141310564129,0.6716666221618652,0.812404453754425,0.0,0.0,2.7918484210968018,2.0004701614379883,-0.0114352703094482,0.0159642696380615,-0.0114352703094482,-0.0273995399475097,-0.0041127953614411,0.0079170784787395,-0.0120298738401806,0.6716666221618652,0.813274085521698,0.0,0.0
