selector,order_seed,capability,layer,expert,lr,updates,trainable_params,mean_train_grad_norm,relative_parameter_delta,final_target_improvement,final_control_improvement,final_utility_score,final_specific_gain,final_relative_target_improvement,final_relative_control_improvement,final_relative_specific_gain,final_target_token_acc,final_control_token_acc,final_target_seq_exact,final_control_seq_exact,peak_gpu_gib,delta_merge_max_nll_diff,native_target_improvement,native_control_improvement,native_utility_score,native_specific_gain,native_relative_target_improvement,native_relative_control_improvement,native_relative_specific_gain,native_target_token_acc,native_control_token_acc,native_target_seq_exact,native_control_seq_exact
causal,11,algorithms,32.0,121.0,1e-05,19.0,3145728.0,6.807752383382697,0.004972830522473614,0.6833775043487549,-0.006224870681762695,0.6787088513374329,0.6896023750305176,0.25217338746500856,-0.0030408316288417447,0.2552142190938503,0.6922221183776855,0.8060222864151001,0.0,0.0,64.6339282989502,0.07676899433135986,0.689516544342041,-0.01056528091430664,0.681592583656311,0.7000818252563477,0.2544387568999674,-0.005161109686333949,0.25959986658630135,0.6966665387153625,0.8060222864151001,0.0,0.0
causal,23,algorithms,32.0,121.0,1e-05,19.0,3145728.0,6.633689127470317,0.005017579674635196,0.7049951553344727,-0.006876945495605469,0.6998374462127686,0.7118721008300781,0.2601505249086823,-0.0033593683213570527,0.2635098932300393,0.7011110782623291,0.8060222864151001,0.0,0.0,64.6339282989502,0.08559751510620117,0.6930150985717773,-0.00010514259338378906,0.6929362416267395,0.6931202411651611,0.2557297596996329,-5.1361857915630984e-05,0.25578112155754856,0.6966665387153625,0.8060222864151001,0.0,0.0
causal,47,algorithms,32.0,121.0,1e-05,19.0,3145728.0,6.618170562543367,0.0050749056266109396,0.7070887088775635,-0.00408625602722168,0.7040240168571472,0.7111749649047852,0.2609230678815501,-0.001996124450829931,0.26291919233238004,0.6966665387153625,0.8060222864151001,0.0,0.0,64.6339282989502,0.04985523223876953,0.7159101963043213,-0.009897470474243164,0.7084870934486389,0.7258076667785645,0.26417828824325257,-0.004834886185150996,0.26901317442840356,0.6966665387153625,0.8060222864151001,0.0,0.0
routing,11,algorithms,32.0,121.0,1e-05,19.0,3145728.0,6.807752383382697,0.004972830522473614,0.6833775043487549,-0.006224870681762695,0.6787088513374329,0.6896023750305176,0.25217338746500856,-0.0030408316288417447,0.2552142190938503,0.6922221183776855,0.8060222864151001,0.0,0.0,64.6339282989502,0.07676899433135986,0.689516544342041,-0.01056528091430664,0.681592583656311,0.7000818252563477,0.2544387568999674,-0.005161109686333949,0.25959986658630135,0.6966665387153625,0.8060222864151001,0.0,0.0
routing,23,algorithms,32.0,121.0,1e-05,19.0,3145728.0,6.633689127470317,0.005017579674635196,0.7049951553344727,-0.006876945495605469,0.6998374462127686,0.7118721008300781,0.2601505249086823,-0.0033593683213570527,0.2635098932300393,0.7011110782623291,0.8060222864151001,0.0,0.0,64.6339282989502,0.08559751510620117,0.6930150985717773,-0.00010514259338378906,0.6929362416267395,0.6931202411651611,0.2557297596996329,-5.1361857915630984e-05,0.25578112155754856,0.6966665387153625,0.8060222864151001,0.0,0.0
routing,47,algorithms,32.0,121.0,1e-05,19.0,3145728.0,6.618170562543367,0.0050749056266109396,0.7070887088775635,-0.00408625602722168,0.7040240168571472,0.7111749649047852,0.2609230678815501,-0.001996124450829931,0.26291919233238004,0.6966665387153625,0.8060222864151001,0.0,0.0,64.6339282989502,0.04985523223876953,0.7159101963043213,-0.009897470474243164,0.7084870934486389,0.7258076667785645,0.26417828824325257,-0.004834886185150996,0.26901317442840356,0.6966665387153625,0.8060222864151001,0.0,0.0
gradient,11,algorithms,30.0,229.0,1e-05,19.0,3145728.0,6.409869344610917,0.005278475543347252,0.09753727912902832,0.026975393295288086,0.09753727912902832,0.07056188583374023,0.03599226770791488,0.013177402925506206,0.022814864782408677,0.6619999408721924,0.8060222864151001,0.0,0.0,64.6339282989502,0.0892486572265625,0.09949445724487305,0.0333409309387207,0.09949445724487305,0.06615352630615234,0.03671448673356936,0.01628694996516478,0.020427536768404583,0.6619999408721924,0.8060222864151001,0.0,0.0
gradient,23,algorithms,30.0,229.0,1e-05,19.0,3145728.0,6.334483673698024,0.005285353174916414,0.09714460372924805,0.035665273666381836,0.09714460372924805,0.06147933006286621,0.035847366412354774,0.01742238477881441,0.018424981633540363,0.6619999408721924,0.8060222864151001,0.0,0.0,64.6339282989502,0.07549238204956055,0.0875401496887207,0.02117300033569336,0.0875401496887207,0.06636714935302734,0.03230322324881901,0.010342950462710943,0.02196027278610807,0.6540000438690186,0.8060222864151001,0.0,0.0
gradient,47,algorithms,30.0,229.0,1e-05,19.0,3145728.0,6.299281772814299,0.005341982031055231,0.10185790061950684,0.04239320755004883,0.10185790061950684,0.05946469306945801,0.03758662185371955,0.02070896135142482,0.016877660502294726,0.6619999408721924,0.8060222864151001,0.0,0.0,64.6339282989502,0.10770416259765625,0.09795904159545898,0.03371691703796387,0.09795904159545898,0.06424212455749512,0.03614790243277574,0.016470618105602308,0.019677284327173434,0.6619999408721924,0.8060222864151001,0.0,0.0
gradient_specific,11,algorithms,32.0,121.0,1e-05,19.0,3145728.0,6.807752383382697,0.004972830522473614,0.6833775043487549,-0.006224870681762695,0.6787088513374329,0.6896023750305176,0.25217338746500856,-0.0030408316288417447,0.2552142190938503,0.6922221183776855,0.8060222864151001,0.0,0.0,64.6339282989502,0.07676899433135986,0.689516544342041,-0.01056528091430664,0.681592583656311,0.7000818252563477,0.2544387568999674,-0.005161109686333949,0.25959986658630135,0.6966665387153625,0.8060222864151001,0.0,0.0
gradient_specific,23,algorithms,32.0,121.0,1e-05,19.0,3145728.0,6.633689127470317,0.005017579674635196,0.7049951553344727,-0.006876945495605469,0.6998374462127686,0.7118721008300781,0.2601505249086823,-0.0033593683213570527,0.2635098932300393,0.7011110782623291,0.8060222864151001,0.0,0.0,64.6339282989502,0.08559751510620117,0.6930150985717773,-0.00010514259338378906,0.6929362416267395,0.6931202411651611,0.2557297596996329,-5.1361857915630984e-05,0.25578112155754856,0.6966665387153625,0.8060222864151001,0.0,0.0
gradient_specific,47,algorithms,32.0,121.0,1e-05,19.0,3145728.0,6.618170562543367,0.0050749056266109396,0.7070887088775635,-0.00408625602722168,0.7040240168571472,0.7111749649047852,0.2609230678815501,-0.001996124450829931,0.26291919233238004,0.6966665387153625,0.8060222864151001,0.0,0.0,64.6339282989502,0.04985523223876953,0.7159101963043213,-0.009897470474243164,0.7084870934486389,0.7258076667785645,0.26417828824325257,-0.004834886185150996,0.26901317442840356,0.6966665387153625,0.8060222864151001,0.0,0.0
