layer,target_delta_nll,control_delta_nll,causal_specificity
1,-0.012524385005235672,-0.025616025552153587,-0.012524385005235672
2,-0.006802698597311974,-0.1032259538769722,-0.006802698597311974
3,0.13294997811317444,-0.10107243806123734,0.13294997811317444
4,-0.024601470679044724,-0.11303776502609253,-0.024601470679044724
5,0.019618768244981766,-0.06419088691473007,0.019618768244981766
6,0.042676277458667755,-0.06320153921842575,0.042676277458667755
7,-0.011296183802187443,-0.04891763627529144,-0.011296183802187443
8,0.00531853549182415,0.007466950919479132,-0.0002816776977851987
9,0.012106779962778091,0.02036193571984768,-0.003164671827107668
10,0.09262523800134659,0.005129357799887657,0.08877821965143085
11,-0.029938483610749245,-0.09378418326377869,-0.029938483610749245
12,0.11909887939691544,-0.008278249762952328,0.11909887939691544
13,0.007067500147968531,-0.03759480640292168,0.007067500147968531
14,0.08493798971176147,-0.04128298908472061,0.08493798971176147
15,-0.14308995008468628,-0.1796521693468094,-0.14308995008468628
16,0.03400150686502457,0.031548626720905304,0.010340036824345589
17,-0.1119113340973854,0.00812533963471651,-0.11800533882342279
18,-0.01920265518128872,-0.012867586687207222,-0.01920265518128872
19,-0.03480212390422821,-0.15493059158325195,-0.03480212390422821
20,0.008037869818508625,-0.1476077437400818,0.008037869818508625
21,0.0194898322224617,-0.09888538718223572,0.0194898322224617
22,-0.15952438116073608,-0.17336776852607727,-0.15952438116073608
23,0.009458512999117374,-0.014572585932910442,0.009458512999117374
24,-0.20817729830741882,0.13848994672298431,-0.31204475834965706
25,0.023772407323122025,0.2223205417394638,-0.14296799898147583
26,-0.019921336323022842,-0.09000305831432343,-0.019921336323022842
27,0.06798397749662399,0.01736060157418251,0.05496352631598711
28,-0.05190053582191467,-0.05376043915748596,-0.05190053582191467
29,0.015832150354981422,0.0323299914598465,-0.00841534323990345
30,-0.013873372226953506,-0.15413010120391846,-0.013873372226953506
31,-0.28527355194091797,-0.04415394738316536,-0.28527355194091797
32,0.12106630951166153,-0.04778537154197693,0.12106630951166153
33,0.06597979366779327,0.08506039530038834,0.002184497192502022
34,-0.011816590093076229,-0.03828752413392067,-0.011816590093076229
35,-0.13254892826080322,-0.16165485978126526,-0.13254892826080322
36,0.19029316306114197,0.7145007252693176,-0.34558238089084625
37,-0.0958641991019249,-0.0864543542265892,-0.0958641991019249
38,0.3256026804447174,0.46056893467903137,-0.019824020564556122
39,-0.25092342495918274,-0.029290147125720978,-0.25092342495918274
