layer,expert,target_delta_nll,control_delta_nll,causal_specificity,target_relative_delta,control_relative_delta,causal_relative_specificity,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,renorm_target_relative_delta,renorm_control_relative_delta,renorm_causal_relative_specificity,ci_2.5,ci_97.5,p_positive
1,71,0.021977797150611877,0.018497182056307793,0.008104910608381033,0.007950396378930961,0.009120320002273532,0.0011101563772258124,0.010806948877871037,-0.010388062335550785,0.010806948877871037,0.0039093784803417315,-0.005121993848326732,0.0039093784803417315,-0.036605660453438764,0.05122491494193671,0.635
2,13,0.0026162147987633944,-0.001604700111784041,0.0026162147987633944,0.0009464071635593834,-0.0007912220619661197,0.0009464071635593834,-0.009099886752665043,0.010739857330918312,-0.017154779750853777,-0.003291854328769968,0.005295451779550156,-0.007263443163432585,-0.04276727992668748,0.03243512054160235,0.447
3,180,0.012574093416333199,-0.004719588905572891,0.012574093416333199,0.004548637248786869,-0.002327065872356813,0.004548637248786869,0.03283585235476494,-0.0032784086652100086,0.03283585235476494,0.011878262405983067,-0.0016164697970708114,0.011878262405983067,-0.03476655708998442,0.05317665207386015,0.6436
4,98,0.0021067403722554445,0.009971613995730877,-0.005371970124542713,0.0007621064528053048,0.00491665759159254,-0.0029253867408891004,0.0010970234870910645,0.019307810813188553,-0.01338383462280035,0.00039684466553228676,0.009520012974061985,-0.006743165065014202,-0.05272223206609488,0.036061202347278595,0.3744
5,192,2.602815584396012e-05,0.001595412497408688,-0.001170531217212556,9.415600414999285e-06,0.0007866426609036725,-0.0005805663952627551,0.023241015151143074,0.00872447807341814,0.01669765659607947,0.008407361367205232,0.004301738050702585,0.005181057829178293,-0.04526356793567538,0.03700741958245635,0.4126
6,222,-0.0051642213948071,0.0063466401770710945,-0.009924201527610421,-0.001868140232431306,0.003129308517263326,-0.0042151216203788,0.008982963860034943,-0.007307169958949089,0.008982963860034943,0.0032495578540227437,-0.003602912494116325,0.0032495578540227437,-0.05675080638751388,0.022065351746976367,0.2252
7,6,0.012784128077328205,0.019826702773571014,-0.0020858990028500557,0.0046246166018030655,0.009775860632958832,-0.0027072788729160585,0.004006478935480118,0.011558056809008121,-0.004662063671275973,0.001449330676892588,0.0056988776118286205,-0.0028248275319788774,-0.047326062146574255,0.04071595425158731,0.4572
8,149,0.013568412512540817,0.006696019787341356,0.0085463976720348,0.004908328936166506,0.003301575505728619,0.0024321473068700424,0.011782391928136349,0.013082437217235565,0.001970564015209675,0.004262241819717252,0.0064504968090614,-0.0005756307870787977,-0.032330923777073625,0.04521952119469642,0.6292
9,55,-0.002387074287980795,0.004831109195947647,-0.00601040618494153,-0.0008635163317481684,0.002382052666121834,-0.0026500558313395438,0.04014924168586731,0.03906967490911484,0.010846985504031181,0.014523857124018302,0.01926390390013011,7.592919892071733e-05,-0.039612011469900614,0.021449353873729687,0.3102
10,178,0.01883993297815323,-0.005729225929826498,0.01883993297815323,0.006815284257214164,-0.0028248829300743144,0.006815284257214164,0.013205689378082752,-0.001416058512404561,0.013205689378082752,0.004777115026283385,-0.000698209421076053,0.004777115026283385,-0.017290480881929398,0.04842428249120711,0.8324
11,134,0.043612994253635406,-0.004232106264680624,0.043612994253635406,0.015776858308967797,-0.002086705061344807,0.015776858308967797,0.03211930766701698,-0.012063446454703808,0.03211930766701698,0.01161905470414772,-0.00594806774687454,0.01161905470414772,0.004658794354647397,0.08066824790835375,0.9872
