capability,predictor,outcome,n,spearman_rho,spearman_p,spearman_ci_low,spearman_ci_high,kendall_tau
algorithms,routing_rate,native_relative_specific_gain,48,0.26590701602101346,,,,0.19680330789779896
algorithms,routing_mass,native_relative_specific_gain,48,0.2645872630383407,,,,0.1927469479071078
algorithms,causal_specificity,native_relative_specific_gain,48,0.25067853800972356,,,,0.20328468975951566
algorithms,causal_relative_specificity,native_relative_specific_gain,48,0.2366735438983098,,,,0.1926322169336895
algorithms,causal_target_damage,native_relative_specific_gain,48,0.2195201402579736,,,,0.17665350769495028
algorithms,causal_relative_target_damage,native_relative_specific_gain,48,0.2195201402579736,,,,0.17665350769495028
algorithms,precise_gradient_specific,native_relative_specific_gain,48,0.11985669379070368,,,,0.08078125226251495
algorithms,precise_target_gradient,native_relative_specific_gain,48,0.10718358180969645,,,,0.07298626887738888
algorithms,global_target_gradient,native_relative_specific_gain,48,0.10403431750120486,,,,0.06764581017904335
algorithms,renorm_causal_specificity,native_relative_specific_gain,48,0.09173813972205128,,,,0.06835336729905112
algorithms,global_gradient_specific,native_relative_specific_gain,48,0.08218434528945895,,,,0.04882383378503651
algorithms,renorm_causal_target_damage,native_relative_specific_gain,48,0.07219628747356698,,,,0.05592548233558728
algorithms,target_control_gradient_cosine,native_relative_specific_gain,48,-0.02359467400051644,,,,-0.017025643258183027
algorithms,precise_control_gradient,native_relative_specific_gain,48,-0.0445240816028121,,,,-0.024032064142554873
algorithms,precise_target_gradient,native_relative_target_improvement,48,0.486724228643424,,,,0.34000920379466526
algorithms,global_target_gradient,native_relative_target_improvement,48,0.4622902814223686,,,,0.3168672161018346
algorithms,causal_target_damage,native_relative_target_improvement,48,0.4545651964689097,,,,0.32046189084360327
algorithms,causal_relative_target_damage,native_relative_target_improvement,48,0.4545651964689097,,,,0.32046189084360327
algorithms,causal_specificity,native_relative_target_improvement,48,0.42525241809618325,,,,0.322237302981241
algorithms,causal_relative_specificity,native_relative_target_improvement,48,0.3901856498947364,,,,0.2973815330543133
algorithms,renorm_causal_specificity,native_relative_target_improvement,48,0.3892085572823122,,,,0.27962741167793637
algorithms,renorm_causal_target_damage,native_relative_target_improvement,48,0.38866572805318766,,,,0.28495364809084944
algorithms,precise_gradient_specific,native_relative_target_improvement,48,0.3822603431495178,,,,0.27430117526502334
algorithms,target_control_gradient_cosine,native_relative_target_improvement,48,0.3083617302555973,,,,0.21058032450910585
algorithms,global_gradient_specific,native_relative_target_improvement,48,0.2992074710934595,,,,0.21748798686061718
algorithms,routing_mass,native_relative_target_improvement,48,0.11975461852108071,,,,0.10124082112292532
algorithms,precise_control_gradient,native_relative_target_improvement,48,0.11842319753138195,,,,0.0881175685227012
algorithms,routing_rate,native_relative_target_improvement,48,0.10982625375326965,,,,0.0944655877909435
algorithms,causal_specificity,native_specific_gain,48,0.321029206104267,,,,0.2547716417510087
algorithms,causal_relative_specificity,native_specific_gain,48,0.30517859261382974,,,,0.24411916892518257
algorithms,causal_target_damage,native_specific_gain,48,0.2893279791233925,,,,0.22458963541116797
algorithms,causal_relative_target_damage,native_specific_gain,48,0.2893279791233925,,,,0.22458963541116797
