example_id,topic,source_capability
algorithms-selection-control-036-src-systems,control_from_systems:tar,systems
algorithms-selection-control-032-src-python,control_from_python:generators,python
algorithms-selection-control-045-src-frontend,control_from_frontend:frontend_original,frontend
algorithms-selection-control-025-src-sql,control_from_sql:joins,sql
algorithms-selection-control-020-src-systems,control_from_systems:find,systems
algorithms-selection-control-005-src-python,control_from_python:collections,python
algorithms-selection-control-007-src-frontend,control_from_frontend:frontend_original,frontend
algorithms-selection-control-039-src-sql,control_from_sql:cte,sql
algorithms-selection-control-008-src-systems,control_from_systems:dns,systems
algorithms-selection-control-034-src-python,control_from_python:generators,python
algorithms-selection-control-012-src-frontend,control_from_frontend:frontend_original,frontend
algorithms-selection-control-009-src-sql,control_from_sql:running_total,sql
algorithms-selection-control-037-src-systems,control_from_systems:signals,systems
algorithms-selection-control-014-src-python,control_from_python:comprehensions,python
algorithms-selection-control-047-src-frontend,control_from_frontend:frontend_original,frontend
algorithms-selection-control-043-src-sql,control_from_sql:filter_order_limit,sql
algorithms-selection-control-046-src-systems,control_from_systems:grep,systems
algorithms-selection-control-028-src-python,control_from_python:defaultdict,python
algorithms-selection-control-029-src-frontend,control_from_frontend:frontend_original,frontend
algorithms-selection-control-041-src-sql,control_from_sql:group_having,sql
algorithms-selection-control-044-src-systems,control_from_systems:systemd,systems
algorithms-selection-control-038-src-python,control_from_python:iteration,python
algorithms-selection-control-022-src-frontend,control_from_frontend:frontend_original,frontend
algorithms-selection-control-023-src-sql,control_from_sql:running_total,sql
algorithms-selection-control-033-src-systems,control_from_systems:sockets,systems
algorithms-selection-control-011-src-python,control_from_python:pathlib,python
algorithms-selection-control-001-src-frontend,control_from_frontend:frontend_original,frontend
algorithms-selection-control-030-src-sql,control_from_sql:window_latest,sql
algorithms-selection-control-016-src-systems,control_from_systems:permissions,systems
algorithms-selection-control-002-src-python,control_from_python:generators,python
algorithms-selection-control-027-src-frontend,control_from_frontend:frontend_original,frontend
algorithms-selection-control-017-src-sql,control_from_sql:window_latest,sql
algorithms-selection-control-018-src-systems,control_from_systems:tar,systems
algorithms-selection-control-015-src-python,control_from_python:zip,python
algorithms-selection-control-010-src-frontend,control_from_frontend:frontend_original,frontend
algorithms-selection-control-040-src-sql,control_from_sql:anti_join,sql
algorithms-selection-control-049-src-systems,control_from_systems:permissions,systems
algorithms-selection-control-026-src-python,control_from_python:pathlib,python
algorithms-selection-control-004-src-frontend,control_from_frontend:frontend_original,frontend
algorithms-selection-control-006-src-sql,control_from_sql:cte,sql
algorithms-selection-control-013-src-systems,control_from_systems:find,systems
algorithms-selection-control-024-src-python,control_from_python:iteration,python
algorithms-selection-control-042-src-frontend,control_from_frontend:frontend_original,frontend
algorithms-selection-control-021-src-sql,control_from_sql:date_filter,sql
algorithms-selection-control-048-src-systems,control_from_systems:journald,systems
algorithms-selection-control-003-src-python,control_from_python:generators,python
algorithms-selection-control-019-src-frontend,control_from_frontend:frontend_original,frontend
algorithms-selection-control-000-src-sql,control_from_sql:filter_order_limit,sql
algorithms-selection-control-031-src-python,control_from_python:iteration,python
algorithms-selection-control-035-src-frontend,control_from_frontend:frontend_original,frontend
