layer,expert,panel_group,selection_supervised_routing_mass,selection_supervised_selected_rate,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,precise_target_grad_l2,precise_control_grad_l2,precise_grad_dot,precise_grad_cosine,precise_grad_specific,precise_grad_ratio
1,71,population_random,0.010088186553030303,0.07575757575757576,0.0944921672344207,0.0468675196170806,0.0593415275216102,0.0948790595936701,0.0521707537492159,0.0007196384831331,0.14538409476365,0.0557509942817581,1.8186254323242803
2,13,population_random,0.0,0.0,0.0125682149082422,0.0017853288445621,0.0112292182748205,0.0104877893450289,0.0014932347659904,-2.7713672778872933e-07,-0.0176962822463944,0.0093678632705361,7.023536805378903
3,180,population_random,0.0026337594696969695,0.030303030303030304,0.0186759606003761,0.0233816262334585,0.0011397409252822,0.021240134691136,0.0200139574397872,3.5197713259549346e-05,0.0827988320297165,0.0062296666112956,1.061266106614673
4,98,population_random,0.0,0.0,0.012416398152709,0.0930675789713859,-0.0573842860758304,0.0104336058555713,0.0774500991108246,-2.1307665747372084e-06,-0.0026368138486436,-0.0476539684775471,0.1347139122508678
5,192,population_random,0.0,0.0,0.0206113643944263,0.0368593446910381,-0.0070331441238522,0.0205135096288695,0.0329605556925864,0.0001087279742932,0.1608076858726463,-0.0042069071405702,0.6223654060802487
6,222,population_random,0.0018458510890151515,0.024242424242424242,0.0095491344109177,0.1092332601547241,-0.0723758107051253,0.0079694533625683,0.090859749394299,-4.239241889081313e-06,-0.0058544773457182,-0.0601753586831559,0.0877115930388054
7,6,population_random,0.0,0.0,0.0845057442784309,0.0451037399470806,0.0506779393181204,0.0995606812966839,0.0537988679892294,0.0002981706202263,0.0556677734747727,0.0592115303047618,1.8506092231302211
8,149,population_random,0.0006340258049242425,0.012121212121212121,0.0004176665970589,0.0,0.0004176665970589,0.0003428778107959,0.0,0.0,0.0,0.0003428778107959,342877810.7959385
9,55,population_random,0.0,0.0,0.0,0.0687285810708999,-0.0515464358031749,0.0,0.0570410323653207,0.0,0.0,-0.0427807742739905,0.0
10,178,population_random,0.001278409090909091,0.015151515151515152,0.0219303611665964,0.0089652631431818,0.01520641380921,0.018264420345841,0.0075862412742075,-5.500578197370487e-07,-0.0039698655498292,0.0125747393901853,2.4075717714819524
11,134,population_random,0.0,0.0,0.0319593399763107,0.0814936459064483,-0.0291608944535255,0.0330193426094546,0.0692763374616887,0.0004398189630592,0.192274020964673,-0.0189379104868118,0.476632336795207
12,198,population_random,0.0,0.0,0.0096422545611858,0.0021508890204131,0.0080290877958759,0.0086775708028987,0.0017970882916933,1.1685293657137663e-06,0.0749328153900758,0.0073297545841288,4.828683620154023
13,238,population_random,0.0,0.0,0.0116673549637198,0.0010826563229784,0.010855362721486,0.012494366126372,0.0009024312504046,3.4860044628715066e-08,0.0030917159364424,0.0118175426885685,13.84522766352005
14,248,population_random,0.0021299419981060607,0.030303030303030304,0.0130876656621694,0.0079443976283073,0.0071293674409389,0.0142885926518681,0.0066091842944599,6.088355126721012e-07,0.0064470740572424,0.0093317044310231,2.1619298256947497
15,68,population_random,0.0,0.0,0.0,0.0940416455268859,-0.0705312341451644,0.0,0.0785580242435657,0.0,0.0,-0.0589185181826743,0.0
16,213,population_random,0.007285748106060606,0.08181818181818182,0.1162918508052825,0.0,0.1162918508052825,0.1319412905454841,0.0019304741602316,-4.245511036060634e-07,-0.0016668067616821,0.1304934349253103,68.34657163258984
17,146,population_random,0.00016571969696969698,0.0030303030303030303,0.0108384992927312,0.0,0.0108384992927312,0.009048936929505,0.0,0.0,0.0,0.009048936929505,9048936929.505075
18,206,population_random,0.007742956912878788,0.06060606060606061,0.2569844424724579,0.0,0.2569844424724579,0.2314966965626582,0.0299425004686378,-2.5372341951879207e-06,-0.0003660392803389,0.2090398212111799,7.73137489961467
19,173,population_random,0.0,0.0,0.0201981980353593,0.0502468757331371,-0.0174869587644934,0.0195218119318284,0.0435927600720426,9.585915540810674e-05,0.1126416766991338,-0.0131727581222035,0.4478223424972025
20,61,population_random,0.0034638375946969696,0.048484848484848485,0.034190859645605,0.0416457094252109,0.0029565775766968,0.0341787406245274,0.0431144598181717,0.0003912867687176,0.2655315661649975,0.0018428957608986,0.7927442618527056
