example_id,topic,source_capability
algorithms-selection-target-013,two_sum,algorithms
algorithms-selection-target-005,prefix_sum,algorithms
algorithms-selection-target-039,intervals,algorithms
algorithms-selection-target-026,union_find,algorithms
algorithms-selection-target-001,bfs,algorithms
algorithms-selection-target-037,topological_sort,algorithms
algorithms-selection-target-010,binary_search,algorithms
algorithms-selection-target-032,dijkstra,algorithms
algorithms-selection-target-024,sliding_window,algorithms
algorithms-selection-target-038,top_k,algorithms
algorithms-selection-target-003,two_sum,algorithms
algorithms-selection-target-015,prefix_sum,algorithms
algorithms-selection-target-029,intervals,algorithms
algorithms-selection-target-036,union_find,algorithms
algorithms-selection-target-031,bfs,algorithms
algorithms-selection-target-017,topological_sort,algorithms
algorithms-selection-target-030,binary_search,algorithms
algorithms-selection-target-042,dijkstra,algorithms
algorithms-selection-target-034,sliding_window,algorithms
algorithms-selection-target-018,top_k,algorithms
algorithms-selection-target-023,two_sum,algorithms
algorithms-selection-target-035,prefix_sum,algorithms
algorithms-selection-target-049,intervals,algorithms
algorithms-selection-target-006,union_find,algorithms
algorithms-selection-target-041,bfs,algorithms
algorithms-selection-target-027,topological_sort,algorithms
algorithms-selection-target-000,binary_search,algorithms
algorithms-selection-target-002,dijkstra,algorithms
algorithms-selection-target-014,sliding_window,algorithms
algorithms-selection-target-008,top_k,algorithms
algorithms-selection-target-033,two_sum,algorithms
algorithms-selection-target-025,prefix_sum,algorithms
algorithms-selection-target-009,intervals,algorithms
algorithms-selection-target-046,union_find,algorithms
algorithms-selection-target-021,bfs,algorithms
algorithms-selection-target-047,topological_sort,algorithms
algorithms-selection-target-040,binary_search,algorithms
algorithms-selection-target-022,dijkstra,algorithms
algorithms-selection-target-004,sliding_window,algorithms
algorithms-selection-target-048,top_k,algorithms
algorithms-selection-target-043,two_sum,algorithms
algorithms-selection-target-045,prefix_sum,algorithms
algorithms-selection-target-019,intervals,algorithms
algorithms-selection-target-016,union_find,algorithms
algorithms-selection-target-011,bfs,algorithms
algorithms-selection-target-007,topological_sort,algorithms
algorithms-selection-target-020,binary_search,algorithms
algorithms-selection-target-012,dijkstra,algorithms
algorithms-selection-target-044,sliding_window,algorithms
algorithms-selection-target-028,top_k,algorithms
