method,k,capability,pairs,trainable_params,updates,target_improvement,control_improvement,utility_score,specific_gain,relative_target_improvement,relative_specific_gain,target_token_acc,target_seq_exact,native_target_improvement,native_control_improvement,native_specific_gain,native_relative_target_improvement,native_relative_specific_gain,native_target_token_acc,native_target_seq_exact,mean_train_grad_norm,delta_merge_max_nll_diff
causal,1,python,"[[38, 60]]",3145728.0,19.0,0.0151841640472412,0.0175914764404296,0.0151841640472412,-0.0024073123931884,0.0187758741500211,0.0115437028676143,0.8983322381973267,0.0,0.013637363910675,0.0160160064697265,-0.0023786425590515,0.0168631890256346,0.0102787216876351,0.8983322381973267,0.0,0.3203177248176775,0.0453765392303466
causal,2,python,"[[38, 60], [17, 103]]",6291456.0,19.0,0.1213670969009399,0.0540030002593994,0.1213670969009399,0.0673640966415405,0.1500756531789112,0.127874051797561,0.9001502990722656,0.0,0.1298478245735168,0.0698049068450927,0.060042917728424,0.160562438950291,0.1318643905308925,0.9059685468673706,0.0,0.781742839436782,0.3117666244506836
causal,4,python,"[[38, 60], [17, 103], [25, 168], [17, 14]]",12582912.0,19.0,0.5938765853643417,0.5189886093139648,0.5938765853643417,0.0748879760503768,0.7343540278380408,0.5209885079576073,0.9452526569366456,0.4000000059604645,0.5909838378429413,0.4817820787429809,0.1092017590999603,0.7307770206850215,0.5327077724293525,0.9385393261909484,0.3199999928474426,2.5636585417546724,0.3235254287719726
causal,8,python,"[[38, 60], [17, 103], [25, 168], [17, 14], [36, 229], [17, 33], [24, 184], [24, 168]]",25165824.0,19.0,0.655707523226738,0.7824264764785767,0.655707523226738,-0.1267189532518386,0.8108106509534275,0.4891411018996555,0.9674417972564696,0.4799999892711639,0.6560196876525879,0.782037615776062,-0.1260179281234741,0.8111966557381254,0.4896869742892759,0.9674417972564696,0.4799999892711639,2.4607118525003133,0.3496718406677246
routing,1,python,"[[6, 0]]",3145728.0,19.0,0.0515974164009094,-0.0489969253540039,0.0148497223854064,0.1005943417549133,0.0638024321783936,0.0839459464349377,0.9081504344940186,0.0,0.0731011033058166,-0.020751953125,0.0938530564308166,0.0903926690746653,0.0989241689719423,0.9041503071784972,0.0,0.5033007624902224,0.5361738204956055
routing,2,python,"[[6, 0], [15, 193]]",6291456.0,19.0,0.1537098288536071,0.0010347366333007,0.1537098288536071,0.1526750922203064,0.1900688370592895,0.1896434382822424,0.9121503233909608,0.0,0.1299077272415161,0.0427937507629394,0.0871139764785766,0.160636511184502,0.14304323319091,0.9081504344940186,0.0,0.8732325842506007,0.4268422126770019
routing,4,python,"[[6, 0], [15, 193], [18, 97], [29, 10]]",12582912.0,19.0,0.2425140738487243,-0.0104765892028808,0.2346566319465637,0.2529906630516052,0.2998791185359906,0.3041862321445171,0.913968563079834,0.0,0.2387619018554687,-0.0310072898864746,0.2697691917419433,0.2952393959331911,0.3079870485945015,0.913968563079834,0.0,1.3880265606077091,0.2633724212646484
routing,8,python,"[[6, 0], [15, 193], [18, 97], [29, 10], [9, 76], [14, 20], [8, 104], [27, 23]]",25165824.0,19.0,0.317967802286148,-0.001650333404541,0.3167300522327423,0.3196181356906891,0.3931809101185399,0.3938593917624846,0.921241283416748,0.0,0.3033831715583801,-0.0283803939819335,0.3317635655403137,0.3751463847922112,0.3868140734614697,0.921241283416748,0.0,1.4635533251260455,0.6210212707519531
gradient,1,python,"[[25, 168]]",3145728.0,19.0,0.3677370548248291,0.2638547420501709,0.3677370548248291,0.1038823127746582,0.4547227387829025,0.3462473248718528,0.9081504344940186,0.0,0.3697243928909302,0.2799713611602783,0.0897530317306518,0.4571801680695309,0.3420789231605936,0.9121503233909608,0.0,2.7753602830987227,0.4732527732849121
gradient,2,python,"[[25, 168], [24, 153]]",6291456.0,19.0,0.5468235015869141,0.5514477491378784,0.5468235015869141,-0.0046242475509643,0.6761708590691353,0.4494608049944816,0.9368157386779784,0.2800000011920929,0.5524103045463562,0.5585969686508179,-0.0061866641044616,0.6830791820391121,0.4534299556767774,0.942270278930664,0.3199999928474426,3.00755198378312,0.174013614654541
gradient,4,python,"[[25, 168], [24, 153], [23, 28], [18, 43]]",12582912.0,19.0,0.6667346954345703,0.8607490062713623,0.6667346954345703,-0.194014310836792,0.8244462252900001,0.4705768803492266,0.9719266295433044,0.5600000023841858,0.6622026115655899,0.8491008281707764,-0.1868982166051864,0.8188421079940745,0.4697615378577744,0.9719266295433044,0.5600000023841858,2.9973859222311723,0.2779092788696289
gradient,8,python,"[[25, 168], [24, 153], [23, 28], [18, 43], [28, 149], [26, 134], [28, 138], [29, 250]]",25165824.0,19.0,0.6996639296412468,1.0410629510879517,0.6996639296412468,-0.3413990214467048,0.8651646445192406,0.4371650048339651,0.9745933413505554,0.6000000238418579,0.7036574929952621,1.0411392450332642,-0.337481752038002,0.8701028579573885,0.4420718524636671,0.9745933413505554,0.6000000238418579,3.0263852853524056,0.1886205673217773
gradient_specific,1,python,"[[28, 138]]",3145728.0,19.0,0.2699670791625976,0.0663487911224365,0.2699670791625976,0.2036182880401611,0.3338259444007176,0.3065487671039171,0.9011892676353456,0.0399999991059303,0.2722955346107483,0.0699310302734375,0.2023645043373108,0.3367051800519124,0.3079552800304269,0.9011892676353456,0.0399999991059303,2.606902762463218,0.1213683784008026
gradient_specific,2,python,"[[28, 138], [21, 36]]",6291456.0,19.0,0.525956392288208,0.289531946182251,0.525956392288208,0.236424446105957,0.6503677778558218,0.5313360050760113,0.939510941505432,0.2800000011920929,0.5287139713764191,0.2841989994049072,0.2445149719715118,0.6537776434077148,0.5369383406382707,0.93979811668396,0.2399999946355819,2.9242550762076127,0.324129581451416
gradient_specific,4,python,"[[28, 138], [21, 36], [22, 210], [28, 128]]",12582912.0,19.0,0.6071802079677582,0.3602111339569092,0.6071802079677582,0.246969074010849,0.7508045313339186,0.6027152775735503,0.9614418148994446,0.4799999892711639,0.614936426281929,0.3699736595153808,0.2449627667665481,0.760395430015853,0.6082926270103812,0.956735908985138,0.4000000059604645,2.861688362924676,0.1748597621917724
gradient_specific,8,python,"[[28, 138], [21, 36], [22, 210], [28, 128], [36, 128], [29, 10], [30, 63], [22, 216]]",25165824.0,19.0,0.6980459913611412,0.3486335277557373,0.6980459913611412,0.3494124636054039,0.8631639940102465,0.7198345016815391,0.9707751274108888,0.6000000238418579,0.7018008455634117,0.353304386138916,0.3484964594244957,0.8678070332802494,0.722557267347595,0.9707751274108888,0.6000000238418579,2.8973602119245028,0.1854348182678222
causal,1,sql,"[[31, 38]]",3145728.0,19.0,0.1513398289680481,0.1135218143463134,0.1513398289680481,0.0378180146217346,0.1907509999725036,0.1470347721804245,0.8725482821464539,0.0,0.1534963846206665,0.1167652606964111,0.0367311239242553,0.1934691551999697,0.1485039054442378,0.8734177947044373,0.0,1.1029815109152543,0.1244173049926757
causal,2,sql,"[[31, 38], [16, 17]]",6291456.0,19.0,0.2510218620300293,0.2569270133972168,0.2510218620300293,-0.0059051513671875,0.3163917358945691,0.2174514581313284,0.8767874240875244,0.0,0.25389564037323,0.2678291797637939,-0.0139335393905639,0.3200138894043408,0.2168752856096423,0.877930223941803,0.0,1.2197192405399524,0.31719970703125
causal,4,sql,"[[31, 38], [16, 17], [24, 206], [39, 95]]",12582912.0,19.0,0.3327502012252807,0.4382562637329101,0.3327502012252807,-0.1055060625076294,0.4194033656412738,0.2506348274799069,0.9045742750167848,0.0,0.3415939509868622,0.4351851940155029,-0.0935912430286407,0.4305501610488754,0.2629642641631488,0.9045742750167848,0.0,1.2688644936210232,0.3506593704223633
