method,k,target_improvement_mean,specific_gain_mean,native_target_improvement_mean,native_specific_gain_mean
gradient_specific,1,0.3764050304889679,0.36369767785072327,0.3780762702226639,0.36409564316272736
routing,1,0.2739040404558182,0.28520484268665314,0.2803646326065063,0.29838681221008295
causal,1,0.2154916375875473,0.18291006982326508,0.2176902741193771,0.18546168506145475
gradient,1,0.1889095455408096,0.06993784010410306,0.18997730314731595,0.059615924954414326
gradient_specific,2,0.5413232743740082,0.4674279987812042,0.5422692522406578,0.46109988540410995
gradient,2,0.5319869667291641,0.2648632675409317,0.536944717168808,0.26304009556770325
routing,2,0.38211335241794586,0.3732830137014389,0.3647553473711014,0.3404855877161026
causal,2,0.2979441285133362,0.1944379806518555,0.29173295199871063,0.1880730837583542
gradient,4,0.9865120202302933,0.40824566781520844,0.9833655245602131,0.4076874144375324
gradient_specific,4,0.8142378330230713,0.7179536819458008,0.8175791837275028,0.7171441651880741
routing,4,0.5848117917776108,0.5915698856115341,0.5988585203886032,0.5984241217374802
causal,4,0.5606700144708157,0.2850641570985317,0.5552660673856735,0.28289438784122467
gradient_specific,8,1.2558950688689947,0.9795693662017584,1.258820379152894,0.9820644203573464
gradient,8,1.2382027711719275,0.4215574171394111,1.241870205849409,0.4252769760787487
causal,8,0.9412258453667164,0.4789724834263325,0.940033420920372,0.4836704283952713
routing,8,0.9095333628356457,0.8960819654166698,0.9186486005783081,0.9380366206169128
