capability,predictor,outcome,n,spearman_rho,spearman_p,spearman_ci_low,spearman_ci_high,kendall_tau
python,global_target_gradient,native_relative_specific_gain,48,0.5031639425154733,,,,0.3274291729632903
python,precise_target_gradient,native_relative_specific_gain,48,0.5028367168862632,,,,0.3292482239241975
python,precise_control_gradient,native_relative_specific_gain,48,0.3438487452229882,,,,0.22562073478356
python,target_control_gradient_cosine,native_relative_specific_gain,48,0.3240246963548412,,,,0.2347172912594839
python,renorm_causal_target_damage,native_relative_specific_gain,48,0.1761254486331742,,,,0.1422881602393952
python,renorm_causal_specificity,native_relative_specific_gain,48,0.1638401549939467,,,,0.1261800666273882
python,precise_gradient_specific,native_relative_specific_gain,48,0.1568159564642166,,,,0.092420217406662
python,global_gradient_specific,native_relative_specific_gain,48,0.1196238225455189,,,,0.074474544123815
python,routing_mass,native_relative_specific_gain,48,0.0649913405705667,,,,0.0301184012262914
python,routing_rate,native_relative_specific_gain,48,0.0589453208097448,,,,0.0253534891178757
python,causal_target_damage,native_relative_specific_gain,48,0.0001087312165922,,,,0.0474925838254579
python,causal_relative_target_damage,native_relative_specific_gain,48,0.0001087312165922,,,,0.0474925838254579
python,causal_relative_specificity,native_relative_specific_gain,48,-0.0131564772076612,,,,0.0367395459781844
python,causal_specificity,native_relative_specific_gain,48,-0.0539306834297518,,,,0.0044804324363639
python,global_target_gradient,native_relative_target_improvement,48,0.5560654192377807,,,,0.3729054469859695
python,precise_target_gradient,native_relative_target_improvement,48,0.5508298091704185,,,,0.3601720902596194
python,precise_gradient_specific,native_relative_target_improvement,48,0.3077594707307441,,,,0.2072725264168827
python,precise_control_gradient,native_relative_target_improvement,48,0.2979442306756611,,,,0.2004518878754338
python,target_control_gradient_cosine,native_relative_target_improvement,48,0.2844362391830752,,,,0.2000120108397937
python,global_gradient_specific,native_relative_target_improvement,48,0.2686098560794834,,,,0.1857377184774663
python,renorm_causal_specificity,native_relative_target_improvement,48,0.227006133793869,,,,0.1977715937918638
python,renorm_causal_target_damage,native_relative_target_improvement,48,0.2213527243315696,,,,0.195981805612752
python,routing_mass,native_relative_target_improvement,48,0.150636233239552,,,,0.0884120810191137
python,routing_rate,native_relative_target_improvement,48,0.1428722299626672,,,,0.0799610041409927
python,causal_target_damage,native_relative_target_improvement,48,0.0575188135772958,,,,0.072583005469096
python,causal_relative_target_damage,native_relative_target_improvement,48,0.0575188135772958,,,,0.072583005469096
python,causal_relative_specificity,native_relative_target_improvement,48,0.0415353247382363,,,,0.0582456216727314
python,causal_specificity,native_relative_target_improvement,48,-0.0119604338251465,,,,0.0224021621818197
python,global_target_gradient,native_specific_gain,48,0.4305198528308201,,,,0.2710385931751681
python,precise_target_gradient,native_specific_gain,48,0.4281201982166123,,,,0.2837719499015183
python,precise_control_gradient,native_specific_gain,48,0.3770261787228336,,,,0.2453962573542306
python,target_control_gradient_cosine,native_specific_gain,48,0.289951320802866,,,,0.2054917919586922
python,renorm_causal_target_damage,native_specific_gain,48,0.1822137357464198,,,,0.1440779484185071
python,renorm_causal_specificity,native_specific_gain,48,0.1522071778311382,,,,0.113651549373605
python,causal_relative_specificity,native_specific_gain,48,0.0804611002782588,,,,0.0887125622400063
python,causal_target_damage,native_specific_gain,48,0.0786126695961907,,,,0.0815438703418239
python,causal_relative_target_damage,native_specific_gain,48,0.0786126695961907,,,,0.0815438703418239
python,causal_specificity,native_specific_gain,48,0.0655649236051217,,,,0.0672064865454593
python,routing_mass,native_specific_gain,48,0.0533175937323302,,,,0.0223459105872485
python,routing_rate,native_specific_gain,48,0.0521525743164313,,,,0.0253534891178757
python,precise_gradient_specific,native_specific_gain,48,-0.0250122538049721,,,,-0.020637524275274
python,global_gradient_specific,native_specific_gain,48,-0.0403458528767159,,,,-0.0242266589318434
python,global_target_gradient,native_target_improvement,48,0.5560654192377807,,,,0.3729054469859695
python,precise_target_gradient,native_target_improvement,48,0.5508298091704185,,,,0.3601720902596194
python,precise_gradient_specific,native_target_improvement,48,0.3077594707307441,,,,0.2072725264168827
python,precise_control_gradient,native_target_improvement,48,0.2979442306756611,,,,0.2004518878754338
python,target_control_gradient_cosine,native_target_improvement,48,0.2844362391830752,,,,0.2000120108397937
python,global_gradient_specific,native_target_improvement,48,0.2686098560794834,,,,0.1857377184774663
python,renorm_causal_specificity,native_target_improvement,48,0.227006133793869,,,,0.1977715937918638
python,renorm_causal_target_damage,native_target_improvement,48,0.2213527243315696,,,,0.195981805612752
python,routing_mass,native_target_improvement,48,0.150636233239552,,,,0.0884120810191137
python,routing_rate,native_target_improvement,48,0.1428722299626672,,,,0.0799610041409927
python,causal_target_damage,native_target_improvement,48,0.0575188135772958,,,,0.072583005469096
python,causal_relative_target_damage,native_target_improvement,48,0.0575188135772958,,,,0.072583005469096
python,causal_relative_specificity,native_target_improvement,48,0.0415353247382363,,,,0.0582456216727314
python,causal_specificity,native_target_improvement,48,-0.0119604338251465,,,,0.0224021621818197
python,global_target_gradient,relative_specific_gain,48,0.672557743236594,,,,0.4620389440704208
python,precise_target_gradient,relative_specific_gain,48,0.6597959436973982,,,,0.4747723007967709
python,precise_control_gradient,relative_specific_gain,48,0.489068003328869,,,,0.3334872215326724
python,renorm_causal_specificity,relative_specific_gain,48,0.4049798124435643,,,,0.2657835445981157
python,renorm_causal_target_damage,relative_specific_gain,48,0.3764953263065941,,,,0.2460958746278849
python,causal_target_damage,relative_specific_gain,48,0.3708821797961363,,,,0.2446316110254719
python,causal_relative_target_damage,relative_specific_gain,48,0.3708821797961363,,,,0.2446316110254719
python,causal_relative_specificity,relative_specific_gain,48,0.3620749512521647,,,,0.2338785731781984
python,routing_rate,relative_specific_gain,48,0.3363812974209437,,,,0.2457338176040266
python,routing_mass,relative_specific_gain,48,0.3306813287061999,,,,0.2458050164597337
python,causal_specificity,relative_specific_gain,48,0.3265198434265017,,,,0.2159568434327426
python,target_control_gradient_cosine,relative_specific_gain,48,0.2750442189988769,,,,0.1963588234271947
python,precise_gradient_specific,relative_specific_gain,48,0.2440325979928586,,,,0.1462572372552029
python,global_gradient_specific,relative_specific_gain,48,0.2360939261330196,,,,0.1462572372552029
python,precise_target_gradient,relative_target_improvement,48,0.7077890359815535,,,,0.5056961671321929
python,global_target_gradient,relative_target_improvement,48,0.6990630192026162,,,,0.5038771161712857
python,precise_control_gradient,relative_target_improvement,48,0.4440337165454723,,,,0.3352849963118243
python,renorm_causal_specificity,relative_target_improvement,48,0.4094373083657619,,,,0.2926303672847941
python,renorm_causal_target_damage,relative_target_improvement,48,0.3733424633372348,,,,0.2657835445981157
python,target_control_gradient_cosine,relative_target_improvement,48,0.3425357128806739,,,,0.2255843227279865
python,routing_rate,relative_target_improvement,48,0.3107260482685119,,,,0.2281814020608819
python,routing_mass,relative_target_improvement,48,0.303292922662645,,,,0.2263737898621263
python,precise_gradient_specific,relative_target_improvement,48,0.3019957774626418,,,,0.2162453630583062
python,global_gradient_specific,relative_target_improvement,48,0.2656736349806388,,,,0.1911214204623204
python,causal_target_damage,relative_target_improvement,48,0.2604112637384188,,,,0.1998272866618323
python,causal_relative_target_damage,relative_target_improvement,48,0.2604112637384188,,,,0.1998272866618323
python,causal_relative_specificity,relative_target_improvement,48,0.2479071738303109,,,,0.1890742488145588
python,causal_specificity,relative_target_improvement,48,0.2075678924745893,,,,0.1532307893236472
python,global_target_gradient,specific_gain,48,0.4268112956997717,0.0015996800639872,0.1621455367820248,0.6428961840276642,0.2855910008624254
python,precise_target_gradient,specific_gain,48,0.4099046381905806,0.0057988402319536,0.1423824242103893,0.6355657738832668,0.2837719499015183
python,precise_control_gradient,specific_gain,48,0.3780051849572553,0.010997800439912,0.0960899926389653,0.6129470223640405,0.2471940321333825
python,causal_relative_specificity,specific_gain,48,0.3552248846068535,0.0143971205758848,0.0600162336120674,0.6084591823413953,0.2302942272291072
python,causal_target_damage,specific_gain,48,0.3537026475745621,0.0155968806238752,0.0499324305757,0.6077478006015644,0.2267098812800161
python,causal_relative_target_damage,specific_gain,48,0.3537026475745621,0.0125974805038992,0.0510596124923463,0.6096501927111055,0.2267098812800161
python,causal_specificity,specific_gain,48,0.3378278899520948,0.0225954809038192,0.041215207202682,0.59897815438348,0.2231255353309249
python,renorm_causal_specificity,specific_gain,48,0.2981086297235579,0.0411917616476704,-0.0090541578568517,0.5734595504197639,0.1977715937918638
python,renorm_causal_target_damage,specific_gain,48,0.2848448613697016,0.0441911617676464,-0.0241302956093545,0.557879727472172,0.1888226528963044
python,routing_mass,specific_gain,48,0.2672614540561649,0.0679864027194561,-0.0460647874503073,0.5375620476093032,0.1875113366669115
python,routing_rate,specific_gain,48,0.2629522692122331,0.0751849630073985,-0.0456250264761039,0.5345482023898418,0.1833252290061786
python,global_gradient_specific,specific_gain,48,0.1306074644337893,0.3715256948610278,-0.1797649526968869,0.4105980172461077,0.1031876213763702
python,precise_gradient_specific,specific_gain,48,0.1295199751379209,0.3653269346130773,-0.1706849048955888,0.4170438711784091,0.0995984867198008
python,target_control_gradient_cosine,specific_gain,48,0.0619218074934934,0.668866226754649,-0.2351871039879704,0.3678614071775203,0.0374451709791394
python,precise_target_gradient,target_improvement,48,0.7077890359815535,0.0001999600079984,0.5295438585609535,0.8164988762773111,0.5056961671321929
python,global_target_gradient,target_improvement,48,0.6990630192026162,0.0001999600079984,0.5170396840095703,0.814866238733698,0.5038771161712857
python,precise_control_gradient,target_improvement,48,0.4440337165454723,0.0023995200959808,0.1667474361313412,0.6861447552762724,0.3352849963118243
python,renorm_causal_specificity,target_improvement,48,0.4094373083657619,0.0051989602079584,0.1129282949767711,0.6534201800697124,0.2926303672847941
python,renorm_causal_target_damage,target_improvement,48,0.3733424633372348,0.0107978404319136,0.06266926620948,0.627201058849757,0.2657835445981157
python,target_control_gradient_cosine,target_improvement,48,0.3425357128806739,0.015996800639872,0.0458606012428534,0.5992011804471716,0.2255843227279865
python,routing_rate,target_improvement,48,0.3107260482685119,0.0311937612477504,0.0172823947865134,0.5728309404902965,0.2281814020608819
python,routing_mass,target_improvement,48,0.303292922662645,0.0371925614877024,0.0122522727952512,0.5646079391909941,0.2263737898621263
python,precise_gradient_specific,target_improvement,48,0.3019957774626418,0.0355928814237152,-0.0089722957776581,0.5619200249358601,0.2162453630583062
python,global_gradient_specific,target_improvement,48,0.2656736349806388,0.0755848830233953,-0.0530201557796176,0.5370810186086713,0.1911214204623204
python,causal_target_damage,target_improvement,48,0.2604112637384188,0.0759848030393921,-0.0544605628662986,0.5530367937631785,0.1998272866618323
python,causal_relative_target_damage,target_improvement,48,0.2604112637384188,0.0753849230153969,-0.0579070434347868,0.5538405082152517,0.1998272866618323
python,causal_relative_specificity,target_improvement,48,0.2479071738303109,0.0875824835032993,-0.0639575020401739,0.552701234804884,0.1890742488145588
python,causal_specificity,target_improvement,48,0.2075678924745893,0.1491701659668066,-0.1210675695323077,0.5166245316636886,0.1532307893236472
sql,precise_target_gradient,native_relative_specific_gain,48,0.3077467220912863,,,,0.1995541906475653
sql,global_target_gradient,native_relative_specific_gain,48,0.2809010783135897,,,,0.1834466775011251
sql,target_control_gradient_cosine,native_relative_specific_gain,48,0.2016205154539928,,,,0.1426681025986335
sql,precise_control_gradient,native_relative_specific_gain,48,0.1592261867786453,,,,0.0993296644030482
