capability,predictor,outcome,controls,partial_rank_corr
python,target_delta_nll,validation_target_improvement,routing_mass + layer_depth,0.0738133940972695
python,target_delta_nll,validation_specific_gain,routing_mass + layer_depth,0.2933093587211845
python,causal_relative_specificity,validation_target_improvement,routing_mass + layer_depth,0.0677083439818048
python,causal_relative_specificity,validation_specific_gain,routing_mass + layer_depth,0.301279179017979
python,global_target_grad_bf16,validation_target_improvement,routing_mass + layer_depth,0.6368709053808848
python,global_target_grad_bf16,validation_specific_gain,routing_mass + layer_depth,0.3172585707193778
python,precise_target_grad_l2,validation_target_improvement,routing_mass + layer_depth,0.6264490036942648
python,precise_target_grad_l2,validation_specific_gain,routing_mass + layer_depth,0.2866945488425633
python,precise_grad_specific,validation_target_improvement,routing_mass + layer_depth,0.1173689972359125
python,precise_grad_specific,validation_specific_gain,routing_mass + layer_depth,0.0227240022821647
sql,target_delta_nll,validation_target_improvement,routing_mass + layer_depth,0.074676412706997
sql,target_delta_nll,validation_specific_gain,routing_mass + layer_depth,0.0627367102342019
sql,causal_relative_specificity,validation_target_improvement,routing_mass + layer_depth,0.0776212896569256
sql,causal_relative_specificity,validation_specific_gain,routing_mass + layer_depth,0.036599906844016
sql,global_target_grad_bf16,validation_target_improvement,routing_mass + layer_depth,0.2385861123270475
sql,global_target_grad_bf16,validation_specific_gain,routing_mass + layer_depth,-0.1106542641623059
sql,precise_target_grad_l2,validation_target_improvement,routing_mass + layer_depth,0.2596550050390215
sql,precise_target_grad_l2,validation_specific_gain,routing_mass + layer_depth,-0.0999670437955697
sql,precise_grad_specific,validation_target_improvement,routing_mass + layer_depth,-0.0736716360881921
sql,precise_grad_specific,validation_specific_gain,routing_mass + layer_depth,0.057224139791916
systems,target_delta_nll,validation_target_improvement,routing_mass + layer_depth,-0.1575424883655207
systems,target_delta_nll,validation_specific_gain,routing_mass + layer_depth,-0.1179807592191753
systems,causal_relative_specificity,validation_target_improvement,routing_mass + layer_depth,-0.1480771965274666
systems,causal_relative_specificity,validation_specific_gain,routing_mass + layer_depth,-0.19419180034018
systems,global_target_grad_bf16,validation_target_improvement,routing_mass + layer_depth,0.3605147210088104
systems,global_target_grad_bf16,validation_specific_gain,routing_mass + layer_depth,0.2714694610075673
systems,precise_target_grad_l2,validation_target_improvement,routing_mass + layer_depth,0.3483650782315107
systems,precise_target_grad_l2,validation_specific_gain,routing_mass + layer_depth,0.2910643932180153
systems,precise_grad_specific,validation_target_improvement,routing_mass + layer_depth,0.0127071355609541
systems,precise_grad_specific,validation_specific_gain,routing_mass + layer_depth,0.1858005846336328
algorithms,target_delta_nll,validation_target_improvement,routing_mass + layer_depth,0.2739542581890351
algorithms,target_delta_nll,validation_specific_gain,routing_mass + layer_depth,0.1338522618131837
algorithms,causal_relative_specificity,validation_target_improvement,routing_mass + layer_depth,0.1371624084441031
algorithms,causal_relative_specificity,validation_specific_gain,routing_mass + layer_depth,-0.018051474470731
algorithms,global_target_grad_bf16,validation_target_improvement,routing_mass + layer_depth,0.5197273950241815
algorithms,global_target_grad_bf16,validation_specific_gain,routing_mass + layer_depth,0.3749109727835624
algorithms,precise_target_grad_l2,validation_target_improvement,routing_mass + layer_depth,0.5585749335421807
algorithms,precise_target_grad_l2,validation_specific_gain,routing_mass + layer_depth,0.3996664488370196
algorithms,precise_grad_specific,validation_target_improvement,routing_mass + layer_depth,0.3522747314202683
algorithms,precise_grad_specific,validation_specific_gain,routing_mass + layer_depth,0.2479247507722319
