layer,expert,panel_group,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,global_grad_ratio_bf16,scan_peak_gpu_gib,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank,global_target_grad_rank,global_grad_specific_rank
1,174,population_random,0.018843051046133,0.0079527711495757,0.0128784726839512,2.369369203434072,64.8782606124878,681,16,0.0234948604992657,0.002538202092511,3211,4634,1952
2,55,population_random,0.0146003095433115,0.0087735308334231,0.0080201614182442,1.664131558759327,64.8782606124878,681,32,0.0469897209985315,0.0078254061123348,1389,5078,2330
3,90,population_random,0.0830020606517791,0.0870779529213905,0.0176935959607362,0.9531926034797344,64.8782606124878,681,80,0.1174743024963289,0.0130437775330396,732,1780,1718
4,60,population_random,0.005626137368381,0.0052130632102489,0.0017163399606943,1.0792382789912711,64.8782606124878,681,6,0.0088105726872246,0.0008546714390602,4953,6612,3127
5,146,population_random,0.0,0.0005474828649312,-0.0004106121486984,0.0,64.8782606124878,681,0,0.0,0.0,7048,8557,4540
6,162,population_random,0.0898151993751525,0.1398245394229889,-0.015053205192089,0.6423421793137943,64.8782606124878,681,5,0.0073421439060205,0.0008381802955212,4978,1661,6795
7,44,population_random,0.0327908806502819,0.0315478220582008,0.0091300141066312,1.0394023583862118,64.8782606124878,681,0,0.0,0.0,7140,3553,2236
8,156,population_random,0.0637468099594116,0.0536814704537391,0.0234857071191072,1.18750118838788,64.8782606124878,681,0,0.0,0.0,7217,2254,1516
9,235,population_random,0.1439613103866577,0.1663235127925872,0.0192186757922172,0.8655499632533509,64.8782606124878,681,26,0.0381791483113069,0.0042963013950073,2329,1021,1653
10,248,population_random,0.0170928761363029,0.016049263998866,0.0050559281371533,1.0650255448751778,64.8782606124878,681,0,0.0,0.0,7378,4798,2643
11,25,population_random,0.0816503167152404,0.1301974505186081,-0.0159977711737155,0.6271268476408738,64.8782606124878,681,104,0.1527165932452276,0.0196875573604992,415,1801,6889
12,175,population_random,0.0981358438730239,0.2407252341508865,-0.0824080817401409,0.4076674562962717,64.8782606124878,681,54,0.079295154185022,0.008534525284508,1266,1535,8845
13,146,population_random,0.1182515174150466,0.3135196268558502,-0.1168882027268409,0.3771742094763308,64.8782606124878,681,127,0.1864904552129221,0.0208408618988619,387,1271,9177
14,148,population_random,0.233488917350769,0.0780003368854522,0.1749886646866798,2.993434729527729,64.8782606124878,681,91,0.1336270190895741,0.0160738459067547,562,625,283
15,60,population_random,0.047812707722187,0.4308348894119262,-0.2753134593367576,0.1109768704835828,64.8782606124878,681,0,0.0,0.0,7746,2788,9700
