method,k,capability,pairs,trainable_params,updates,target_improvement,control_improvement,utility_score,specific_gain,relative_target_improvement,relative_specific_gain,target_token_acc,target_seq_exact,native_target_improvement,native_control_improvement,native_specific_gain,native_relative_target_improvement,native_relative_specific_gain,native_target_token_acc,native_target_seq_exact,mean_train_grad_norm,delta_merge_max_nll_diff
causal,1,python,"[[38, 60]]",3145728.0,19.0,0.015184164047241211,0.017591476440429688,0.015184164047241211,-0.0024073123931884766,0.01877587415002111,0.011543702867614351,0.8983322381973267,0.0,0.013637363910675049,0.016016006469726562,-0.0023786425590515137,0.01686318902563467,0.010278721687635148,0.8983322381973267,0.0,0.32031772481767756,0.04537653923034668
causal,2,python,"[[38, 60], [17, 103]]",6291456.0,19.0,0.12136709690093994,0.054003000259399414,0.12136709690093994,0.06736409664154053,0.15007565317891128,0.12787405179756106,0.9001502990722656,0.0,0.12984782457351685,0.06980490684509277,0.06004291772842407,0.16056243895029104,0.13186439053089255,0.9059685468673706,0.0,0.781742839436782,0.3117666244506836
causal,4,python,"[[38, 60], [17, 103], [25, 168], [17, 14]]",12582912.0,19.0,0.5938765853643417,0.5189886093139648,0.5938765853643417,0.07488797605037689,0.7343540278380408,0.5209885079576073,0.9452526569366455,0.4000000059604645,0.5909838378429413,0.48178207874298096,0.10920175909996033,0.7307770206850215,0.5327077724293525,0.9385393261909485,0.3199999928474426,2.5636585417546724,0.32352542877197266
causal,8,python,"[[38, 60], [17, 103], [25, 168], [17, 14], [36, 229], [17, 33], [24, 184], [24, 168]]",25165824.0,19.0,0.655707523226738,0.7824264764785767,0.655707523226738,-0.12671895325183868,0.8108106509534275,0.48914110189965554,0.9674417972564697,0.47999998927116394,0.6560196876525879,0.782037615776062,-0.12601792812347412,0.8111966557381254,0.48968697428927593,0.9674417972564697,0.47999998927116394,2.4607118525003133,0.3496718406677246
routing,1,python,"[[6, 0]]",3145728.0,19.0,0.051597416400909424,-0.048996925354003906,0.014849722385406494,0.10059434175491333,0.06380243217839365,0.08394594643493773,0.9081504344940186,0.0,0.07310110330581665,-0.020751953125,0.09385305643081665,0.09039266907466532,0.0989241689719423,0.9041503071784973,0.0,0.5033007624902224,0.5361738204956055
routing,2,python,"[[6, 0], [15, 193]]",6291456.0,19.0,0.15370982885360718,0.0010347366333007812,0.15370982885360718,0.1526750922203064,0.19006883705928956,0.18964343828224242,0.9121503233909607,0.0,0.1299077272415161,0.04279375076293945,0.08711397647857666,0.160636511184502,0.14304323319091003,0.9081504344940186,0.0,0.8732325842506007,0.42684221267700195
routing,4,python,"[[6, 0], [15, 193], [18, 97], [29, 10]]",12582912.0,19.0,0.24251407384872437,-0.01047658920288086,0.23465663194656372,0.2529906630516052,0.29987911853599064,0.3041862321445171,0.913968563079834,0.0,0.23876190185546875,-0.03100728988647461,0.26976919174194336,0.2952393959331911,0.30798704859450154,0.913968563079834,0.0,1.3880265606077093,0.26337242126464844
routing,8,python,"[[6, 0], [15, 193], [18, 97], [29, 10], [9, 76], [14, 20], [8, 104], [27, 23]]",25165824.0,19.0,0.31796780228614807,-0.0016503334045410156,0.3167300522327423,0.3196181356906891,0.3931809101185399,0.39385939176248463,0.921241283416748,0.0,0.3033831715583801,-0.028380393981933594,0.3317635655403137,0.3751463847922112,0.38681407346146973,0.921241283416748,0.0,1.4635533251260455,0.6210212707519531
gradient,1,python,"[[25, 168]]",3145728.0,19.0,0.3677370548248291,0.2638547420501709,0.3677370548248291,0.1038823127746582,0.45472273878290254,0.34624732487185284,0.9081504344940186,0.0,0.3697243928909302,0.2799713611602783,0.08975303173065186,0.4571801680695309,0.34207892316059363,0.9121503233909607,0.0,2.7753602830987227,0.4732527732849121
gradient,2,python,"[[25, 168], [24, 153]]",6291456.0,19.0,0.5468235015869141,0.5514477491378784,0.5468235015869141,-0.0046242475509643555,0.6761708590691353,0.4494608049944816,0.9368157386779785,0.2800000011920929,0.5524103045463562,0.5585969686508179,-0.00618666410446167,0.6830791820391121,0.45342995567677746,0.9422702789306641,0.3199999928474426,3.0075519837831197,0.17401361465454102
