selector,order_seed,capability,layer,expert,lr,updates,trainable_params,mean_train_grad_norm,relative_parameter_delta,final_target_improvement,final_control_improvement,final_utility_score,final_specific_gain,final_relative_target_improvement,final_relative_control_improvement,final_relative_specific_gain,final_target_token_acc,final_control_token_acc,final_target_seq_exact,final_control_seq_exact,peak_gpu_gib,delta_merge_max_nll_diff,native_target_improvement,native_control_improvement,native_utility_score,native_specific_gain,native_relative_target_improvement,native_relative_control_improvement,native_relative_specific_gain,native_target_token_acc,native_control_token_acc,native_target_seq_exact,native_control_seq_exact
causal,11,python,38.0,60.0,1e-05,19.0,3145728.0,0.32031772481767756,0.004366837224062531,0.015184164047241211,0.017591476440429688,0.015184164047241211,-0.0024073123931884766,0.01877587415002111,0.007232171282406761,0.011543702867614351,0.8983322381973267,0.7725726366043091,0.0,0.0,64.54045009613037,0.04537653923034668,0.013637363910675049,0.016016006469726562,0.013637363910675049,-0.0023786425590515137,0.01686318902563467,0.00658446733799952,0.010278721687635148,0.8983322381973267,0.7725726366043091,0.0,0.0
causal,23,python,38.0,60.0,1e-05,19.0,3145728.0,0.32503095582911845,0.004396334387775303,0.013315379619598389,0.018261432647705078,0.013315379619598389,-0.0049460530281066895,0.016465041553786357,0.007507602287822068,0.00895743926596429,0.8983322381973267,0.7725726366043091,0.0,0.0,64.54045009613037,0.06216096878051758,0.014484286308288574,0.01625370979309082,0.014484286308288574,-0.001769423484802246,0.017910445121060933,0.006682191434938688,0.011228253686122245,0.8983322381973267,0.7725726366043091,0.0,0.0
causal,47,python,38.0,60.0,1e-05,19.0,3145728.0,0.3157961964607239,0.004483891627535935,0.013229012489318848,0.019797086715698242,0.013229012489318848,-0.0065680742263793945,0.01635824486983445,0.00813893720094662,0.00821930766888783,0.8983322381973267,0.7725726366043091,0.0,0.0,64.54045009613037,0.04519486427307129,0.015483856201171875,0.01824045181274414,0.015483856201171875,-0.0027565956115722656,0.019146456432222764,0.007498976690499454,0.01164747974172331,0.8983322381973267,0.7725726366043091,0.0,0.0
routing,11,python,6.0,0.0,1e-05,19.0,3145728.0,0.5033007624902224,0.004243378724684159,0.051597416400909424,-0.048996925354003906,0.014849722385406494,0.10059434175491333,0.06380243217839365,-0.020143514256544082,0.08394594643493773,0.9081504344940186,0.7751814126968384,0.0,0.0,64.54045009613037,0.5361738204956055,0.07310110330581665,-0.020751953125,0.05753713846206665,0.09385305643081665,0.09039266907466532,-0.008531499897276978,0.0989241689719423,0.9041503071784973,0.7751814126968384,0.0,0.0
routing,23,python,6.0,0.0,1e-05,19.0,3145728.0,0.517529348009511,0.004309225725551984,0.06519514322280884,-0.004502296447753906,0.06181842088699341,0.06969743967056274,0.08061660823313252,-0.0018509747709119766,0.0824675830040445,0.9081504344940186,0.7743118405342102,0.0,0.0,64.54045009613037,0.28476810455322266,0.04907888174057007,-0.02050471305847168,0.03370034694671631,0.06958359479904175,0.06068815537804589,-0.008429855074282075,0.06911801045232796,0.9041503667831421,0.7743118405342102,0.0,0.0
routing,47,python,6.0,0.0,1e-05,19.0,3145728.0,0.4921687496335883,0.0043752341285700665,0.06556475162506104,-0.01831960678100586,0.05182504653930664,0.0838843584060669,0.08107364497377142,-0.007531518716762045,0.08860516369053346,0.9019685387611389,0.7743118405342102,0.0,0.0,64.54045009613037,0.41274166107177734,0.05225980281829834,-0.03720545768737793,0.024355709552764893,0.08946526050567627,0.06462150157022081,-0.01529583054308329,0.0799173321133041,0.9081504344940186,0.7725726366043091,0.0,0.0
gradient,11,python,25.0,168.0,1e-05,19.0,3145728.0,2.7753602830987227,0.005838264020435546,0.3677370548248291,0.2638547420501709,0.3677370548248291,0.1038823127746582,0.45472273878290254,0.1084754139110497,0.34624732487185284,0.9081504344940186,0.7743118405342102,0.0,0.0,64.54045009613037,0.4732527732849121,0.3697243928909302,0.2799713611602783,0.3697243928909302,0.08975303173065186,0.4571801680695309,0.11510124490893722,0.34207892316059363,0.9121503233909607,0.7743118405342102,0.0,0.0
gradient,23,python,25.0,168.0,1e-05,19.0,3145728.0,2.8442277343649613,0.005731344472978221,0.3642539083957672,0.24180960655212402,0.3642539083957672,0.12244430184364319,0.45041567790061154,0.09941226356061521,0.3510034143399963,0.9081504344940186,0.7743118405342102,0.0,0.0,64.54045009613037,0.29300975799560547,0.3633803427219391,0.26471996307373047,0.3633803427219391,0.09866037964820862,0.4493354762442974,0.10883112178245616,0.34050435446184124,0.9081504344940186,0.7743118405342102,0.0,0.0
gradient,47,python,25.0,168.0,1e-05,19.0,3145728.0,2.7387546614596716,0.0059149691958727876,0.36641475558280945,0.2688155174255371,0.36641475558280945,0.09759923815727234,0.45308765870344697,0.11051487758709108,0.3425727811163559,0.9081504344940186,0.7743118405342102,0.0,0.0,64.54045009613037,0.314666748046875,0.36962682008743286,0.2490389347076416,0.36962682008743286,0.12058788537979126,0.45705951508704,0.1023843699471643,0.35467514513987575,0.9121503233909607,0.7743118405342102,0.0,0.0
gradient_specific,11,python,28.0,138.0,1e-05,19.0,3145728.0,2.606902762463218,0.005432106027953453,0.26996707916259766,0.06634879112243652,0.26996707916259766,0.20361828804016113,0.33382594440071767,0.027277177296800532,0.30654876710391715,0.9011892676353455,0.7743118405342102,0.03999999910593033,0.0,64.54045009613037,0.12136837840080261,0.2722955346107483,0.0699310302734375,0.2722955346107483,0.2023645043373108,0.33670518005191247,0.02874990002148558,0.3079552800304269,0.9011892676353455,0.7743118405342102,0.03999999910593033,0.0
