layer,target_delta_nll,control_delta_nll,causal_specificity
1,-0.06309229135513306,-0.04677245765924454,-0.06309229135513306
2,-0.07582107186317444,-0.10306406766176224,-0.07582107186317444
3,-0.047406792640686035,-0.013943019323050976,-0.047406792640686035
4,-0.008730637840926647,-0.13781076669692993,-0.008730637840926647
5,0.0029438144993036985,-0.045260343700647354,0.0029438144993036985
6,-0.013515796512365341,-0.035069540143013,-0.013515796512365341
7,0.030991749837994576,-0.11750569194555283,0.030991749837994576
8,-0.027157669886946678,0.018755581229925156,-0.041224355809390545
9,0.036227062344551086,-0.002219385001808405,0.036227062344551086
10,0.06829385459423065,-0.04176703095436096,0.06829385459423065
11,-0.030742067843675613,-0.11730105429887772,-0.030742067843675613
12,0.05584006756544113,-0.040046390146017075,0.05584006756544113
13,0.043024420738220215,-0.006569638382643461,0.043024420738220215
14,0.01728721894323826,-0.0813978761434555,0.01728721894323826
15,-0.0627850741147995,-0.2639041841030121,-0.0627850741147995
16,0.000633323797956109,0.0620841346681118,-0.04592977720312774
17,0.1060905009508133,-0.07687325775623322,0.1060905009508133
18,0.12017903476953506,-0.048172708600759506,0.12017903476953506
19,0.012503717094659805,-0.11806712299585342,0.012503717094659805
20,0.035315290093421936,-0.10852688550949097,0.035315290093421936
21,-0.08179689198732376,-0.02332654409110546,-0.08179689198732376
22,-0.04707914963364601,-0.18474899232387543,-0.04707914963364601
23,-0.06551642715930939,-0.07586351037025452,-0.06551642715930939
24,0.18984360992908478,-0.11630946397781372,0.18984360992908478
25,0.3332750201225281,0.21562990546226501,0.17155259102582932
26,-0.051169589161872864,-0.11234531551599503,-0.051169589161872864
27,0.025634311139583588,0.05835556983947754,-0.018132366240024567
28,-0.017593152821063995,-0.0730128064751625,-0.017593152821063995
29,0.12208299338817596,0.09003259986639023,0.05455854348838329
30,0.010286432690918446,-0.1408003717660904,0.010286432690918446
31,0.001451401156373322,-0.10535285621881485,0.001451401156373322
32,0.03785063698887825,-0.007363265845924616,0.03785063698887825
33,-0.01894642971456051,0.1078491285443306,-0.09983327612280846
34,-0.050894845277071,0.021063217893242836,-0.06669225869700313
35,-0.07347872853279114,-0.22111178934574127,-0.07347872853279114
36,0.49228915572166443,0.42208367586135864,0.17572639882564545
37,-0.054297398775815964,-0.09892696142196655,-0.054297398775815964
38,0.5514946579933167,0.37274330854415894,0.27193717658519745
39,-0.030924368649721146,-0.07074239104986191,-0.030924368649721146
