layer,expert,target_delta_nll,control_delta_nll,causal_specificity,target_relative_delta,control_relative_delta,causal_relative_specificity,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,renorm_target_relative_delta,renorm_control_relative_delta,renorm_causal_relative_specificity,ci_2.5,ci_97.5,p_positive
1,174,0.024696825072169304,0.0006842684815637767,0.02418362371099647,0.027216190722884635,0.0002591066951654153,0.027021860701510574,0.004634050652384758,-0.054848380386829376,0.004634050652384758,0.005106778138738843,-0.020769015320899833,0.005106778138738843,-0.017795735623687504,0.06081623669713727,0.8364
2,55,0.0009378373506478965,-0.029187362641096115,0.0009378373506478965,0.0010335077536359613,-0.011052154641473213,0.0010335077536359613,0.015740882605314255,-0.026073941960930824,0.015740882605314255,0.017346637143878827,-0.009873219523412979,0.017346637143878827,-0.03244989950954914,0.0300897446721792,0.4918
3,90,0.01476055383682251,-0.03282385692000389,0.01476055383682251,0.01626630334969941,-0.01242915802535319,0.01626630334969941,0.0189366452395916,-0.0001813733542803675,0.0189366452395916,0.02086840502721593,-6.867925629316293e-05,0.02086840502721593,-0.016033581122756005,0.050283624395728053,0.7958
4,60,0.003968345001339912,-0.03354770317673683,0.003968345001339912,0.004373162707962049,-0.012703251332941036,0.004373162707962049,0.004018191713839769,-0.015263152308762074,0.004018191713839769,0.004428094369434345,-0.005779580762644139,0.004428094369434345,-0.024761121436953543,0.03565249674767254,0.5774
5,146,0.014819133095443249,-0.031812965869903564,0.014819133095443249,0.016330858379358826,-0.012046371668505071,0.016330858379358826,-0.01396196335554123,-0.025964219123125076,-0.01396196335554123,-0.015386247278341312,-0.00983167161838154,-0.015386247278341312,-0.0088928245306015,0.0416288999468088,0.8758
6,162,-0.010982487350702286,-0.062328457832336426,-0.010982487350702286,-0.012102829795932416,-0.023601438848661064,-0.012102829795932416,0.01388873066753149,-0.05179359018802643,0.01388873066753149,0.0153055439977294,-0.019612281357314867,0.0153055439977294,-0.03686198273301125,0.014312014147639227,0.1886
7,44,0.009180134162306786,-0.0358925461769104,0.009180134162306786,0.01011661545534299,-0.013591155038615521,0.01011661545534299,0.007833450101315975,-0.0019968198612332344,0.007833450101315975,0.00863255383445484,-0.000756120454214701,0.00863255383445484,-0.017092700347304344,0.03302932986617087,0.7396
8,156,-0.010277565568685532,-0.0016282642027363181,-0.010277565568685532,-0.011325997729137584,-0.0006165623111311387,-0.011325997729137584,-0.015033061616122723,-0.042850855737924576,-0.015033061616122723,-0.016566610116793216,-0.016226004725352485,-0.016566610116793216,-0.04149291490763425,0.006265473395585986,0.094
9,235,0.0040789153426885605,0.012377469800412655,-0.005204187007620931,0.004495012520221132,0.004686881510551852,0.000979851387307243,0.006099882069975138,-0.02816285938024521,0.006099882069975138,0.006722141543231383,-0.010664213853233753,0.006722141543231383,-0.04620350492000581,0.031548730205744474,0.3512
10,248,-0.007907421328127384,-0.025507936254143715,-0.007907421328127384,-0.008714070993483258,-0.009658894485680396,-0.008714070993483258,-0.0025628460571169853,-0.019888075068593025,-0.0025628460571169853,-0.0028242863963307825,-0.0075308647746689114,-0.0028242863963307825,-0.02822135505080223,0.012210150688886631,0.1872
11,25,0.0040282015688717365,-0.04613883048295975,0.0040282015688717365,0.004439125347013946,-0.017471036891712772,0.004439125347013946,0.0028264918364584446,-0.018903303891420364,0.0028264918364584446,0.0031148271355906907,-0.007157969029670927,0.0031148271355906907,-0.01946549867093563,0.031442827738821476,0.603
12,175,0.026363324373960495,-0.04012426733970642,0.026363324373960495,0.029052692487972417,-0.015193548419131661,0.029052692487972417,0.014158401638269424,-0.039513468742370605,0.014158401638269424,0.015602724568534827,-0.01496226200125417,0.015602724568534827,0.0012578167766332628,0.05176484805345533,0.9808
13,146,-0.00038877426413819194,0.008664429187774658,-0.006887096154969186,-0.00042843379624767113,0.003280892913858127,-0.0028891034816412664,0.004430319182574749,-0.04508846625685692,0.004430319182574749,0.004882263670891264,-0.017073303530206016,0.004882263670891264,-0.04648237762600183,0.016546465635299674,0.2634
14,148,0.0016195124480873346,-0.026843199506402016,0.0016195124480873346,0.001784721701531617,-0.010164508375242876,0.001784721701531617,0.0076921600848436356,0.000665201572701335,0.007193258905317634,0.008476850580116935,0.00025188677509679387,0.008287935498794339,-0.017929742775857446,0.01801209195703268,0.5458
15,60,0.0033961532171815634,-0.011186194606125355,0.0033961532171815634,0.0037426006546530085,-0.0042357904740059115,0.0037426006546530085,0.010615844279527664,-0.019266469404101372,0.010615844279527664,0.011698784833749908,-0.007295486127599775,0.011698784833749908,-0.023356176931411027,0.016193579509854315,0.5514
16,235,0.0016563605749979615,-0.01843634992837906,0.0016563605749979615,0.0018253287693166499,-0.006981151155666965,0.0018253287693166499,0.003096839878708124,-0.0036053138319402933,0.003096839878708124,0.0034127538471386163,-0.0013651965232906044,0.0034127538471386163,-0.008714857190847396,0.011695605441927909,0.6306
17,215,0.006139685399830341,-0.005680897738784552,0.006139685399830341,0.006766005279301889,-0.0021511419542592993,0.006766005279301889,0.005484991706907749,0.0027770292945206165,0.0034022197360172868,0.00604452515545673,0.0010515563733644174,0.005255857875433417,-0.013336860328912736,0.015283986575901506,0.7372
18,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,77,-0.0015518373111262918,-0.007145518437027931,-0.0015518373111262918,-0.0017101429073203456,-0.002705738635265912,-0.0017101429073203456,0.015375497750937939,0.006764532532542944,0.01030209835153073,0.016943978751356725,0.0025614736263177965,0.015022873531618377,-0.016190550800412894,0.007026294562965627,0.308
20,193,0.0,0.0,0.0,0.0,0.0,0.0,6.062269312678836e-05,-0.003847139421850443,6.062269312678836e-05,6.680691843798426e-05,-0.001456766763768217,6.680691843798426e-05,0.0,0.0,0.0
21,113,0.006849461700767279,-0.005487214773893356,0.006849461700767279,0.007548187082850877,-0.0020778015121741857,0.007548187082850877,0.0036055641248822212,-0.019364142790436745,0.0036055641248822212,0.003973373929629802,-0.007332471359304641,0.003973373929629802,-0.0062411964684724805,0.016433775737881646,0.8468
22,194,0.003646490629762411,-0.005700540728867054,0.003646490629762411,0.004018475417743573,-0.00215858001458295,0.004018475417743573,0.003064017975702882,-0.004476175177842379,0.003064017975702882,0.0033765837252922523,-0.0016949589065708049,0.0033765837252922523,-0.004896497648209333,0.010654158264398573,0.8056
23,105,0.003322605974972248,-0.013321462087333202,0.003322605974972248,0.003661550731625996,-0.005044335826095725,0.003661550731625996,0.007431343197822571,-0.019773660227656364,0.007431343197822571,0.008189427313354054,-0.007487540184816073,0.008189427313354054,-0.0030334513485431674,0.009485007673501961,0.8408
24,222,0.004658091813325882,-0.012749195098876953,0.004658091813325882,0.0051332717799036955,-0.0048276398768795645,0.0051332717799036955,0.004137485753744841,-0.00738185178488493,0.004137485753744841,0.0045595577997608015,-0.002795229170590091,0.0045595577997608015,-0.003208801649510861,0.012838993243873116,0.8756
25,150,0.006476093549281359,-0.0060805585235357285,0.006476093549281359,0.0071367310033346966,-0.002302478436815733,0.0071367310033346966,0.0018160432809963822,-0.014474587514996529,0.0018160432809963822,0.002001300983109295,-0.005480980983257188,0.002001300983109295,-0.0061818712167441845,0.018689957663416853,0.825
26,183,0.0039240033365786076,-0.020728902891278267,0.0039240033365786076,0.004324297673627177,-0.00784925459417545,0.004324297673627177,0.003307788399979472,-0.018073786050081253,0.003307788399979472,0.0036452215902940403,-0.006843861874013351,0.0036452215902940403,-0.005029087334871292,0.013689971238374702,0.7912
27,228,-8.845060801832005e-05,-0.0008111834758892655,-8.845060801832005e-05,-9.74736068440824e-05,-0.00030716462218181536,-9.74736068440824e-05,0.00033062099828384817,-0.005754610523581505,0.00033062099828384817,0.0003643482156102644,-0.0021790542088417834,0.0003643482156102644,-0.007727212965488433,0.005113217853009701,0.3568
28,99,0.0017113208305090666,0.002003909321501851,0.00020838883938267827,0.0018858956151277062,0.0007588049657334981,0.0013167918908275826,-0.0005127334734424949,0.004443376790732145,-0.003845266066491604,-0.0005650382979366628,0.0016825393930028744,-0.0018269428426888187,-0.0083056478574872,0.005758051149547091,0.4708
29,201,-0.0002535706735216081,0.0022162431851029396,-0.0019157530623488128,-0.0002794378545471964,0.0008392078005150301,-0.0009088437049334691,0.00041551649337634444,-8.85844201548025e-06,0.00041551649337634444,0.00045790404633746254,-3.354358262563959e-06,0.00045790404633746254,-0.006058214422315359,0.0016157448589801788,0.1498
30,50,-0.00013668894825968891,0.0028666991274803877,-0.0022867132938699797,-0.00015063282323436869,0.0010855109609279768,-0.0009647660439303513,0.0036940076388418674,0.0018395393854007125,0.002314353099791333,0.00407083971873807,0.0006965642633261828,0.0035484165212434325,-0.009562495820224285,0.003170748107135295,0.2048
31,66,-0.0029275573324412107,-0.01191524788737297,-0.0029275573324412107,-0.0032262024968418646,-0.00451185548561052,-0.0032262024968418646,-0.0018165243091061711,-1.3444423530017957e-05,-0.0018165243091061711,-0.0020018310817248386,-5.090896692049989e-06,-0.0020018310817248386,-0.00912623593211174,0.004255799427628514,0.177
32,233,-0.00012341946421656758,0.005028494168072939,-0.0038947900902712718,-0.00013600969627547725,0.0019041013003702207,-0.0015640856715531427,-0.0010572901228442788,0.002207742305472493,-0.0027130968519486487,-0.0011651461088080849,0.0008359888376570445,-0.0017921377370508683,-0.009728489860892297,0.0011996685564517968,0.0738
33,132,0.00032197535620070994,-0.001164608052931726,0.00032197535620070994,0.0003548206166914201,-0.00044099319475968514,0.0003548206166914201,-0.00024322033277712762,-0.001547563704662025,-0.00024322033277712762,-0.00026803165772127047,-0.0005860040727822866,-0.00026803165772127047,-0.004297428645193577,0.0032215665429830543,0.4766
34,23,-0.002543119480833411,0.0010497033363208175,-0.0033303969830740243,-0.0028025474780336164,0.00039748310744435085,-0.0031006598086168796,-0.0004237711546011269,0.0017345272935926914,-0.0017246666247956455,-0.000467000779767366,0.0006568001403336971,-0.0009596008850176388,-0.008016173280775548,-0.00038332562148571186,0.0142
