capability,predictor,outcome,n,spearman_rho,spearman_p,spearman_ci_low,spearman_ci_high,kendall_tau
python,global_target_gradient,native_relative_specific_gain,48,0.5031639425154733,,,,0.3274291729632903
python,precise_target_gradient,native_relative_specific_gain,48,0.5028367168862632,,,,0.3292482239241975
python,precise_control_gradient,native_relative_specific_gain,48,0.3438487452229882,,,,0.22562073478356004
python,target_control_gradient_cosine,native_relative_specific_gain,48,0.32402469635484127,,,,0.23471729125948398
python,renorm_causal_target_damage,native_relative_specific_gain,48,0.17612544863317428,,,,0.14228816023939528
python,renorm_causal_specificity,native_relative_specific_gain,48,0.1638401549939467,,,,0.12618006662738826
python,precise_gradient_specific,native_relative_specific_gain,48,0.15681595646421662,,,,0.09242021740666201
python,global_gradient_specific,native_relative_specific_gain,48,0.11962382254551891,,,,0.07447454412381502
python,routing_mass,native_relative_specific_gain,48,0.06499134057056678,,,,0.03011840122629149
python,routing_rate,native_relative_specific_gain,48,0.058945320809744815,,,,0.025353489117875765
python,causal_target_damage,native_relative_specific_gain,48,0.00010873121659224166,,,,0.047492583825457915
python,causal_relative_target_damage,native_relative_specific_gain,48,0.00010873121659224166,,,,0.047492583825457915
python,causal_relative_specificity,native_relative_specific_gain,48,-0.01315647720766124,,,,0.03673954597818443
python,causal_specificity,native_relative_specific_gain,48,-0.05393068342975186,,,,0.004480432436363954
python,global_target_gradient,native_relative_target_improvement,48,0.5560654192377807,,,,0.37290544698596956
python,precise_target_gradient,native_relative_target_improvement,48,0.5508298091704185,,,,0.3601720902596194
python,precise_gradient_specific,native_relative_target_improvement,48,0.3077594707307441,,,,0.20727252641688276
python,precise_control_gradient,native_relative_target_improvement,48,0.2979442306756611,,,,0.20045188787543383
python,target_control_gradient_cosine,native_relative_target_improvement,48,0.2844362391830752,,,,0.20001201083979372
python,global_gradient_specific,native_relative_target_improvement,48,0.2686098560794834,,,,0.18573771847746637
python,renorm_causal_specificity,native_relative_target_improvement,48,0.22700613379386905,,,,0.19777159379186388
python,renorm_causal_target_damage,native_relative_target_improvement,48,0.22135272433156963,,,,0.195981805612752
python,routing_mass,native_relative_target_improvement,48,0.15063623323955203,,,,0.08841208101911373
python,routing_rate,native_relative_target_improvement,48,0.1428722299626672,,,,0.07996100414099279
python,causal_target_damage,native_relative_target_improvement,48,0.05751881357729584,,,,0.07258300546909606
python,causal_relative_target_damage,native_relative_target_improvement,48,0.05751881357729584,,,,0.07258300546909606
python,causal_relative_specificity,native_relative_target_improvement,48,0.04153532473823631,,,,0.05824562167273141
python,causal_specificity,native_relative_target_improvement,48,-0.011960433825146582,,,,0.02240216218181977
python,global_target_gradient,native_specific_gain,48,0.4305198528308201,,,,0.2710385931751681
python,precise_target_gradient,native_specific_gain,48,0.42812019821661235,,,,0.2837719499015183
python,precise_control_gradient,native_specific_gain,48,0.37702617872283367,,,,0.24539625735423065
python,target_control_gradient_cosine,native_specific_gain,48,0.28995132080286606,,,,0.2054917919586922
python,renorm_causal_target_damage,native_specific_gain,48,0.1822137357464198,,,,0.14407794841850718
python,renorm_causal_specificity,native_specific_gain,48,0.15220717783113827,,,,0.11365154937360504
python,causal_relative_specificity,native_specific_gain,48,0.08046110027825883,,,,0.0887125622400063
python,causal_target_damage,native_specific_gain,48,0.07861266959619072,,,,0.08154387034182396
python,causal_relative_target_damage,native_specific_gain,48,0.07861266959619072,,,,0.08154387034182396
python,causal_specificity,native_specific_gain,48,0.06556492360512171,,,,0.06720648654545931
python,routing_mass,native_specific_gain,48,0.05331759373233027,,,,0.022345910587248524
python,routing_rate,native_specific_gain,48,0.05215257431643137,,,,0.025353489117875765
python,precise_gradient_specific,native_specific_gain,48,-0.025012253804972136,,,,-0.02063752427527404
python,global_gradient_specific,native_specific_gain,48,-0.040345852876715924,,,,-0.024226658931843437
python,global_target_gradient,native_target_improvement,48,0.5560654192377807,,,,0.37290544698596956
python,precise_target_gradient,native_target_improvement,48,0.5508298091704185,,,,0.3601720902596194
python,precise_gradient_specific,native_target_improvement,48,0.3077594707307441,,,,0.20727252641688276
python,precise_control_gradient,native_target_improvement,48,0.2979442306756611,,,,0.20045188787543383
python,target_control_gradient_cosine,native_target_improvement,48,0.2844362391830752,,,,0.20001201083979372
python,global_gradient_specific,native_target_improvement,48,0.2686098560794834,,,,0.18573771847746637
python,renorm_causal_specificity,native_target_improvement,48,0.22700613379386905,,,,0.19777159379186388
python,renorm_causal_target_damage,native_target_improvement,48,0.22135272433156963,,,,0.195981805612752
python,routing_mass,native_target_improvement,48,0.15063623323955203,,,,0.08841208101911373
python,routing_rate,native_target_improvement,48,0.1428722299626672,,,,0.07996100414099279
python,causal_target_damage,native_target_improvement,48,0.05751881357729584,,,,0.07258300546909606
python,causal_relative_target_damage,native_target_improvement,48,0.05751881357729584,,,,0.07258300546909606
python,causal_relative_specificity,native_target_improvement,48,0.04153532473823631,,,,0.05824562167273141
python,causal_specificity,native_target_improvement,48,-0.011960433825146582,,,,0.02240216218181977
python,global_target_gradient,relative_specific_gain,48,0.672557743236594,,,,0.4620389440704208
python,precise_target_gradient,relative_specific_gain,48,0.6597959436973982,,,,0.47477230079677096
python,precise_control_gradient,relative_specific_gain,48,0.489068003328869,,,,0.3334872215326724
python,renorm_causal_specificity,relative_specific_gain,48,0.4049798124435643,,,,0.2657835445981157
python,renorm_causal_target_damage,relative_specific_gain,48,0.37649532630659416,,,,0.24609587462788493
python,causal_target_damage,relative_specific_gain,48,0.3708821797961363,,,,0.2446316110254719
python,causal_relative_target_damage,relative_specific_gain,48,0.3708821797961363,,,,0.2446316110254719
python,causal_relative_specificity,relative_specific_gain,48,0.3620749512521647,,,,0.2338785731781984
python,routing_rate,relative_specific_gain,48,0.33638129742094375,,,,0.24573381760402663
python,routing_mass,relative_specific_gain,48,0.33068132870619993,,,,0.24580501645973377
python,causal_specificity,relative_specific_gain,48,0.3265198434265017,,,,0.2159568434327426
python,target_control_gradient_cosine,relative_specific_gain,48,0.2750442189988769,,,,0.19635882342719477
python,precise_gradient_specific,relative_specific_gain,48,0.2440325979928586,,,,0.14625723725520298
python,global_gradient_specific,relative_specific_gain,48,0.2360939261330196,,,,0.14625723725520298
python,precise_target_gradient,relative_target_improvement,48,0.7077890359815535,,,,0.5056961671321929
python,global_target_gradient,relative_target_improvement,48,0.6990630192026162,,,,0.5038771161712857
python,precise_control_gradient,relative_target_improvement,48,0.4440337165454723,,,,0.3352849963118243
python,renorm_causal_specificity,relative_target_improvement,48,0.4094373083657619,,,,0.2926303672847941
python,renorm_causal_target_damage,relative_target_improvement,48,0.37334246333723486,,,,0.2657835445981157
python,target_control_gradient_cosine,relative_target_improvement,48,0.34253571288067397,,,,0.22558432272798654
python,routing_rate,relative_target_improvement,48,0.31072604826851197,,,,0.2281814020608819
python,routing_mass,relative_target_improvement,48,0.303292922662645,,,,0.22637378986212633
python,precise_gradient_specific,relative_target_improvement,48,0.30199577746264183,,,,0.21624536305830624
python,global_gradient_specific,relative_target_improvement,48,0.26567363498063884,,,,0.19112142046232047
python,causal_target_damage,relative_target_improvement,48,0.2604112637384188,,,,0.19982728666183236
python,causal_relative_target_damage,relative_target_improvement,48,0.2604112637384188,,,,0.19982728666183236
python,causal_relative_specificity,relative_target_improvement,48,0.24790717383031097,,,,0.18907424881455887
python,causal_specificity,relative_target_improvement,48,0.20756789247458932,,,,0.15323078932364723
python,global_target_gradient,specific_gain,48,0.4268112956997717,0.0015996800639872025,0.16214553678202484,0.6428961840276642,0.28559100086242545
python,precise_target_gradient,specific_gain,48,0.40990463819058065,0.0057988402319536095,0.14238242421038938,0.6355657738832668,0.2837719499015183
python,precise_control_gradient,specific_gain,48,0.3780051849572553,0.010997800439912017,0.0960899926389653,0.6129470223640405,0.2471940321333825
python,causal_relative_specificity,specific_gain,48,0.3552248846068535,0.014397120575884824,0.06001623361206749,0.6084591823413953,0.23029422722910725
python,causal_target_damage,specific_gain,48,0.3537026475745621,0.015596880623875225,0.04993243057570002,0.6077478006015644,0.2267098812800161
python,causal_relative_target_damage,specific_gain,48,0.3537026475745621,0.01259748050389922,0.05105961249234632,0.6096501927111055,0.2267098812800161
python,causal_specificity,specific_gain,48,0.33782788995209484,0.022595480903819236,0.04121520720268204,0.59897815438348,0.2231255353309249
python,renorm_causal_specificity,specific_gain,48,0.29810862972355795,0.041191761647670466,-0.009054157856851739,0.5734595504197639,0.19777159379186388
python,renorm_causal_target_damage,specific_gain,48,0.2848448613697016,0.044191161767646474,-0.02413029560935455,0.557879727472172,0.18882265289630443
python,routing_mass,specific_gain,48,0.26726145405616497,0.06798640271945611,-0.04606478745030733,0.5375620476093032,0.18751133666691153
python,routing_rate,specific_gain,48,0.2629522692122331,0.07518496300739852,-0.04562502647610391,0.5345482023898418,0.1833252290061786
python,global_gradient_specific,specific_gain,48,0.1306074644337893,0.3715256948610278,-0.1797649526968869,0.4105980172461077,0.1031876213763702
python,precise_gradient_specific,specific_gain,48,0.12951997513792093,0.36532693461307736,-0.17068490489558885,0.41704387117840913,0.0995984867198008
python,target_control_gradient_cosine,specific_gain,48,0.06192180749349342,0.668866226754649,-0.2351871039879704,0.36786140717752036,0.037445170979139464
python,precise_target_gradient,target_improvement,48,0.7077890359815535,0.0001999600079984003,0.5295438585609535,0.8164988762773111,0.5056961671321929
python,global_target_gradient,target_improvement,48,0.6990630192026162,0.0001999600079984003,0.5170396840095703,0.814866238733698,0.5038771161712857
python,precise_control_gradient,target_improvement,48,0.4440337165454723,0.0023995200959808036,0.16674743613134121,0.6861447552762724,0.3352849963118243
python,renorm_causal_specificity,target_improvement,48,0.4094373083657619,0.005198960207958408,0.11292829497677115,0.6534201800697124,0.2926303672847941
python,renorm_causal_target_damage,target_improvement,48,0.37334246333723486,0.010797840431913617,0.06266926620948006,0.627201058849757,0.2657835445981157
python,target_control_gradient_cosine,target_improvement,48,0.34253571288067397,0.015996800639872025,0.04586060124285341,0.5992011804471716,0.22558432272798654
python,routing_rate,target_improvement,48,0.31072604826851197,0.03119376124775045,0.017282394786513458,0.5728309404902965,0.2281814020608819
python,routing_mass,target_improvement,48,0.303292922662645,0.03719256148770246,0.0122522727952512,0.5646079391909941,0.22637378986212633
python,precise_gradient_specific,target_improvement,48,0.30199577746264183,0.03559288142371526,-0.008972295777658101,0.5619200249358601,0.21624536305830624
python,global_gradient_specific,target_improvement,48,0.26567363498063884,0.07558488302339532,-0.05302015577961761,0.5370810186086713,0.19112142046232047
python,causal_target_damage,target_improvement,48,0.2604112637384188,0.07598480303939212,-0.054460562866298676,0.5530367937631785,0.19982728666183236
python,causal_relative_target_damage,target_improvement,48,0.2604112637384188,0.07538492301539693,-0.05790704343478681,0.5538405082152517,0.19982728666183236
python,causal_relative_specificity,target_improvement,48,0.24790717383031097,0.08758248350329934,-0.06395750204017393,0.552701234804884,0.18907424881455887
python,causal_specificity,target_improvement,48,0.20756789247458932,0.14917016596680663,-0.12106756953230774,0.5166245316636886,0.15323078932364723
