example_id,topic,source_capability
python-selection-control-019-src-algorithms,control_from_algorithms:dijkstra,algorithms
python-selection-control-010-src-systems,control_from_systems:dns,systems
python-selection-control-033-src-frontend,control_from_frontend:frontend_original,frontend
python-selection-control-035-src-sql,control_from_sql:anti_join,sql
python-selection-control-014-src-algorithms,control_from_algorithms:top_k,algorithms
python-selection-control-015-src-systems,control_from_systems:journald,systems
python-selection-control-023-src-frontend,control_from_frontend:frontend_original,frontend
python-selection-control-027-src-sql,control_from_sql:max_per_group,sql
python-selection-control-017-src-algorithms,control_from_algorithms:intervals,algorithms
python-selection-control-042-src-systems,control_from_systems:storage,systems
python-selection-control-036-src-frontend,control_from_frontend:frontend_original,frontend
python-selection-control-032-src-sql,control_from_sql:running_total,sql
python-selection-control-024-src-algorithms,control_from_algorithms:binary_search,algorithms
python-selection-control-034-src-systems,control_from_systems:sockets,systems
python-selection-control-039-src-frontend,control_from_frontend:frontend_original,frontend
python-selection-control-004-src-sql,control_from_sql:conditional_aggregation,sql
python-selection-control-030-src-algorithms,control_from_algorithms:top_k,algorithms
python-selection-control-006-src-systems,control_from_systems:systemd,systems
python-selection-control-011-src-frontend,control_from_frontend:frontend_original,frontend
python-selection-control-005-src-sql,control_from_sql:group_having,sql
python-selection-control-048-src-algorithms,control_from_algorithms:topological_sort,algorithms
python-selection-control-002-src-systems,control_from_systems:find,systems
python-selection-control-016-src-frontend,control_from_frontend:frontend_original,frontend
python-selection-control-001-src-sql,control_from_sql:max_per_group,sql
python-selection-control-041-src-algorithms,control_from_algorithms:bfs,algorithms
python-selection-control-003-src-systems,control_from_systems:find,systems
python-selection-control-049-src-frontend,control_from_frontend:frontend_original,frontend
python-selection-control-013-src-sql,control_from_sql:group_having,sql
python-selection-control-047-src-algorithms,control_from_algorithms:union_find,algorithms
python-selection-control-022-src-systems,control_from_systems:sockets,systems
python-selection-control-020-src-frontend,control_from_frontend:frontend_original,frontend
python-selection-control-044-src-sql,control_from_sql:window_latest,sql
python-selection-control-007-src-algorithms,control_from_algorithms:union_find,algorithms
python-selection-control-021-src-systems,control_from_systems:permissions,systems
python-selection-control-028-src-frontend,control_from_frontend:frontend_original,frontend
python-selection-control-029-src-sql,control_from_sql:max_per_group,sql
python-selection-control-012-src-algorithms,control_from_algorithms:intervals,algorithms
python-selection-control-037-src-systems,control_from_systems:grep,systems
python-selection-control-018-src-frontend,control_from_frontend:frontend_original,frontend
python-selection-control-046-src-sql,control_from_sql:filter_order_limit,sql
python-selection-control-031-src-algorithms,control_from_algorithms:topological_sort,algorithms
python-selection-control-045-src-systems,control_from_systems:journald,systems
python-selection-control-026-src-frontend,control_from_frontend:frontend_original,frontend
python-selection-control-008-src-sql,control_from_sql:filter_order_limit,sql
python-selection-control-000-src-algorithms,control_from_algorithms:two_sum,algorithms
python-selection-control-040-src-systems,control_from_systems:journald,systems
python-selection-control-043-src-frontend,control_from_frontend:frontend_original,frontend
python-selection-control-009-src-sql,control_from_sql:date_filter,sql
python-selection-control-025-src-systems,control_from_systems:dns,systems
python-selection-control-038-src-sql,control_from_sql:cte,sql
