example_id,topic,source_capability
python-selection-target-011,dicts,python
python-selection-target-044,defaultdict,python
python-selection-target-012,sorting,python
python-selection-target-035,iteration,python
python-selection-target-043,collections,python
python-selection-target-037,slicing,python
python-selection-target-038,generators,python
python-selection-target-009,pathlib,python
python-selection-target-020,comprehensions,python
python-selection-target-046,zip,python
python-selection-target-001,dicts,python
python-selection-target-034,defaultdict,python
python-selection-target-022,sorting,python
python-selection-target-015,iteration,python
python-selection-target-013,collections,python
python-selection-target-047,slicing,python
python-selection-target-008,generators,python
python-selection-target-039,pathlib,python
python-selection-target-040,comprehensions,python
python-selection-target-006,zip,python
python-selection-target-031,dicts,python
python-selection-target-024,defaultdict,python
python-selection-target-032,sorting,python
python-selection-target-045,iteration,python
python-selection-target-023,collections,python
python-selection-target-027,slicing,python
python-selection-target-018,generators,python
python-selection-target-049,pathlib,python
python-selection-target-000,comprehensions,python
python-selection-target-036,zip,python
python-selection-target-041,dicts,python
python-selection-target-014,defaultdict,python
python-selection-target-002,sorting,python
python-selection-target-025,iteration,python
python-selection-target-003,collections,python
python-selection-target-007,slicing,python
python-selection-target-028,generators,python
python-selection-target-029,pathlib,python
python-selection-target-010,comprehensions,python
python-selection-target-026,zip,python
python-selection-target-021,dicts,python
python-selection-target-004,defaultdict,python
python-selection-target-042,sorting,python
python-selection-target-005,iteration,python
python-selection-target-033,collections,python
python-selection-target-017,slicing,python
python-selection-target-048,generators,python
python-selection-target-019,pathlib,python
python-selection-target-030,comprehensions,python
python-selection-target-016,zip,python
