method,k,capability,pairs,trainable_params,updates,target_improvement,control_improvement,utility_score,specific_gain,relative_target_improvement,relative_specific_gain,target_token_acc,target_seq_exact,native_target_improvement,native_control_improvement,native_specific_gain,native_relative_target_improvement,native_relative_specific_gain,native_target_token_acc,native_target_seq_exact,mean_train_grad_norm,delta_merge_max_nll_diff
causal,1,sql,"[[31, 38]]",3145728.0,19.0,0.1513398289680481,0.11352181434631348,0.1513398289680481,0.03781801462173462,0.19075099997250367,0.14703477218042452,0.8725482821464539,0.0,0.1534963846206665,0.11676526069641113,0.03673112392425537,0.1934691551999697,0.1485039054442378,0.8734177947044373,0.0,1.1029815109152543,0.12441730499267578
causal,2,sql,"[[31, 38], [16, 17]]",6291456.0,19.0,0.2510218620300293,0.2569270133972168,0.2510218620300293,-0.0059051513671875,0.31639173589456915,0.2174514581313284,0.8767874240875244,0.0,0.25389564037323,0.26782917976379395,-0.013933539390563965,0.3200138894043408,0.21687528560964237,0.877930223941803,0.0,1.2197192405399524,0.31719970703125
causal,4,sql,"[[31, 38], [16, 17], [24, 206], [39, 95]]",12582912.0,19.0,0.33275020122528076,0.43825626373291016,0.33275020122528076,-0.1055060625076294,0.41940336564127384,0.2506348274799069,0.9045742750167847,0.0,0.3415939509868622,0.43518519401550293,-0.09359124302864075,0.4305501610488754,0.2629642641631488,0.9045742750167847,0.0,1.2688644936210232,0.3506593704223633
causal,8,sql,"[[31, 38], [16, 17], [24, 206], [39, 95], [31, 73], [24, 168], [39, 86], [24, 74]]",25165824.0,19.0,0.48180416226387024,0.4894382953643799,0.48180416226387024,-0.0076341331005096436,0.6072732232448287,0.41879494588886973,0.9244894981384277,0.1599999964237213,0.48111337423324585,0.4717237949371338,0.00938957929611206,0.6064025436061035,0.4247459607443668,0.9244894981384277,0.11999999731779099,1.5751960465782566,0.2255958914756775
routing,1,sql,"[[6, 91]]",3145728.0,19.0,0.07476699352264404,0.01057744026184082,0.07476699352264404,0.06418955326080322,0.09423744480637097,0.09016416787183298,0.8774258494377136,0.0,0.07135671377182007,-0.02921915054321289,0.10057586431503296,0.08993907684143165,0.10119110843019237,0.8742873668670654,0.0,0.5001826992160395,0.6169729232788086
routing,2,sql,"[[6, 91], [29, 93]]",6291456.0,19.0,0.2201099395751953,-0.025768280029296875,0.20078372955322266,0.2458782196044922,0.27742988322472784,0.28735301567338933,0.8869822025299072,0.0,0.23127299547195435,0.02800130844116211,0.20327168703079224,0.2914999670194261,0.28071691545053734,0.8888869285583496,0.0,1.2730209356860112,0.42790889739990234
routing,4,sql,"[[6, 91], [29, 93], [15, 130], [33, 212]]",12582912.0,19.0,0.3622094392776489,0.0160369873046875,0.3622094392776489,0.3461724519729614,0.4565342330093324,0.45035853370301515,0.9063175916671753,0.0,0.3622526526451111,0.011637210845947266,0.3506154417991638,0.45658869978857874,0.45210731475139176,0.9074348211288452,0.0,1.4934534869695966,0.36327457427978516
routing,8,sql,"[[6, 91], [29, 93], [15, 130], [33, 212], [12, 23], [31, 73], [36, 41], [27, 254]]",25165824.0,19.0,0.5925441533327103,0.03454709053039551,0.5925441533327103,0.5579970628023148,0.7468515759981357,0.7335478027288583,0.9456586241722107,0.0,0.5907915234565735,0.00055694580078125,0.5902345776557922,0.744642534903439,0.744428060094038,0.9456586241722107,0.0,1.972086373128389,0.3454136848449707
gradient,1,sql,"[[28, 149]]",3145728.0,19.0,0.20896166563034058,0.1479487419128418,0.20896166563034058,0.06101292371749878,0.26337843082486145,0.20640470343813602,0.8734177947044373,0.0,0.20865696668624878,0.16104435920715332,0.04761260747909546,0.26299438368623046,0.20097765208033747,0.8734177947044373,0.0,1.4653486578088057,0.11176824569702148
gradient,2,sql,"[[28, 149], [30, 229]]",6291456.0,19.0,0.22887438535690308,0.19118309020996094,0.22887438535690308,0.03769129514694214,0.2884767227015883,0.21485383735802188,0.8742873668670654,0.0,0.2309008240699768,0.2083423137664795,0.022558510303497314,0.29103087657857873,0.2108001288602657,0.8742873668670654,0.0,2.1913776272221615,0.2505052089691162
