layer,expert,panel_group,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,global_grad_ratio_bf16,scan_peak_gpu_gib,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank,global_target_grad_rank,global_grad_specific_rank,target_delta_nll,control_delta_nll,causal_specificity,target_relative_delta,control_relative_delta,causal_relative_specificity,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,renorm_target_relative_delta,renorm_control_relative_delta,renorm_causal_relative_specificity,ci_2.5,ci_97.5,p_positive,precise_target_grad_l2,precise_control_grad_l2,precise_grad_dot,precise_grad_cosine,precise_grad_specific,precise_grad_ratio,atlas_order_seed,atlas_lr,atlas_updates,trainable_params,mean_train_grad_norm,parameter_delta_l2,relative_parameter_delta,peak_gpu_gib,delta_merge_max_nll_diff,validation_target_nll,validation_control_nll,validation_target_improvement,validation_control_improvement,validation_utility_score,validation_specific_gain,validation_relative_target_improvement,validation_relative_control_improvement,validation_relative_specific_gain,validation_target_token_acc,validation_control_token_acc,validation_target_seq_exact,validation_control_seq_exact,validation_native_target_nll,validation_native_control_nll,validation_native_target_improvement,validation_native_control_improvement,validation_native_utility_score,validation_native_specific_gain,validation_native_relative_target_improvement,validation_native_relative_control_improvement,validation_native_relative_specific_gain,validation_native_target_token_acc,validation_native_control_token_acc,validation_native_target_seq_exact,validation_native_control_seq_exact
1,184,population_random,0.0003055440029129,0.0007033446454443,-0.0002219644811702,0.4344157653827168,64.92173910140991,1561,10,0.0064061499039077515,0.0006668902146060218,5625,8477,2617,0.002342733554542,0.0513136386871337,-0.0361424954608082,0.0029053853459115,0.0179044047456135,-0.0105229182132986,6.468594074249268e-05,0.0355014689266681,-0.0265614157542586,8.022149337271782e-05,0.0123872070854773,-0.0092101838207353,-0.0731510830372572,-0.0009620882198214,0.0222,0.0002554229908104,0.0005800248373303,-2.5337495990207515e-10,-0.0017102402222743,-0.0001795956371873,0.4403656083861622,101.0,1e-05,7.0,3145728.0,0.000346411859417,0.0511895077479599,0.0013568491631707,64.63395833969116,0.4110527038574219,0.7375829219818115,2.45836877822876,-0.0116511583328247,-0.0387630462646484,-0.040723443031311,0.0271118879318237,-0.0160499359805647,-0.0160203977666983,-2.953821386638203e-05,0.8733376860618591,0.7751152515411377,0.0,0.0,0.7337625622749329,2.404240369796753,-0.007830798625946,0.0153653621673583,-0.007830798625946,-0.0231961607933044,-0.0107872378893899,0.00635035781424,-0.01713759570363,0.8707289695739746,0.7751152515411377,0.0,0.0
2,21,population_random,0.001399808214046,0.0,0.001399808214046,1399808214.046061,64.94238758087158,1561,26,0.016655989750160152,0.0014129189021460603,4451,7874,1580,0.0047263484448194,0.0302156265825033,-0.017935371492058,0.0058614704538751,0.0105428658309336,-0.0020456789193251,0.0043881251476705,0.0019587136339396,0.0029190899222157,0.0054420164321929,0.0006834362672394,0.0049294392317634,-0.060072509843856,0.0100638974756002,0.1822,0.0011808897013015,0.0,0.0,0.0,0.0011808897013015,1180889701.3015344,101.0,1e-05,7.0,3145728.0,0.0017546767672424,0.0607666642850411,0.0015483962493744,64.63395833969116,0.4137789011001587,0.7319750189781189,2.4210307598114014,-0.006043255329132,-0.00142502784729,-0.0071120262145996,-0.004618227481842,-0.0083248255989721,-0.0005889504345541,-0.0077358751644179,0.8734166622161865,0.7751152515411377,0.0,0.0,0.7303932905197144,2.428346633911133,-0.0044615268707275,-0.0087409019470214,-0.0110172033309936,0.0042793750762939,-0.0061459314692349,-0.0036125315093901,-0.0025333999598447,0.872468113899231,0.7751152515411377,0.0,0.0
3,255,population_random,0.0033978885039687,0.0255555883049964,-0.0157688027247786,0.1329606841088224,64.96303606033325,1561,0,0.0,0.0,7471,6870,4538,-0.0067637152969837,0.0310912318527698,-0.0300821391865611,-0.0083881495058089,0.0108483828739138,-0.0165244366612443,-0.0085209365934133,0.0041352226398885,-0.0116223535733297,-0.0105674007459989,0.0014428659076237,-0.0116495501767167,-0.0661668278090655,-0.0026751925349235,0.009,0.0034217358030874,0.0214302236686021,2.3952270566951483e-05,0.3266431168518841,-0.0126509319483641,0.159668692956342,101.0,1e-05,7.0,3145728.0,0.0033448239056659,0.0989431077502182,0.0022039558581009,64.63395881652832,0.3969196081161499,0.7337318658828735,2.39798903465271,-0.0078001022338867,0.0216166973114013,-0.0078001022338867,-0.029416799545288,-0.0107449523832357,0.008933975079425,-0.0196789274626608,0.8721575736999512,0.7751152515411377,0.0,0.0,0.7283247113227844,2.437594413757324,-0.0023929476737976,-0.0179886817932128,-0.0158844590187072,0.0155957341194152,-0.0032963810011138,-0.0074345508260185,0.0041381698249046,0.8733376860618591,0.7751152515411377,0.0,0.0
4,213,population_random,0.0099424486979842,0.0313386693596839,-0.0135615533217787,0.317258163821644,64.98115921020508,1561,36,0.023062139654067906,0.003104230060858424,2925,5055,4339,-0.0021380865946412,0.0342712253332138,-0.0278415055945515,-0.0026515885463444,0.0119579492936609,-0.0116200505165901,0.0017259311862289,0.0035154270008206,-0.0009106390643864,0.0021404462179659,0.0012266062100977,0.0012204915603925,-0.0651281619109213,0.0010284890718758,0.0324,0.0100499424806553,0.0266096498458875,0.000115580522106,0.4321971672521218,-0.0099072949037602,0.3776803730407185,101.0,1e-05,7.0,3145728.0,0.0092808708016361,0.0870961427795339,0.0019570993998195,64.63395881652832,0.2494406700134277,0.7135900259017944,2.4372997283935547,0.0123417377471923,-0.0176939964294433,-0.0009287595748901,0.0300357341766357,0.0170012367073663,-0.0073127601723278,0.0243139968796942,0.8733376860618591,0.7751152515411377,0.0,0.0,0.7395438551902771,2.470139265060425,-0.0136120915412902,-0.0505335330963134,-0.0515122413635253,0.0369214415550231,-0.0187511997999197,-0.0208850278492657,0.0021338280493459,0.872468113899231,0.7751152515411377,0.0,0.0
5,122,population_random,0.0943112447857856,0.0124524207785725,0.0849719292018562,7.573727747820532,65.00180768966675,1561,1238,0.7930813581037797,0.13648508818465727,20,836,202,0.0080796368420124,0.0246077943593263,-0.0103762089274823,0.0100201145092056,0.0085861755544667,0.0035804828433555,0.0075390068814158,0.0442877635359764,-0.0256768157705664,0.0093496420339927,0.0154529295507739,-0.0022400551290876,-0.0433835068568587,0.01330495364964,0.2736,0.0882633096053951,0.0123118953866699,8.94631239134469e-06,0.0082326363860007,0.0790293880653927,7.1689457086996455,101.0,1e-05,7.0,3145728.0,0.1217423187834876,0.0803717733125011,0.0018315054215503,64.63395881652832,0.7920928001403809,0.7298957109451294,2.3780736923217773,-0.0039639472961425,0.0415320396423339,-0.0039639472961425,-0.0454959869384765,-0.0054604957306418,0.017164796352429,-0.0226252920830708,0.8730270862579346,0.7751152515411377,0.0,0.0,0.7253108024597168,2.4791100025177,0.00062096118927,-0.0595042705535888,-0.0440072417259216,0.0601252317428588,0.0008553988409994,-0.0245925481856444,0.0254479470266438,0.8681201934814453,0.7751152515411377,0.0,0.0
6,154,population_random,0.00024957297137,0.1081189960241317,-0.0808396740467287,0.0023083175070554,65.02245616912842,1561,7,0.004484304932735426,0.0002608754404228059,6601,8505,7312,-0.0007462424109689,0.0247561018913984,-0.0193133188295178,-0.0009254666460568,0.0086379231628799,-0.0074039090182168,-0.0064552016556262,0.0291546639055013,-0.0283211995847523,-0.0080055404759106,0.0101726737012183,-0.0156350457518243,-0.0513276842236518,0.0039303377792239,0.0712,0.0002075391706126,0.0897607004858332,-4.852983614966888e-08,-0.0026050886999279,-0.0671129861937622,0.0023121384914226,101.0,1e-05,7.0,3145728.0,0.0002883982254258,0.0372441211603415,0.0008288932271758,64.63395881652832,0.374053955078125,0.7328794002532959,2.403698682785034,-0.006947636604309,0.0159070491790771,-0.006947636604309,-0.0228546857833862,-0.0095706469288324,0.006574231896105,-0.0161448788249375,0.8733376860618591,0.7751152515411377,0.0,0.0,0.7283572554588318,2.433000087738037,-0.0024254918098449,-0.0133943557739257,-0.0124712586402893,0.0109688639640808,-0.0033412118484152,-0.0055357596475244,0.0021945477991092,0.8755995035171509,0.7751152515411377,0.0,0.0
7,13,population_random,0.0,0.0,0.0,0.0,65.04310464859009,1561,0,0.0,0.0,7617,8768,1904,0.0075601185671985,0.0395558252930641,-0.0221067504025995,0.0093758240905828,0.0138018570542606,-0.0009755687001126,0.0020311332773417,0.037622507661581,-0.026185747468844,0.0025189483661685,0.0131272819849119,-0.0073265131225154,-0.0525148592106997,0.0058196962885558,0.068,0.0,0.0017475585488091,0.0,0.0,-0.0013106689116068,0.0,101.0,1e-05,7.0,3145728.0,0.0006437383531842,0.0357045528072371,0.0008061285093881,64.63395833969116,0.4201440811157226,0.7306463122367859,2.4623751640319824,-0.004714548587799,-0.042769432067871,-0.0367916226387023,0.038054883480072,-0.0064944789908362,-0.0176761988545766,0.0111817198637403,0.8747662305831909,0.7751152515411377,0.0,0.0,0.7252562046051025,2.4251527786254883,0.0006755590438842,-0.0055470466613769,-0.0034847259521484,0.0062226057052612,0.0009306095665086,-0.0022925415443094,0.0032231511108181,0.8721575736999512,0.7751152515411377,0.0,0.0
8,116,population_random,0.0016254965448752,0.0055884174071252,-0.0025658165104687,0.2908688500096336,65.06122779846191,1561,15,0.009609224855861628,0.000812967949231262,5326,7733,2983,-0.0090137599036097,0.022853011265397,-0.0261535183526575,-0.01117858489914,0.0079738949296988,-0.0171590060964142,-0.0001770770613802,0.0103582860901951,-0.0079457916290266,-0.0002196054682504,0.0036142232625614,-0.0029302729151715,-0.0493605866245925,-0.0060540862493217,0.002,0.0013587133234619,0.0046579703011898,-1.4833573924732946e-08,-0.0023438037837593,-0.0021347644024304,0.2916964332776439,101.0,1e-05,7.0,3145728.0,0.0013089530402794,0.0643553280865024,0.0014467443365933,64.63395833969116,0.2659972906112671,0.7382522821426392,2.413116216659546,-0.0123205184936523,0.0064895153045654,-0.0123205184936523,-0.0188100337982177,-0.0169720063380636,0.0026820548566388,-0.0196540611947024,0.871598482131958,0.7751152515411377,0.0,0.0,0.727952241897583,2.4379994869232178,-0.0020204782485961,-0.0183937549591064,-0.015815794467926,0.0163732767105102,-0.0027832894905163,-0.0076019637067793,0.004818674216263,0.8734166622161865,0.7751152515411377,0.0,0.0
9,74,population_random,0.0447912029922008,0.1601212471723556,-0.0752997323870658,0.2797330384499663,65.08187627792358,1561,69,0.044202434336963484,0.0052888272741832155,1827,1857,7195,-0.0055237440392374,0.0389004200696945,-0.0346990590915083,-0.0068503756882859,0.0135731724259272,-0.0170302550077314,-0.0103630265220999,0.019769050180912,-0.0251898141577839,-0.0128519034263318,0.0068978362270018,-0.0180252805965832,-0.065926964700222,-0.0073798340037465,0.0026,0.0455000395439802,0.1387627532184181,0.0031036529690027,0.4915735116216684,-0.0585720253698333,0.3278980741469829,101.0,1e-05,7.0,3145728.0,0.0463688517255442,0.0937248757592075,0.0020941210103789,64.63395881652832,0.1862857341766357,0.724172830581665,2.4269981384277344,0.0017589330673217,-0.007392406463623,-0.0037853717803955,0.0091513395309448,0.0024230005565265,-0.0030552111717896,0.0054782117283161,0.8740747570991516,0.7751152515411377,0.0,0.0,0.7247770428657532,2.434592962265014,0.0011547207832336,-0.0149872303009033,-0.0100857019424438,0.0161419510841369,0.0015906740014092,-0.0061940795158959,0.0077847535173052,0.872468113899231,0.7751152515411377,0.0,0.0
10,73,population_random,0.0041297008283436,0.0214833822101354,-0.0119828358292579,0.1922276849965964,65.10252475738525,1561,29,0.018577834721332478,0.0018420808976617553,3946,6597,4182,-0.0013688236940652,0.0450032949447631,-0.0351212949026376,-0.001697572604517,0.0157025934662336,-0.0134745177041923,2.805352232826408e-05,0.013441639021039,-0.0100531757434509,3.479110653267289e-05,0.0046900697676981,-0.0034827612192409,-0.0756164819262921,-0.0013045478016138,0.0168,0.0037805795849231,0.0179371170522687,-4.042835826112423e-07,-0.0059617680952731,-0.0096722582042783,0.2107685183575367,101.0,1e-05,7.0,3145728.0,0.0043434782419353,0.0692779456322988,0.0015912480920369,64.63395881652832,0.2498402595520019,0.7287970185279846,2.4022254943847656,-0.0028652548789978,0.0173802375793457,-0.0028652548789978,-0.0202454924583435,-0.0039470030414363,0.0071830866284307,-0.011130089669867,0.8705174326896667,0.7751152515411377,0.0,0.0,0.7300452589988708,2.4187700748443604,-0.004113495349884,0.0008356571197509,-0.004113495349884,-0.004949152469635,-0.0056665041480028,0.0003453691271728,-0.0060118732751757,0.8696479201316833,0.7751152515411377,0.0,0.0
