layer,expert,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank
6,91,1561,1511,0.9679692504804612,0.33570853018898145,1
29,93,1561,1497,0.9590006406149904,0.2925669580297085,2
15,130,1561,1521,0.974375400384369,0.28391505845611786,3
33,212,1561,1440,0.9224855861627163,0.276285859425048,4
12,23,1561,1507,0.9654067905188981,0.2625179547365471,5
31,73,1561,1503,0.9628443305573351,0.2488473309377002,6
36,41,1561,1513,0.9692504804612428,0.24825942279588406,7
27,254,1561,1455,0.9320948110185778,0.23809169302530428,8
30,31,1561,1495,0.9577194106342088,0.23664248928971812,9
35,255,1561,1478,0.9468289557975657,0.2079357120335522,10
17,243,1561,1474,0.9442664958360025,0.19150603329196028,11
20,133,1561,1402,0.8981422165278667,0.18443831077834721,12
16,74,1561,1426,0.9135169762972454,0.18314081518257527,13
22,23,1561,1474,0.9442664958360025,0.17131508748398463,14
22,32,1561,1328,0.8507367072389493,0.16707586157711404,15
10,142,1561,1140,0.7303010890454836,0.161197249359385,16
8,106,1561,1397,0.8949391415759129,0.15364734520139334,17
32,157,1561,1026,0.6572709801409353,0.14593150049047085,18
34,239,1561,1349,0.8641896220371557,0.1455758465627002,19
5,122,1561,1238,0.7930813581037797,0.13648508818465727,20
32,103,1561,1372,0.8789237668161435,0.13626534598214285,21
18,97,1561,1267,0.8116591928251121,0.12096299947950032,22
34,36,1561,792,0.507367072389494,0.11939055243033311,23
28,182,1561,939,0.6015374759769379,0.11647744334561179,24
7,16,1561,1220,0.7815502882767457,0.11433085136731262,25
28,19,1561,1178,0.7546444586803331,0.11333880525304292,26
8,235,1561,865,0.5541319666880204,0.1133256676409353,27
26,90,1561,851,0.5451633568225497,0.09782891575912876,28
26,165,1561,775,0.4964766175528507,0.09634608599255286,29
31,205,1561,1176,0.7533632286995515,0.09491596307455157,30
3,184,1561,932,0.5970531710442024,0.0946014423846893,31
1,232,1561,1100,0.7046764894298526,0.09294954406229981,32
23,196,1561,881,0.564381806534273,0.09078293286555093,33
13,71,1561,866,0.5547725816784113,0.08795349785794362,34
17,95,1561,886,0.5675848814862268,0.0858164462884369,35
25,247,1561,790,0.5060858424087123,0.08499331232983665,36
20,250,1561,1167,0.7475976937860346,0.08184951303251121,37
14,80,1561,780,0.4996796925048046,0.0816937384889494,38
32,133,1561,809,0.518257527226137,0.08099869624839846,39
32,169,1561,868,0.5560538116591929,0.07525192935217809,40
38,18,1561,754,0.48302370275464446,0.07445428861707239,41
33,144,1561,980,0.6278026905829597,0.07248677480381166,42
28,58,1561,728,0.4663677130044843,0.07201694877081999,43
18,248,1561,633,0.40550928891736066,0.07063687389894298,44
14,20,1561,914,0.5855221012171685,0.07014593384649263,45
11,139,1561,713,0.4567584881486227,0.07012106622357463,46
19,218,1561,722,0.46252402306213963,0.06949577844730942,47
4,89,1561,903,0.57847533632287,0.06752419823030109,48
12,250,1561,976,0.6252402306213966,0.06399815698070148,49
27,35,1561,635,0.4067905188981422,0.06383878523382447,50
7,216,1561,564,0.3613068545803972,0.06276806984705317,51
35,184,1561,649,0.4157591287636131,0.06228385500080077,52
16,150,1561,734,0.47021140294682895,0.061511551089045484,53
18,166,1561,569,0.36450992953235106,0.059973199271300445,54
17,121,1561,702,0.4497117232543241,0.057694918371636775,55
28,108,1561,851,0.5451633568225497,0.05760670869034273,56
9,167,1561,592,0.3792440743113389,0.057599670683856505,57
30,44,1561,646,0.4138372837924407,0.056911979250080076,58
28,199,1561,501,0.32094811018577835,0.05430291204556374,59
2,228,1561,666,0.42664958360025623,0.05392239049487508,60
37,53,1561,519,0.3324791800128123,0.05322828665518898,61
2,40,1561,803,0.5144138372837924,0.052988368834080715,62
5,160,1561,824,0.5278667520819987,0.05217461888412876,63
19,58,1561,513,0.32863549007046766,0.052172898482543244,64
14,43,1561,476,0.30493273542600896,0.052087816804131964,65
23,24,1561,602,0.38565022421524664,0.05206373118193466,66
38,185,1561,643,0.4119154388212684,0.05147519743954196,67
3,179,1561,663,0.4247277386290839,0.051182259969570786,68
20,27,1561,597,0.38244714926329276,0.05115066714045484,69
19,223,1561,490,0.31390134529147984,0.05114284713324792,70
36,223,1561,582,0.37283792440743113,0.05072650994955157,71
3,148,1561,450,0.2882767456758488,0.05062093985225817,72
19,238,1561,609,0.3901345291479821,0.050493160934497114,73
18,107,1561,629,0.4029468289557976,0.049805000300288275,74
29,126,1561,664,0.42536835361947467,0.04947546519658873,75
34,5,1561,572,0.3664317745035234,0.049320472653747595,76
38,97,1561,460,0.2946828955797566,0.049144678891736064,77
36,126,1561,510,0.32671364509929535,0.04841022381486227,78
17,205,1561,565,0.36194746957078794,0.04779729164998398,79
9,38,1561,492,0.31518257527226134,0.046928176049007043,80
2,0,1561,493,0.31582319026265215,0.04646617002322229,81
35,149,1561,526,0.33696348494554773,0.046259096232383085,82
21,29,1561,416,0.26649583600256244,0.04618371136290839,83
30,90,1561,451,0.2889173606662396,0.0461808961603139,84
13,36,1561,540,0.34593209481101855,0.045820863028507366,85
9,115,1561,459,0.29404228058936577,0.04568010289878283,86
21,131,1561,496,0.31774503523382447,0.04567259569186419,87
26,120,1561,402,0.2575272261370916,0.04541078185057655,88
14,67,1561,422,0.2703395259449071,0.043508330497277384,89
34,67,1561,367,0.23510570147341447,0.04332925233223895,90
10,35,1561,577,0.36963484945547725,0.0431570557735426,91
31,193,1561,579,0.3709160794362588,0.04310560012612107,92
16,255,1561,474,0.3036515054452274,0.042903687540038433,93
1,250,1561,403,0.25816784112748237,0.042896805933696346,94
27,229,1561,582,0.37283792440743113,0.042772311418962206,95
5,177,1561,508,0.3254324151185138,0.042651414107543244,96
25,118,1561,443,0.2837924407431134,0.042221939311739266,97
13,48,1561,514,0.3292761050608584,0.04221521410554132,98
4,212,1561,500,0.3203074951953876,0.042078207579276106,99
26,236,1561,420,0.26905829596412556,0.041673444006245994,100
16,116,1561,421,0.2696989109545163,0.041463867813100574,101
21,84,1561,382,0.2447149263292761,0.04142695737908392,102
13,117,1561,399,0.2556053811659193,0.04123427240150544,103
21,166,1561,577,0.36963484945547725,0.04120721517656951,104
24,103,1561,421,0.2696989109545163,0.041072241852178094,105
33,122,1561,460,0.2946828955797566,0.04083169843049327,106
2,45,1561,394,0.2524023062139654,0.04072253112988469,107
25,151,1561,383,0.2453555413196669,0.040687497497597695,108
23,237,1561,473,0.30301089045483665,0.040432408862508006,109
19,210,1561,443,0.2837924407431134,0.040275852318225495,110
5,97,1561,472,0.3023702754644459,0.03977067985265855,111
5,235,1561,612,0.3920563741191544,0.038926588274743754,112
25,39,1561,620,0.3971812940422806,0.038906881856582316,113
9,111,1561,338,0.216527866752082,0.0386643052330237,114
39,66,1561,454,0.2908392056374119,0.038255006055813584,115
11,255,1561,443,0.2837924407431134,0.038200735205797566,116
28,241,1561,413,0.2645739910313901,0.03768336352898783,117
32,4,1561,307,0.19666880204996798,0.03759812545043242,118
10,72,1561,484,0.31005765534913515,0.03758404943745996,119
24,252,1561,361,0.23126201153106982,0.03729861917440743,120
34,196,1561,462,0.29596412556053814,0.037248414728139015,121
23,202,1561,344,0.22037155669442665,0.03718460346933056,122
2,168,1561,401,0.2568866111467008,0.03683442354660474,123
26,111,1561,456,0.29212043561819345,0.036798295113308774,124
20,11,1561,404,0.2588084561178732,0.03652506406149904,125
25,65,1561,481,0.30813581037796284,0.03651630565342729,126
19,117,1561,535,0.3427290198590647,0.036098560868433695,127
39,86,1561,399,0.2556053811659193,0.03589915068465727,128
8,212,1561,374,0.2395900064061499,0.03572570292480782,129
21,215,1561,404,0.2588084561178732,0.03549125910874439,130
23,188,1561,451,0.2889173606662396,0.03537489740150544,131
10,92,1561,303,0.19410634208840488,0.035348934977578475,132
21,32,1561,497,0.3183856502242152,0.03522068685938501,133
29,220,1561,338,0.216527866752082,0.03482014609024664,134
33,74,1561,398,0.2549647661755285,0.034780107653347214,135
18,245,1561,392,0.25112107623318386,0.03444400374359385,136
15,117,1561,478,0.3062139654067905,0.03398794092328636,137
7,199,1561,378,0.242152466367713,0.03370735906470211,138
5,213,1561,519,0.3324791800128123,0.033638699401425366,139
17,88,1561,496,0.31774503523382447,0.03352437089606022,140
23,66,1561,473,0.30301089045483665,0.033466815643017296,141
23,231,1561,449,0.287636130685458,0.03330556709441063,142
13,255,1561,395,0.2530429212043562,0.033088327294202434,143
34,167,1561,322,0.2062780269058296,0.03278459821428571,144
34,29,1561,454,0.2908392056374119,0.03253122998078155,145
35,129,1561,417,0.26713645099295324,0.03251590276665599,146
22,241,1561,441,0.2825112107623318,0.03237795783952595,147
4,27,1561,349,0.22357463164638053,0.031846510149743754,148
28,77,1561,423,0.2709801409352979,0.03102978859705317,149
20,191,1561,427,0.273542600896861,0.03091248848894939,150
8,193,1561,436,0.27930813581037794,0.030805667190502883,151
12,6,1561,430,0.2754644458680333,0.030663030259048686,152
16,58,1561,348,0.22293401665598975,0.03055042215526906,153
13,53,1561,370,0.2370275464445868,0.03053681534272902,154
24,137,1561,300,0.19218449711723254,0.030462525274263293,155
11,40,1561,403,0.25816784112748237,0.030279380705477258,156
16,117,1561,529,0.33888532991672005,0.03022620465647021,157
31,69,1561,314,0.2011531069827034,0.030181474215246636,158
36,97,1561,333,0.21332479180012812,0.030176782210922487,159
19,199,1561,419,0.2684176809737348,0.02994843800048046,160
23,123,1561,341,0.21844971172325434,0.029776397841928252,161
24,18,1561,459,0.29404228058936577,0.029707581778507366,162
27,250,1561,324,0.20755925688661114,0.029522404007847534,163
35,190,1561,490,0.31390134529147984,0.029173318886130686,164
39,27,1561,288,0.18449711723254325,0.02914860766335682,165
15,184,1561,305,0.19538757206918642,0.029092929212043563,166
39,100,1561,276,0.17680973734785393,0.029015667540839205,167
39,155,1561,274,0.1755285073670724,0.028972422900984944,168
12,166,1561,330,0.2114029468289558,0.02886833860506086,169
33,188,1561,457,0.29276105060858426,0.028746346492632927,170
12,51,1561,373,0.23894939141575913,0.028711625660634208,171
22,13,1561,309,0.1979500320307495,0.028573524333360027,172
15,176,1561,344,0.22037155669442665,0.028524414688100578,173
22,216,1561,369,0.23638693145419604,0.02842416219570788,174
21,152,1561,332,0.21268417680973734,0.028364104540358745,175
24,241,1561,322,0.2062780269058296,0.02833563971412556,176
5,55,1561,359,0.22998078155028828,0.02816922996076233,177
18,242,1561,320,0.20499679692504805,0.028073825872837924,178
16,239,1561,311,0.19923126201153107,0.028052555453235106,179
24,75,1561,286,0.1832158872517617,0.02792321253403267,180
8,34,1561,263,0.16848174247277387,0.027867221282431135,181
19,150,1561,312,0.19987187700192185,0.0278185808376041,182
1,168,1561,364,0.23318385650224216,0.027811073630685457,183
13,227,1561,278,0.1780909673286355,0.027763527986867393,184
9,199,1561,303,0.19410634208840488,0.02776008718369635,185
30,162,1561,264,0.16912235746316465,0.02773678356221973,186
39,115,1561,390,0.2498398462524023,0.02755051099055093,187
21,27,1561,285,0.1825752722613709,0.027499837343850097,188
37,48,1561,343,0.21973094170403587,0.027468870115310698,189
31,161,1561,301,0.19282511210762332,0.027462301309256885,190
15,244,1561,291,0.18641896220371557,0.027456827304212044,191
18,119,1561,378,0.242152466367713,0.027431803281149903,192
21,212,1561,322,0.2062780269058296,0.027377845231422164,193
18,180,1561,298,0.190903267136451,0.027185629454276106,194
16,189,1561,319,0.20435618193465727,0.02716029263092569,195
8,66,1561,404,0.2588084561178732,0.027134017406710443,196
3,39,1561,352,0.22549647661755284,0.027055660934497117,197
18,187,1561,326,0.2088404868673927,0.026854843149423446,198
11,37,1561,277,0.17745035233824472,0.026727220631806534,199
20,252,1561,314,0.2011531069827034,0.026644328555413196,200
23,1,1561,308,0.19730941704035873,0.026442572369474695,201
18,191,1561,310,0.1985906470211403,0.02635858549207239,202
37,251,1561,254,0.1627162075592569,0.0262730346132287,203
4,151,1561,229,0.1467008327994875,0.026187640134529146,204
24,129,1561,257,0.1646380525304292,0.026168559316944267,205
34,151,1561,306,0.1960281870595772,0.02614244049287316,206
15,254,1561,413,0.2645739910313901,0.02592410589165599,207
23,86,1561,258,0.16527866752082,0.02581916139493914,208
19,173,1561,310,0.1985906470211403,0.025818848594650865,209
8,92,1561,391,0.2504804612427931,0.02570952489389814,210
4,171,1561,295,0.18898142216527866,0.025610210802370276,211
25,63,1561,294,0.18834080717488788,0.02548368308576233,212
22,226,1561,305,0.19538757206918642,0.02545036985506086,213
8,255,1561,321,0.20563741191543883,0.025392345401585522,214
20,162,1561,321,0.20563741191543883,0.025339169352578475,215
6,237,1561,308,0.19730941704035873,0.02532431133888533,216
39,173,1561,282,0.1806534272901986,0.025319150134128762,217
23,93,1561,332,0.21268417680973734,0.025251741672005126,218
14,2,1561,303,0.19410634208840488,0.025118801549487507,219
3,114,1561,305,0.19538757206918642,0.025059682295003202,220
29,59,1561,365,0.23382447149263294,0.02484932410113709,221
13,146,1561,269,0.17232543241511852,0.024710597173286355,222
14,183,1561,324,0.20755925688661114,0.024678691543882126,223
38,23,1561,245,0.15695067264573992,0.02466711793321589,224
37,120,1561,243,0.15566944266495836,0.024624889894298528,225
23,247,1561,252,0.16143497757847533,0.02460831147901986,226
4,181,1561,373,0.23894939141575913,0.02458625905869635,227
24,167,1561,250,0.1601537475976938,0.02454668982222934,228
15,116,1561,393,0.2517616912235746,0.02447161775304292,229
3,170,1561,307,0.19666880204996798,0.024453788136611147,230
25,124,1561,278,0.1780909673286355,0.02430348759809417,231
32,176,1561,351,0.22485586162716206,0.024221221122277387,232
24,63,1561,194,0.12427930813581038,0.024078114990390774,233
9,60,1561,343,0.21973094170403587,0.02392390444827034,234
16,134,1561,386,0.2472773862908392,0.023893250020019217,235
19,100,1561,278,0.1780909673286355,0.023845078775624598,236
8,4,1561,372,0.23830877642536835,0.02374122907991672,237
14,217,1561,237,0.1518257527226137,0.023731845071268416,238
21,149,1561,288,0.18449711723254325,0.023698688240711082,239
27,114,1561,360,0.23062139654067906,0.023570909322950032,240
26,68,1561,244,0.15631005765534914,0.023526335281870595,241
28,115,1561,327,0.20948110185778346,0.023414978379244073,242
39,252,1561,141,0.0903267136450993,0.023381352348254326,243
10,44,1561,250,0.1601537475976938,0.02336524313340807,244
24,153,1561,251,0.16079436258808455,0.02333646550688661,245
36,252,1561,179,0.11467008327994875,0.023320356292040358,246
24,69,1561,385,0.24663677130044842,0.023305185478058935,247
10,31,1561,301,0.19282511210762332,0.023046186839365792,248
4,224,1561,141,0.0903267136450993,0.023027418822069188,249
13,83,1561,291,0.18641896220371557,0.023001456398142217,250
1,242,1561,190,0.12171684817424727,0.02290511390935298,251
25,87,1561,306,0.1960281870595772,0.022860539868273543,252
13,79,1561,259,0.16591928251121077,0.02284724585602178,253
4,248,1561,136,0.08712363869314542,0.02281252502402306,254
24,249,1561,273,0.17488789237668162,0.022779524593609865,255
10,246,1561,336,0.21524663677130046,0.02267895930092889,256
7,100,1561,293,0.18770019218449713,0.022662068085361947,257
12,11,1561,322,0.2062780269058296,0.02261014323750801,258
2,38,1561,280,0.17937219730941703,0.022584493613869314,259
35,101,1561,238,0.15246636771300448,0.02257526600536515,260
2,35,1561,295,0.18898142216527866,0.022559156790518897,261
19,124,1561,227,0.14541960281870595,0.02252537435938501,262
39,243,1561,272,0.17424727738629084,0.022480487518017296,263
28,249,1561,235,0.15054452274183217,0.02247344951153107,264
28,177,1561,245,0.15695067264573992,0.02232612057575272,265
38,145,1561,265,0.1697629724535554,0.02228389253683536,266
25,205,1561,234,0.14990390775144138,0.022053984324951953,267
31,151,1561,284,0.18193465727098015,0.02203224470491672,268
23,193,1561,224,0.14349775784753363,0.022028960301889815,269
37,69,1561,264,0.16912235746316465,0.022026770699871877,270
5,140,1561,313,0.2005124919923126,0.02196952824711723,271
21,34,1561,269,0.17232543241511852,0.021968277045964126,272
25,112,1561,261,0.1672005124919923,0.021879128963805252,273
31,240,1561,280,0.17937219730941703,0.02184300053050929,274
37,146,1561,278,0.1780909673286355,0.02177934567184497,275
39,71,1561,292,0.18705957719410635,0.021768710462043563,276
38,153,1561,298,0.190903267136451,0.021640775144138372,277
19,162,1561,221,0.14157591287636132,0.02161387431934657,278
20,219,1561,283,0.18129404228058937,0.0215422430533312,279
24,215,1561,276,0.17680973734785393,0.021506740220611786,280
30,64,1561,351,0.22485586162716206,0.021452938571028188,281
16,33,1561,248,0.15887251761691223,0.021440582959641255,282
22,164,1561,369,0.23638693145419604,0.021404298126201152,283
30,154,1561,226,0.1447789878283152,0.021369420894058296,284
20,226,1561,274,0.1755285073670724,0.02136238288757207,285
12,252,1561,227,0.14541960281870595,0.021261817594891097,286
25,109,1561,201,0.1287636130685458,0.02125947159272902,287
18,86,1561,260,0.16655989750160155,0.02119878833680333,288
8,64,1561,348,0.22293401665598975,0.02117970751921845,289
19,53,1561,227,0.14541960281870595,0.021154057895579757,290
26,58,1561,287,0.18385650224215247,0.02114436108664318,291
23,28,1561,171,0.10954516335682254,0.021114957859545164,292
9,96,1561,271,0.17360666239590006,0.021075545023222293,293
10,207,1561,247,0.15823190262652145,0.02104598539598014,294
37,122,1561,242,0.15502882767456758,0.020984676539477897,295
38,91,1561,260,0.16655989750160155,0.020910073670723894,296
15,229,1561,323,0.20691864189622036,0.02074303831678411,297
14,58,1561,174,0.11146700832799487,0.02071144548766816,298
18,170,1561,251,0.16079436258808455,0.02063762461963485,299
8,13,1561,204,0.13068545803971812,0.020598524583600255,300
14,47,1561,248,0.15887251761691223,0.020574751761691223,301
13,104,1561,275,0.17616912235746315,0.020484352478379243,302
29,64,1561,306,0.1960281870595772,0.020464176859785393,303
14,54,1561,195,0.12491992312620115,0.020455574851857783,304
11,165,1561,222,0.14221652786675207,0.020381441183536193,305
16,109,1561,242,0.15502882767456758,0.02035485315903267,306
11,149,1561,213,0.1364509929532351,0.0203329571388533,307
4,130,1561,170,0.10890454836643178,0.020306681914638053,308
26,156,1561,293,0.18770019218449713,0.020276965887251763,309
16,202,1561,242,0.15502882767456758,0.020249908662315824,310
19,225,1561,100,0.06406149903907751,0.02023661465006406,311
15,54,1561,381,0.24407431133888532,0.02022519743954196,312
11,227,1561,276,0.17680973734785393,0.02021065222613709,313
25,227,1561,214,0.13709160794362588,0.02015434817424728,314
36,37,1561,222,0.14221652786675207,0.020074740500880844,315
17,17,1561,266,0.17040358744394618,0.020016872447549648,316
6,182,1561,367,0.23510570147341447,0.019988407621316463,317
15,154,1561,240,0.15374759769378604,0.019988251221172326,318
27,56,1561,203,0.13004484304932734,0.019922093960201795,319
33,44,1561,328,0.21012171684817424,0.01991880955717489,320
33,69,1561,312,0.19987187700192185,0.019895975136130686,321
7,58,1561,255,0.16335682254964767,0.01987251511450993,322
37,72,1561,254,0.1627162075592569,0.01986266190542921,323
16,233,1561,215,0.13773222293401666,0.019779613428891736,324
38,204,1561,239,0.15310698270339526,0.019753963805253044,325
14,5,1561,264,0.16912235746316465,0.019639166099455478,326
3,66,1561,244,0.15631005765534914,0.019595999659673288,327
7,29,1561,255,0.16335682254964767,0.019552207619314543,328
21,201,1561,254,0.1627162075592569,0.019523429992793082,329
5,185,1561,155,0.09929532351057015,0.019512481982703396,330
7,147,1561,292,0.18705957719410635,0.01945836753283152,331
18,154,1561,311,0.19923126201153107,0.019436158712363868,332
5,132,1561,264,0.16912235746316465,0.019305877392296604,333
15,29,1561,250,0.1601537475976938,0.019296493383648302,334
29,194,1561,209,0.133888532991672,0.019288204176008968,335
22,6,1561,310,0.1985906470211403,0.019235184527146062,336
30,22,1561,267,0.17104420243433696,0.01922673891936259,337
13,47,1561,207,0.13260730301089046,0.019212819306534273,338
18,222,1561,192,0.12299807815502883,0.019185918481742472,339
38,60,1561,73,0.04676489429852659,0.01916433526185138,340
25,246,1561,261,0.1672005124919923,0.019072371977098015,341
15,236,1561,278,0.1780909673286355,0.019021698330397182,342
17,160,1561,249,0.15951313260730302,0.018917848634689302,343
24,40,1561,77,0.04932735426008968,0.018793666920243434,344
8,3,1561,272,0.17424727738629084,0.018791790118513774,345
32,230,1561,388,0.24855861627162076,0.018743775274263293,346
18,164,1561,276,0.17680973734785393,0.018716405249039076,347
8,98,1561,218,0.13965406790518897,0.018657755194987188,348
19,7,1561,230,0.1473414477898783,0.01864508678331198,349
15,19,1561,244,0.15631005765534914,0.01860176394338565,350
17,15,1561,221,0.14157591287636132,0.018560943505765534,351
30,40,1561,238,0.15246636771300448,0.01846835462043562,352
5,15,1561,215,0.13773222293401666,0.018444581798526587,353
39,33,1561,225,0.1441383728379244,0.018358405319106343,354
7,72,1561,233,0.1492632927610506,0.01830006806534273,355
35,159,1561,303,0.19410634208840488,0.018290684056694425,356
10,112,1561,193,0.1236386931454196,0.018139914317745035,357
36,68,1561,211,0.13516976297245356,0.018097686278827674,358
6,89,1561,315,0.20179372197309417,0.01809252507407111,359
33,219,1561,256,0.16399743754003843,0.018062183446108264,360
5,39,1561,123,0.07879564381806534,0.01804920223414478,361
14,105,1561,197,0.1262011531069827,0.01800697419522742,362
