layer,seed,level,group_size,experts_json,target_delta_nll,control_delta_nll,causal_specificity
24,17,0,32,"[145, 83, 255, 126, 58, 109, 27, 19, 40, 139, 11, 158, 171, 210, 198, 108, 84, 57, 185, 114, 203, 181, 253, 148, 16, 50, 131, 77, 81, 117, 143, 110]",-0.021314330399036407,-0.03925374895334244,-0.021314330399036407
24,17,0,32,"[236, 206, 252, 149, 170, 56, 111, 63, 20, 91, 214, 200, 194, 12, 67, 197, 118, 155, 28, 30, 211, 34, 230, 154, 93, 188, 10, 48, 136, 29, 15, 102]",0.02595292031764984,-0.007418543100357056,0.02595292031764984
24,17,0,32,"[70, 99, 120, 209, 180, 90, 94, 199, 151, 86, 212, 129, 7, 247, 101, 217, 14, 88, 147, 244, 165, 92, 240, 173, 204, 229, 159, 35, 231, 177, 23, 47]",-0.0003937792789656669,-0.041199639439582825,-0.0003937792789656669
24,17,0,32,"[13, 254, 130, 245, 220, 21, 78, 162, 116, 42, 66, 38, 152, 224, 243, 46, 107, 249, 125, 31, 235, 62, 79, 238, 174, 201, 164, 246, 191, 248, 208, 112]",-0.02660066820681095,-0.11320842057466507,-0.02660066820681095
24,17,0,32,"[241, 123, 32, 179, 89, 178, 193, 156, 60, 71, 219, 222, 25, 59, 228, 54, 144, 26, 133, 69, 45, 233, 141, 146, 160, 43, 226, 218, 51, 122, 96, 135]",0.0031307213939726353,0.025011004880070686,-0.01562753226608038
24,17,0,32,"[189, 95, 87, 68, 168, 205, 132, 221, 33, 44, 251, 100, 22, 53, 176, 163, 124, 239, 234, 150, 76, 195, 5, 186, 64, 73, 142, 182, 103, 166, 17, 215]",0.027664966881275177,-0.04127698764204979,0.027664966881275177
24,17,0,32,"[232, 121, 106, 225, 9, 227, 6, 61, 2, 104, 0, 80, 140, 52, 113, 18, 65, 216, 169, 119, 36, 187, 161, 134, 153, 3, 213, 137, 184, 4, 24, 128]",0.019789021462202072,0.10829737037420273,-0.061434006318449974
24,17,0,32,"[8, 37, 172, 250, 183, 202, 196, 157, 105, 127, 242, 138, 223, 167, 207, 49, 97, 41, 72, 39, 55, 1, 192, 237, 175, 98, 190, 74, 82, 75, 85, 115]",0.006875811144709587,-0.011104296892881393,0.006875811144709587
24,17,1,16,"[189, 95, 87, 68, 168, 205, 132, 221, 33, 44, 251, 100, 22, 53, 176, 163]",0.029349584132432938,-0.03969873860478401,0.029349584132432938
24,17,1,16,"[124, 239, 234, 150, 76, 195, 5, 186, 64, 73, 142, 182, 103, 166, 17, 215]",0.0007430940750055015,0.004424424842000008,-0.002575224556494504
24,17,1,16,"[236, 206, 252, 149, 170, 56, 111, 63, 20, 91, 214, 200, 194, 12, 67, 197]",0.019772855564951897,0.0002556300023570657,0.019581133063184097
24,17,1,16,"[118, 155, 28, 30, 211, 34, 230, 154, 93, 188, 10, 48, 136, 29, 15, 102]",-0.001181237050332129,-0.03033897839486599,-0.001181237050332129
24,17,1,16,"[8, 37, 172, 250, 183, 202, 196, 157, 105, 127, 242, 138, 223, 167, 207, 49]",-0.0036244976799935102,0.00020857811614405364,-0.0037809312671015505
24,17,1,16,"[97, 41, 72, 39, 55, 1, 192, 237, 175, 98, 190, 74, 82, 75, 85, 115]",0.008290008641779423,0.002098062541335821,0.006716461735777557
24,17,1,16,"[70, 99, 120, 209, 180, 90, 94, 199, 151, 86, 212, 129, 7, 247, 101, 217]",-0.006183024495840073,-0.041649386286735535,-0.006183024495840073
24,17,1,16,"[14, 88, 147, 244, 165, 92, 240, 173, 204, 229, 159, 35, 231, 177, 23, 47]",-0.0001895689929369837,0.0012947070645168424,-0.0011605992913246155
24,17,2,8,"[189, 95, 87, 68, 168, 205, 132, 221]",0.025070779025554657,-0.045837316662073135,0.025070779025554657
24,17,2,8,"[33, 44, 251, 100, 22, 53, 176, 163]",0.0072975242510437965,-0.007335413713008165,0.0072975242510437965
24,17,2,8,"[236, 206, 252, 149, 170, 56, 111, 63]",0.025982216000556946,0.01078634150326252,0.017892459873110056
24,17,2,8,"[20, 91, 214, 200, 194, 12, 67, 197]",-0.0017680287128314376,-0.04304671660065651,-0.0017680287128314376
24,17,2,8,"[97, 41, 72, 39, 55, 1, 192, 237]",-0.0008716500014998019,0.022331470623612404,-0.017620252969209105
24,17,2,8,"[175, 98, 190, 74, 82, 75, 85, 115]",0.008519716560840607,0.007125296629965305,0.0031757440883666277
24,17,2,8,"[14, 88, 147, 244, 165, 92, 240, 173]",-9.439409041078761e-05,-0.012386574409902096,-9.439409041078761e-05
24,17,2,8,"[204, 229, 159, 35, 231, 177, 23, 47]",0.0006597089814022183,0.01540831197053194,-0.010896524996496737
24,17,3,4,"[189, 95, 87, 68]",-0.0033053576480597258,-0.0009010159992612898,-0.0033053576480597258
24,17,3,4,"[168, 205, 132, 221]",0.025372672826051712,-0.04223014786839485,0.025372672826051712
24,17,3,4,"[236, 206, 252, 149]",0.023971574380993843,0.0297995712608099,0.0016218959353864193
24,17,3,4,"[170, 56, 111, 63]",-0.003627187106758356,0.0021057636477053165,-0.0052065098425373435
24,17,3,4,"[33, 44, 251, 100]",0.0034546100068837404,-0.011693623848259449,0.0034546100068837404
24,17,3,4,"[22, 53, 176, 163]",-0.0031441301107406616,-0.0160304456949234,-0.0031441301107406616
24,17,3,4,"[175, 98, 190, 74]",0.010457519441843033,-0.007545408792793751,0.010457519441843033
24,17,3,4,"[82, 75, 85, 115]",0.00034999370109289885,0.002132740570232272,-0.0012495617265813053
24,17,4,2,"[168, 205]",0.020743899047374725,-0.029232192784547806,0.020743899047374725
24,17,4,2,"[132, 221]",0.004136975854635239,-0.003620471339672804,0.004136975854635239
24,17,4,2,"[175, 98]",-0.0017824136884883046,-0.011124270968139172,-0.0017824136884883046
24,17,4,2,"[190, 74]",0.006699021439999342,-0.010785446502268314,0.006699021439999342
24,17,4,2,"[33, 44]",0.001254888717085123,-0.008291183970868587,0.001254888717085123
24,17,4,2,"[251, 100]",0.004133219830691814,-0.015597744844853878,0.004133219830691814
24,17,4,2,"[236, 206]",0.02125244215130806,0.036528728902339935,-0.006144104525446892
24,17,4,2,"[252, 149]",-0.0004979616496711969,0.003941923379898071,-0.0034544041845947504
24,17,5,1,[168],0.012638410553336143,0.004414030816406012,0.009327887441031635
24,17,5,1,[205],0.0025289051700383425,-0.013470156118273735,0.0025289051700383425
24,17,5,1,[190],0.0,0.0,0.0
24,17,5,1,[74],0.006699021439999342,-0.010785446502268314,0.006699021439999342
24,17,5,1,[132],0.0017841773806139827,0.0026900183875113726,-0.00023333641001954675
