layer,expert,target_delta_nll,control_delta_nll,causal_specificity
8,7,0.00012701511150225997,0.006966880057007074,-0.005098144931253046
8,32,0.0006028926582075655,0.019367799162864685,-0.013922956713940948
8,33,-0.0005451947217807174,0.03585413470864296,-0.027435795753262937
8,35,-0.0040399073623120785,0.0044451127760112286,-0.0073737419443205
8,43,-0.005016569048166275,0.06448774039745331,-0.053382374346256256
8,47,-0.004438173957169056,0.01771077886223793,-0.017721258103847504
8,48,-0.007341563701629639,0.05750700831413269,-0.050471819937229156
8,75,-0.0008564328891225159,0.02799340710043907,-0.02185148821445182
8,77,0.0003732913755811751,0.04162147641181946,-0.03084281593328342
8,82,-0.009063100442290306,0.021226312965154648,-0.024982835166156292
8,85,-0.0022737307008355856,0.016925180330872536,-0.014967615948989987
8,101,-0.00199690368026495,0.018701737746596336,-0.016023206990212202
8,108,0.0009290820453315973,0.01073527056723833,-0.007122370880097151
8,112,0.003133513266220689,0.04017837345600128,-0.027000266825780272
8,113,-0.0062103914096951485,0.04625540226697922,-0.04090194310992956
8,114,-0.002213156782090664,0.024696223437786102,-0.02073532436043024
8,152,0.0016061443602666259,0.011684214696288109,-0.007157016661949456
8,165,-0.010789488442242146,-0.04696885123848915,-0.010789488442242146
8,179,-0.008277921937406063,0.031813133507966995,-0.03213777206838131
8,182,-0.003451453521847725,0.017012758180499077,-0.016211022157222033
8,201,0.0070384289138019085,-0.008017333224415779,0.0070384289138019085
8,206,0.0009534633136354387,0.0031389938667416573,-0.0014007820864208043
8,208,-0.007361062802374363,0.041868481785058975,-0.038762424141168594
8,214,-0.007261231075972319,0.021068353205919266,-0.023062495980411768
8,217,-0.0004301088920328766,0.01740298420190811,-0.01348234704346396
8,247,0.0004957890487276018,0.03376206383109093,-0.024825758824590594
8,252,0.0024920841678977013,-0.014448966830968857,0.0024920841678977013
12,5,0.0018442011205479503,0.010947322472929955,-0.006366290734149516
12,13,-0.006755739450454712,-0.00412281509488821,-0.006755739450454712
12,18,-1.8114447811967693e-05,0.05351756140589714,-0.04015628550223482
12,23,0.0022372198291122913,-0.0022838807199150324,0.0022372198291122913
12,33,-0.008241215720772743,0.03144450485706329,-0.03182459436357021
12,85,-0.0007864272338338196,0.038557346910238266,-0.02970443741651252
12,86,-0.005281652323901653,0.012003895826637745,-0.014284574193879962
12,93,0.0022296833340078592,-0.004971656948328018,0.0022296833340078592
12,96,-0.005580982659012079,0.03220900520682335,-0.02973773656412959
12,110,0.0012589097023010254,0.010472867637872696,-0.0065957410261034966
12,122,-0.00026064575649797916,0.021593714132905006,-0.016455931356176734
12,135,-0.0028406286146491766,0.016689002513885498,-0.0153573805000633
12,141,-0.01009648758918047,-0.004970216657966375,-0.01009648758918047
12,146,-0.005103297997266054,-0.00479334220290184,-0.005103297997266054
12,152,-0.0024734174367040396,0.016323409974575043,-0.014715974917635322
12,175,-0.0060346233658492565,0.01978934369981289,-0.020876631140708923
12,181,-0.004719843156635761,0.029343368485569954,-0.026727369520813227
12,182,0.0033428282476961613,0.021402621641755104,-0.012709137983620167
12,183,-0.008069251663982868,0.028246983885765076,-0.029254489578306675
12,195,-0.002273040357977152,0.03077419474720955,-0.025353686418384314
12,200,-0.002771389437839389,0.033781569451093674,-0.028107566526159644
12,202,-0.0021615754812955856,-0.014831260778009892,-0.0021615754812955856
12,213,-0.003157114377245307,0.026287836953997612,-0.022872992092743516
12,214,-0.006773993838578463,0.004454996436834335,-0.010115241166204214
12,227,-0.004003618843853474,0.027409832924604416,-0.024560993537306786
12,240,-0.0037724620196968317,0.0019594908226281404,-0.005242080136667937
12,250,-0.00523478165268898,0.006740834563970566,-0.010290407575666904
13,12,0.0011656981660053134,0.033559784293174744,-0.024004140053875744
13,38,-0.005166343878954649,-0.01062806136906147,-0.005166343878954649
13,39,0.0006715184426866472,0.03894033282995224,-0.028533731179777533
13,45,-0.002204487333074212,0.02966635674238205,-0.02445425488986075
13,65,0.0027359426021575928,0.01728583499789238,-0.010228433646261692
13,66,-0.0044593410566449165,-0.01876251958310604,-0.0044593410566449165
13,76,0.003335164859890938,0.06025352329015732,-0.04185497760772705
13,77,-0.0011575770331546664,0.020481610670685768,-0.016518785036168993
13,94,-0.00220663845539093,0.052322372794151306,-0.04144841805100441
13,100,-0.00112183450255543,0.031771305948495865,-0.02495031396392733
13,106,0.0009117972804233432,-0.012364933267235756,0.0009117972804233432
13,107,0.005795343313366175,0.010422378778457642,-0.0020214407704770565
13,124,0.003300206968560815,0.01677817292511463,-0.009283422725275159
13,126,-0.0007132971077226102,0.018021682277321815,-0.014229558815713972
13,131,0.00033741473453119397,0.0073261624202132225,-0.005157207080628723
13,138,0.0033627611119300127,0.013361240737140179,-0.006658169440925121
13,157,-0.003123945090919733,0.013374903239309788,-0.013155122520402074
13,171,-0.0002996510302182287,0.02009142003953457,-0.015368216059869155
13,194,-0.001653150306083262,-0.001047859201207757,-0.001653150306083262
13,196,0.00036437035305425525,-0.015450987033545971,0.00036437035305425525
13,197,0.0005406200652942061,0.0427292138338089,-0.03150629031006247
13,198,0.005948985926806927,0.02670668065547943,-0.014081024564802647
13,200,-0.004263012204319239,0.038572464138269424,-0.03319236030802131
13,206,-0.003590524196624756,0.01775204949080944,-0.016904561314731836
13,222,0.0015906154876574874,-0.0004992967587895691,0.0015906154876574874
13,227,0.0028815537225455046,-0.00035226106410846114,0.0028815537225455046
13,236,0.0008489894680678844,0.02739504724740982,-0.01969729596748948
13,240,-0.00201419647783041,0.044081926345825195,-0.035075641237199306
13,242,-0.00808708369731903,0.013775735162198544,-0.01841888506896794
13,255,0.0003168308758176863,0.010339255444705486,-0.007437610707711428
16,10,-0.000610937480814755,8.898734813556075e-05,-0.0006776779919164255
16,13,-0.0009750390308909118,0.016962002962827682,-0.013696541253011674
