layer,target_delta_nll,control_delta_nll,causal_specificity
1,-0.02783702313899994,-0.05900944769382477,-0.02783702313899994
2,-0.040860846638679504,-0.1030283197760582,-0.040860846638679504
3,-0.05758914351463318,-0.03469162806868553,-0.05758914351463318
4,-0.021337145939469337,-0.057247862219810486,-0.021337145939469337
5,-0.022914892062544823,-0.07598210126161575,-0.022914892062544823
6,0.016776345670223236,-0.07846030592918396,0.016776345670223236
7,-0.027912592515349388,-0.08871813863515854,-0.027912592515349388
8,0.026463808491826057,-0.060935765504837036,0.026463808491826057
9,-0.00993411149829626,-0.0094125522300601,-0.00993411149829626
10,0.003814137075096369,0.07246244698762894,-0.050532698165625334
11,-0.013706072233617306,-0.11603192985057831,-0.013706072233617306
12,0.02752811647951603,-0.030920060351490974,0.02752811647951603
13,0.04096347466111183,-0.026701943948864937,0.04096347466111183
14,-0.03472535312175751,-0.01904216967523098,-0.03472535312175751
15,-0.0025606555864214897,-0.27632781863212585,-0.0025606555864214897
16,0.06643357127904892,0.05977889522910118,0.021599399857223034
17,0.03546593338251114,-0.037248317152261734,0.03546593338251114
18,0.008304825983941555,0.0029070209711790085,0.006124560255557299
19,-0.05918062850832939,-0.16710658371448517,-0.05918062850832939
20,-0.07778099924325943,-0.08517720550298691,-0.07778099924325943
21,-0.0496411994099617,-0.10594971477985382,-0.0496411994099617
22,-0.09146074205636978,-0.2059086561203003,-0.09146074205636978
23,-0.033330291509628296,-0.021031472831964493,-0.033330291509628296
24,0.04151880368590355,-0.0653797835111618,0.04151880368590355
25,0.06808608770370483,0.29852646589279175,-0.15580876171588898
26,0.0035816014278680086,-0.13960817456245422,0.0035816014278680086
27,-0.007087087724357843,0.07027878612279892,-0.05979617731645703
28,-0.030634554103016853,-0.09327474236488342,-0.030634554103016853
29,0.0538179874420166,0.12657788395881653,-0.041115425527095795
30,0.01325585599988699,-0.21762758493423462,0.01325585599988699
31,0.020382456481456757,-0.15530464053153992,0.020382456481456757
32,-0.03356894850730896,-0.010747130028903484,-0.03356894850730896
33,-0.008085649460554123,0.1507825404405594,-0.12117255479097366
34,0.0038101684767752886,-0.0009836959652602673,0.0038101684767752886
35,-0.04018666222691536,-0.2508513927459717,-0.04018666222691536
36,0.25619950890541077,0.6455451250076294,-0.22795933485031128
37,-0.020142946392297745,-0.14773815870285034,-0.020142946392297745
38,0.3071863651275635,0.4759449064731598,-0.049772314727306366
39,0.02478523924946785,-0.1108437031507492,0.02478523924946785
