layer,expert,target_delta_nll,control_delta_nll,causal_specificity,target_relative_delta,control_relative_delta,causal_relative_specificity,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,renorm_target_relative_delta,renorm_control_relative_delta,renorm_causal_relative_specificity,ci_2.5,ci_97.5,p_positive
1,184,0.0023427335545420647,0.05131363868713379,-0.03614249546080828,0.002905385345911531,0.017904404745613535,-0.010522918213298621,6.468594074249268e-05,0.03550146892666817,-0.026561415754258633,8.022149337271782e-05,0.012387207085477362,-0.009210183820735305,-0.0731510830372572,-0.0009620882198214714,0.0222
2,21,0.00472634844481945,0.03021562658250332,-0.01793537149205804,0.005861470453875136,0.010542865830933671,-0.002045678919325118,0.004388125147670507,0.001958713633939624,0.0029190899222157896,0.005442016432192972,0.0006834362672394108,0.004929439231763415,-0.06007250984385609,0.010063897475600242,0.1822
3,255,-0.006763715296983719,0.03109123185276985,-0.030082139186561108,-0.00838814950580899,0.010848382873913808,-0.016524436661244347,-0.008520936593413353,0.004135222639888525,-0.011622353573329747,-0.010567400745998904,0.0014428659076237533,-0.01164955017671672,-0.06616682780906558,-0.0026751925349235645,0.009
4,213,-0.0021380865946412086,0.034271225333213806,-0.027841505594551563,-0.0026515885463444058,0.011957949293660938,-0.011620050516590109,0.0017259311862289906,0.0035154270008206367,-0.000910639064386487,0.0021404462179659186,0.0012266062100977598,0.0012204915603925988,-0.06512816191092133,0.0010284890718758035,0.0324
5,122,0.008079636842012405,0.024607794359326363,-0.010376208927482367,0.010020114509205607,0.008586175554466701,0.003580482843355581,0.007539006881415844,0.04428776353597641,-0.025676815770566463,0.009349642033992772,0.01545292955077393,-0.002240055129087676,-0.04338350685685874,0.013304953649640081,0.2736
6,154,-0.0007462424109689891,0.02475610189139843,-0.01931331882951781,-0.0009254666460568946,0.008637923162879962,-0.007403909018216866,-0.006455201655626297,0.029154663905501366,-0.02832119958475232,-0.008005540475910638,0.010172673701218347,-0.015635045751824398,-0.05132768422365188,0.003930337779223905,0.0712
7,13,0.007560118567198515,0.03955582529306412,-0.022106750402599573,0.009375824090582836,0.0138018570542606,-0.000975568700112615,0.0020311332773417234,0.03762250766158104,-0.026185747468844056,0.002518948366168521,0.013127281984911967,-0.007326513122515454,-0.052514859210699795,0.0058196962885558225,0.068
8,116,-0.009013759903609753,0.022853011265397072,-0.026153518352657557,-0.01117858489914009,0.007973894929698851,-0.017159006096414228,-0.0001770770613802597,0.010358286090195179,-0.007945791629026644,-0.00021960546825046365,0.0036142232625614714,-0.002930272915171567,-0.04936058662459254,-0.006054086249321723,0.002
9,74,-0.005523744039237499,0.03890042006969452,-0.03469905909150839,-0.006850375688285999,0.013573172425927258,-0.01703025500773144,-0.010363026522099972,0.019769050180912018,-0.025189814157783985,-0.012851903426331869,0.006897836227001814,-0.01802528059658323,-0.06592696470022202,-0.007379834003746513,0.0026
10,73,-0.0013688236940652132,0.045003294944763184,-0.0351212949026376,-0.001697572604517093,0.015702593466233695,-0.013474517704192364,2.805352232826408e-05,0.013441639021039009,-0.010053175743450993,3.479110653267289e-05,0.004690069767698199,-0.0034827612192409765,-0.07561648192629218,-0.0013045478016138299,0.0168
