capability,predictor,outcome,n,spearman_rho,spearman_p,spearman_ci_low,spearman_ci_high,kendall_tau
sql,precise_target_gradient,native_relative_specific_gain,48,0.3077467220912863,,,,0.19955419064756535
sql,global_target_gradient,native_relative_specific_gain,48,0.28090107831358974,,,,0.1834466775011251
sql,target_control_gradient_cosine,native_relative_specific_gain,48,0.2016205154539928,,,,0.14266810259863358
sql,precise_control_gradient,native_relative_specific_gain,48,0.15922618677864536,,,,0.09932966440304822
sql,causal_relative_specificity,native_relative_specific_gain,48,0.13589597821237379,,,,0.09070720504829163
sql,routing_rate,native_relative_specific_gain,48,0.1196270195165599,,,,0.08076875895875199
sql,routing_mass,native_relative_specific_gain,48,0.10100966447323517,,,,0.06962334831119998
sql,causal_specificity,native_relative_specific_gain,48,0.09121264218808948,,,,0.0586928973841887
sql,renorm_causal_specificity,native_relative_specific_gain,48,0.07709430763449837,,,,0.06577801165556835
sql,causal_target_damage,native_relative_specific_gain,48,0.03577924476306605,,,,0.028457162368091492
sql,causal_relative_target_damage,native_relative_specific_gain,48,0.03577924476306605,,,,0.028457162368091492
sql,precise_gradient_specific,native_relative_specific_gain,48,-0.032810039778289564,,,,-0.025000039859789207
sql,renorm_causal_target_damage,native_relative_specific_gain,48,-0.0625441143626353,,,,-0.04444460246997861
sql,global_gradient_specific,native_relative_specific_gain,48,-0.08700379693945777,,,,-0.07069408547604333
sql,causal_specificity,native_relative_target_improvement,48,0.4111084087191747,,,,0.297021632216955
sql,causal_relative_specificity,native_relative_target_improvement,48,0.4007383999942193,,,,0.27923590573689777
sql,precise_target_gradient,native_relative_target_improvement,48,0.3291036816148384,,,,0.2174514274769434
sql,global_target_gradient,native_relative_target_improvement,48,0.3103008622887594,,,,0.20492336169637876
sql,renorm_causal_specificity,native_relative_target_improvement,48,0.3025137198164964,,,,0.22933414874508962
sql,target_control_gradient_cosine,native_relative_target_improvement,48,0.19226810750952494,,,,0.128311563972356
sql,causal_target_damage,native_relative_target_improvement,48,0.18769172859775318,,,,0.1351715212484346
sql,causal_relative_target_damage,native_relative_target_improvement,48,0.18769172859775318,,,,0.1351715212484346
sql,precise_control_gradient,native_relative_target_improvement,48,0.13368478480391385,,,,0.09932966440304822
sql,routing_mass,native_relative_target_improvement,48,0.0734864460387621,,,,0.023818513895936838
sql,routing_rate,native_relative_target_improvement,48,0.0694996865443875,,,,0.027534804190483632
sql,renorm_causal_target_damage,native_relative_target_improvement,48,0.02204245697155376,,,,0.026666761481987166
sql,precise_gradient_specific,native_relative_target_improvement,48,0.020859363037852966,,,,-0.007142868531368344
sql,global_gradient_specific,native_relative_target_improvement,48,-0.02271554473497398,,,,-0.03847905918316282
sql,precise_target_gradient,native_specific_gain,48,0.26090270400145954,,,,0.16733916435468485
sql,global_target_gradient,native_specific_gain,48,0.23460049430833177,,,,0.147652203842369
sql,routing_rate,native_specific_gain,48,0.1997979177744557,,,,0.1266600992762247
sql,routing_mass,native_specific_gain,48,0.16929788834246456,,,,0.1062672158434105
sql,precise_control_gradient,native_specific_gain,48,0.15232457390462217,,,,0.09932966440304822
sql,target_control_gradient_cosine,native_specific_gain,48,0.12114630755973461,,,,0.0888310827500926
sql,precise_gradient_specific,native_specific_gain,48,-0.015427237246745423,,,,-0.007142868531368344
sql,renorm_causal_target_damage,native_specific_gain,48,-0.04614800104881944,,,,-0.040889034272380324
sql,global_gradient_specific,native_specific_gain,48,-0.057984416823486214,,,,-0.042058506549038435
sql,renorm_causal_specificity,native_specific_gain,48,-0.14267876088976175,,,,-0.08355585264355979
sql,causal_relative_specificity,native_specific_gain,48,-0.16575725988109355,,,,-0.11205007682436026
sql,causal_specificity,native_specific_gain,48,-0.195672834789211,,,,-0.1369500938964403
sql,causal_target_damage,native_specific_gain,48,-0.20854033252645934,,,,-0.13872866654444604
sql,causal_relative_target_damage,native_specific_gain,48,-0.20854033252645934,,,,-0.13872866654444604
sql,causal_specificity,native_target_improvement,48,0.4111084087191747,,,,0.297021632216955
sql,causal_relative_specificity,native_target_improvement,48,0.4007383999942193,,,,0.27923590573689777
sql,precise_target_gradient,native_target_improvement,48,0.3291036816148384,,,,0.2174514274769434
sql,global_target_gradient,native_target_improvement,48,0.3103008622887594,,,,0.20492336169637876
sql,renorm_causal_specificity,native_target_improvement,48,0.3025137198164964,,,,0.22933414874508962
sql,target_control_gradient_cosine,native_target_improvement,48,0.19226810750952494,,,,0.128311563972356
sql,causal_target_damage,native_target_improvement,48,0.18769172859775318,,,,0.1351715212484346
sql,causal_relative_target_damage,native_target_improvement,48,0.18769172859775318,,,,0.1351715212484346
sql,precise_control_gradient,native_target_improvement,48,0.13368478480391385,,,,0.09932966440304822
sql,routing_mass,native_target_improvement,48,0.0734864460387621,,,,0.023818513895936838
sql,routing_rate,native_target_improvement,48,0.0694996865443875,,,,0.027534804190483632
sql,renorm_causal_target_damage,native_target_improvement,48,0.02204245697155376,,,,0.026666761481987166
sql,precise_gradient_specific,native_target_improvement,48,0.020859363037852966,,,,-0.007142868531368344
sql,global_gradient_specific,native_target_improvement,48,-0.02271554473497398,,,,-0.03847905918316282
sql,precise_target_gradient,relative_specific_gain,48,0.1744966845550274,,,,0.1243857959641775
sql,global_target_gradient,relative_specific_gain,48,0.1698231514277361,,,,0.11185773018361286
sql,routing_mass,relative_specific_gain,48,0.16973563336726732,,,,0.11359598934985261
sql,causal_specificity,relative_specific_gain,48,0.16070798861711003,,,,0.12094294006438885
sql,renorm_causal_specificity,relative_specific_gain,48,0.15375428114147843,,,,0.11733375052074353
sql,routing_rate,relative_specific_gain,48,0.1435414785873452,,,,0.1027966023111389
sql,causal_relative_specificity,relative_specific_gain,48,0.14067378327936894,,,,0.1067143588803431
sql,precise_control_gradient,relative_specific_gain,48,0.13759751021280892,,,,0.09753994072011042
sql,causal_target_damage,relative_specific_gain,48,0.11613323907162107,,,,0.09070720504829163
sql,causal_relative_target_damage,relative_specific_gain,48,0.11613323907162107,,,,0.09070720504829163
sql,target_control_gradient_cosine,relative_specific_gain,48,0.05915941769523844,,,,0.056528870840968026
sql,global_gradient_specific,relative_specific_gain,48,0.02592180583392964,,,,0.01521265130497135
sql,precise_gradient_specific,relative_specific_gain,48,0.014232169572701764,,,,0.005357151398526258
sql,renorm_causal_target_damage,relative_specific_gain,48,-0.009121016677884314,,,,-0.021333409185589732
sql,renorm_causal_specificity,relative_target_improvement,48,0.357565570479441,,,,0.24533420563428193
sql,precise_target_gradient,relative_target_improvement,48,0.3554058913079661,,,,0.26577396691626415
sql,global_target_gradient,relative_target_improvement,48,0.3500802372791923,,,,0.2568253485015751
sql,causal_specificity,relative_target_improvement,48,0.3244563986404897,,,,0.2418858801287777
sql,causal_relative_specificity,relative_target_improvement,48,0.2577300074207505,,,,0.18852870068860614
sql,precise_control_gradient,relative_target_improvement,48,0.25644654450799576,,,,0.17628778276937387
sql,routing_mass,relative_target_improvement,48,0.23616344088108504,,,,0.1685617906481684
sql,target_control_gradient_cosine,relative_target_improvement,48,0.2234790503009467,,,,0.15881920855319587
sql,routing_rate,relative_target_improvement,48,0.22207065196623973,,,,0.1633731715302029
sql,causal_target_damage,relative_target_improvement,48,0.11721910385957451,,,,0.0978214956403145
