example_id,topic,source_capability
sql-selection-control-011-src-algorithms,control_from_algorithms:top_k,algorithms
sql-selection-control-047-src-frontend,control_from_frontend:frontend_original,frontend
sql-selection-control-023-src-python,control_from_python:dicts,python
sql-selection-control-043-src-systems,control_from_systems:signals,systems
sql-selection-control-038-src-algorithms,control_from_algorithms:top_k,algorithms
sql-selection-control-006-src-frontend,control_from_frontend:frontend_original,frontend
sql-selection-control-028-src-python,control_from_python:pathlib,python
sql-selection-control-030-src-systems,control_from_systems:grep,systems
sql-selection-control-037-src-algorithms,control_from_algorithms:union_find,algorithms
sql-selection-control-036-src-frontend,control_from_frontend:frontend_original,frontend
sql-selection-control-010-src-python,control_from_python:sorting,python
sql-selection-control-008-src-systems,control_from_systems:journald,systems
sql-selection-control-045-src-algorithms,control_from_algorithms:top_k,algorithms
sql-selection-control-012-src-frontend,control_from_frontend:frontend_original,frontend
sql-selection-control-039-src-python,control_from_python:collections,python
sql-selection-control-013-src-systems,control_from_systems:permissions,systems
sql-selection-control-044-src-algorithms,control_from_algorithms:two_sum,algorithms
sql-selection-control-007-src-frontend,control_from_frontend:frontend_original,frontend
sql-selection-control-014-src-python,control_from_python:defaultdict,python
sql-selection-control-000-src-systems,control_from_systems:sockets,systems
sql-selection-control-020-src-algorithms,control_from_algorithms:sliding_window,algorithms
sql-selection-control-027-src-frontend,control_from_frontend:frontend_original,frontend
sql-selection-control-046-src-python,control_from_python:dicts,python
sql-selection-control-017-src-systems,control_from_systems:permissions,systems
sql-selection-control-025-src-algorithms,control_from_algorithms:bfs,algorithms
sql-selection-control-048-src-frontend,control_from_frontend:frontend_original,frontend
sql-selection-control-032-src-python,control_from_python:comprehensions,python
sql-selection-control-033-src-systems,control_from_systems:systemd,systems
sql-selection-control-024-src-algorithms,control_from_algorithms:sliding_window,algorithms
sql-selection-control-022-src-frontend,control_from_frontend:frontend_original,frontend
sql-selection-control-034-src-python,control_from_python:comprehensions,python
sql-selection-control-049-src-systems,control_from_systems:sockets,systems
sql-selection-control-042-src-algorithms,control_from_algorithms:dijkstra,algorithms
sql-selection-control-003-src-frontend,control_from_frontend:frontend_original,frontend
sql-selection-control-001-src-python,control_from_python:defaultdict,python
sql-selection-control-019-src-systems,control_from_systems:signals,systems
sql-selection-control-041-src-algorithms,control_from_algorithms:intervals,algorithms
sql-selection-control-029-src-frontend,control_from_frontend:frontend_original,frontend
sql-selection-control-009-src-python,control_from_python:slicing,python
sql-selection-control-035-src-systems,control_from_systems:storage,systems
sql-selection-control-016-src-algorithms,control_from_algorithms:sliding_window,algorithms
sql-selection-control-002-src-frontend,control_from_frontend:frontend_original,frontend
sql-selection-control-026-src-python,control_from_python:iteration,python
sql-selection-control-021-src-systems,control_from_systems:grep,systems
sql-selection-control-004-src-algorithms,control_from_algorithms:binary_search,algorithms
sql-selection-control-040-src-frontend,control_from_frontend:frontend_original,frontend
sql-selection-control-031-src-python,control_from_python:collections,python
sql-selection-control-005-src-systems,control_from_systems:find,systems
sql-selection-control-015-src-algorithms,control_from_algorithms:topological_sort,algorithms
sql-selection-control-018-src-systems,control_from_systems:dns,systems
