example_id,topic,source_capability
sql-selection-target-040,filter_order_limit,sql
sql-selection-target-011,group_having,sql
sql-selection-target-038,date_filter,sql
sql-selection-target-015,running_total,sql
sql-selection-target-023,anti_join,sql
sql-selection-target-044,window_latest,sql
sql-selection-target-009,cte,sql
sql-selection-target-016,conditional_aggregation,sql
sql-selection-target-007,max_per_group,sql
sql-selection-target-002,joins,sql
sql-selection-target-030,filter_order_limit,sql
sql-selection-target-031,group_having,sql
sql-selection-target-048,date_filter,sql
sql-selection-target-005,running_total,sql
sql-selection-target-043,anti_join,sql
sql-selection-target-014,window_latest,sql
sql-selection-target-039,cte,sql
sql-selection-target-026,conditional_aggregation,sql
sql-selection-target-047,max_per_group,sql
sql-selection-target-022,joins,sql
sql-selection-target-000,filter_order_limit,sql
sql-selection-target-041,group_having,sql
sql-selection-target-028,date_filter,sql
sql-selection-target-025,running_total,sql
sql-selection-target-013,anti_join,sql
sql-selection-target-034,window_latest,sql
sql-selection-target-029,cte,sql
sql-selection-target-036,conditional_aggregation,sql
sql-selection-target-037,max_per_group,sql
sql-selection-target-012,joins,sql
sql-selection-target-020,filter_order_limit,sql
sql-selection-target-001,group_having,sql
sql-selection-target-018,date_filter,sql
sql-selection-target-045,running_total,sql
sql-selection-target-003,anti_join,sql
sql-selection-target-024,window_latest,sql
sql-selection-target-049,cte,sql
sql-selection-target-046,conditional_aggregation,sql
sql-selection-target-027,max_per_group,sql
sql-selection-target-032,joins,sql
sql-selection-target-010,filter_order_limit,sql
sql-selection-target-021,group_having,sql
sql-selection-target-008,date_filter,sql
sql-selection-target-035,running_total,sql
sql-selection-target-033,anti_join,sql
sql-selection-target-004,window_latest,sql
sql-selection-target-019,cte,sql
sql-selection-target-006,conditional_aggregation,sql
sql-selection-target-017,max_per_group,sql
sql-selection-target-042,joins,sql
