layer,expert,panel_group,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,global_grad_ratio_bf16,scan_peak_gpu_gib,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank,global_target_grad_rank,global_grad_specific_rank
1,126,population_random,0.0176219306886196,0.0239485241472721,-0.0003394624218344,0.7358253301755565,64.9209337234497,526,0,0.0,0.0,6269,5370,6428
2,236,population_random,0.0085619650781154,0.0074562211520969,0.0029697992140427,1.148298166365304,64.94063377380371,526,3,0.005703422053231939,0.000536552400190114,5183,6463,4949
3,52,population_random,0.0092917010188102,0.0059845703653991,0.0048032732447609,1.5526095358455996,64.96033382415771,526,12,0.022813688212927757,0.004537488117870723,2067,6357,4695
4,127,population_random,0.018543355166912,0.0143421217799186,0.007786763831973,1.2929296968864743,64.97762298583984,526,16,0.030418250950570342,0.005012773288973384,1898,5283,4333
5,228,population_random,0.0051567247137427,0.0,0.0051567247137427,5156724713.742733,64.99732303619385,526,5,0.009505703422053232,0.0010508258079847909,4345,6966,4638
6,51,population_random,0.0163754187524318,0.0085598463192582,0.0099555340129882,1.9130505548536407,65.01702308654785,526,74,0.14068441064638784,0.014231170538260457,625,5508,4091
7,9,population_random,0.0483009181916713,0.0107048088684678,0.0402723115403205,4.512076654580444,65.03672313690186,526,25,0.04752851711026616,0.006762602483365019,1467,3556,2415
8,115,population_random,0.0240690317004919,0.0235263239592313,0.0064242887310683,1.0230681062276417,65.05401229858398,526,23,0.043726235741444866,0.003605019456986692,2420,4833,4470
9,184,population_random,0.0,0.0057410625740885,-0.0043057969305664,0.0,65.07371234893799,526,1,0.0019011406844106464,0.0001448134505703422,6097,8185,7068
10,73,population_random,0.0178032107651233,0.0084811402484774,0.0114423555787652,2.099152972528695,65.09341239929199,526,15,0.028517110266159697,0.0030011659339353614,2695,5354,3943
11,80,population_random,0.0306696314364671,0.0068910256959497,0.0255013621645048,4.450662758381907,65.113112449646,526,5,0.009505703422053232,0.0007500594106463878,4817,4437,3046
12,67,population_random,0.1935378313064575,0.0814718976616859,0.132433908060193,2.37551642785777,65.13040161132812,526,5,0.009505703422053232,0.001065678469581749,4327,1211,1022
13,64,population_random,0.017621548846364,0.0077976337634027,0.0117733235238119,2.259858487687493,65.15010166168213,526,11,0.02091254752851711,0.0038347715660646386,2324,5371,3918
14,245,population_random,0.0,0.0074265715666115,-0.0055699286749586,0.0,65.16980171203613,526,0,0.0,0.0,7397,8185,7209
15,174,population_random,0.0,0.0,0.0,0.0,65.18950176239014,526,4,0.0076045627376425855,0.000390346512595057,5434,8185,5553
16,213,population_random,0.0,0.0177514813840389,-0.0133136110380291,0.0,65.20679092407227,526,1,0.0019011406844106464,0.0001633792775665399,6007,8185,7893
17,109,population_random,0.0,0.0,0.0,0.0,65.22649097442627,526,0,0.0,0.0,7712,8185,5553
18,76,population_random,0.2794309556484222,0.3755871653556824,-0.0022594183683395,0.7439843035718651,65.24619102478027,526,9,0.017110266159695818,0.0024906056915399238,3005,806,6788
19,188,population_random,0.0176704805344343,0.009539189748466,0.0105160882230848,1.8524089570000928,65.26589107513428,526,26,0.049429657794676805,0.005178009149239543,1851,5365,4032
20,124,population_random,1.417957782745361,0.8507736921310425,0.7798775136470795,1.6666685816200466,65.2831802368164,526,50,0.09505703422053231,0.009205865316064639,1091,115,172
21,105,population_random,0.2317718863487243,0.3234939575195312,-0.010848581790924,0.7164643448835191,65.30288028717041,526,10,0.019011406844106463,0.0016207966967680609,3711,995,7720
22,138,population_random,0.1090200319886207,0.0652062073349952,0.0601153764873743,1.671927205133418,65.32258033752441,526,1,0.0019011406844106464,0.00018194510456273765,5906,2008,1895
23,57,population_random,0.6735427975654602,0.0120743494480848,0.6644870354793966,55.78294718118424,65.34228038787842,526,190,0.3612167300380228,0.04683926078303232,101,296,198
24,83,population_random,0.2524665594100952,0.4571717977523803,-0.09041228890419,0.5522356380047033,65.35956954956055,526,27,0.051330798479087454,0.005788824857414449,1700,915,9353
