method,k,capability,pairs,trainable_params,updates,target_improvement,control_improvement,utility_score,specific_gain,relative_target_improvement,relative_specific_gain,target_token_acc,target_seq_exact,native_target_improvement,native_control_improvement,native_specific_gain,native_relative_target_improvement,native_relative_specific_gain,native_target_token_acc,native_target_seq_exact,mean_train_grad_norm,delta_merge_max_nll_diff
causal,1,systems,"[[36, 229]]",3145728.0,19.0,0.01206505298614502,0.0054378509521484375,0.01206505298614502,0.006627202033996582,0.00696231685300444,0.00452112701913443,0.8387225270271301,0.0,0.014110803604125977,0.0066983699798583984,0.007412433624267578,0.008142847433431173,0.005135778493472477,0.8387225270271301,0.0,0.37728803095064667,0.07256889343261719
causal,2,systems,"[[36, 229], [10, 45]]",6291456.0,19.0,0.07527804374694824,0.09788990020751953,0.07527804374694824,-0.02261185646057129,0.04344030591846119,-0.0005049642494776435,0.8387225270271301,0.0,0.06087017059326172,0.06394314765930176,-0.003072977066040039,0.03512603011801041,0.006420322038633207,0.8384088277816772,0.0,0.5092958431494864,0.5130448341369629
causal,4,systems,"[[36, 229], [10, 45], [38, 60], [33, 234]]",12582912.0,19.0,0.34761202335357666,0.14748167991638184,0.34761202335357666,0.20013034343719482,0.2005946473074602,0.13438636376638635,0.8387225270271301,0.0,0.3540689945220947,0.15530705451965332,0.1987619400024414,0.20432073779687307,0.13459944422741962,0.8387225270271301,0.0,2.169199403963591,0.4263005256652832
causal,8,systems,"[[36, 229], [10, 45], [38, 60], [33, 234], [33, 154], [25, 168], [13, 183], [38, 125]]",25165824.0,19.0,1.065154790878296,0.44743287563323975,1.065154790878296,0.6177219152450562,0.6146632890967431,0.41379927186884424,0.8725656867027283,0.2800000011920929,1.0562167167663574,0.44194936752319336,0.6142673492431641,0.6095054415436147,0.41110311081098483,0.870212733745575,0.23999999463558197,4.555470905805889,0.26213884353637695
routing,1,systems,"[[31, 249]]",3145728.0,19.0,0.28587424755096436,-0.0005588531494140625,0.2854551076889038,0.2864331007003784,0.16496795280134038,0.1652188362181499,0.8644480109214783,0.0,0.28748416900634766,-0.01155233383178711,0.29903650283813477,0.16589698173256018,0.17108311871126666,0.8644480109214783,0.0,2.7668655420604504,0.19417858123779297
routing,2,systems,"[[31, 249], [6, 242]]",6291456.0,19.0,0.33048439025878906,0.01239919662475586,0.33048439025878906,0.3180851936340332,0.1907108939012501,0.1851445786390507,0.8676090240478516,0.0,0.32198262214660645,0.016274213790893555,0.3057084083557129,0.18580482316324687,0.17849891397041395,0.8688924312591553,0.0,2.760664503825338,0.26585865020751953
routing,4,systems,"[[31, 249], [6, 242], [32, 12], [33, 154]]",12582912.0,19.0,0.6494590044021606,0.014518499374389648,0.6494590044021606,0.634940505027771,0.3747799016612042,0.36826217740070283,0.8785180449485779,0.0,0.6720376014709473,0.010997295379638672,0.6610403060913086,0.387809214260969,0.3828722481842815,0.8785180449485779,0.0,3.7956160620639197,0.2876594662666321
routing,8,systems,"[[31, 249], [6, 242], [32, 12], [33, 154], [21, 60], [34, 89], [5, 45], [23, 176]]",25165824.0,19.0,1.175050437450409,-0.010386943817138672,1.167260229587555,1.1854373812675476,0.6780801935296936,0.6827431572398998,0.8998514413833618,0.0,1.17616868019104,-0.0231473445892334,1.1993160247802734,0.6787254920035408,0.6891169247201726,0.8998514413833618,0.0,4.924556405920732,0.23307037353515625
gradient,1,systems,"[[30, 229]]",3145728.0,19.0,0.08140218257904053,0.03710794448852539,0.08140218257904053,0.04429423809051514,0.04697433059699172,0.030315628907970495,0.8387225270271301,0.0,0.08203339576721191,0.0470888614654541,0.03494453430175781,0.04733858148116861,0.026199191874956035,0.8387225270271301,0.0,5.19037726050929,0.18085956573486328
gradient,2,systems,"[[30, 229], [25, 168]]",6291456.0,19.0,0.5734018087387085,0.29273998737335205,0.5734018087387085,0.28066182136535645,0.330889974632454,0.19947153609273677,0.8387225270271301,0.0,0.5834965705871582,0.2941828966140747,0.2893136739730835,0.33671530591158205,0.20464910865235494,0.8387225270271301,0.0,6.286017016360634,0.1622328758239746
gradient,4,systems,"[[30, 229], [25, 168], [24, 153], [23, 28]]",12582912.0,19.0,1.1201283931732178,0.73453688621521,1.1201283931732178,0.3855915069580078,0.6463866174706694,0.3166342952738554,0.8687095046043396,0.20000000298023224,1.1124459505081177,0.7350013256072998,0.37744462490081787,0.6419533505715609,0.3119925296990025,0.874042809009552,0.20000000298023224,6.200082778930664,0.19419407844543457
gradient,8,systems,"[[30, 229], [25, 168], [24, 153], [23, 28], [29, 194], [26, 134], [36, 252], [34, 89]]",25165824.0,19.0,1.4812008738517761,0.8902109861373901,1.4812008738517761,0.590989887714386,0.8547488202949173,0.45511042849615063,0.9522828459739685,0.6399999856948853,1.488189846277237,0.8869333267211914,0.6012565195560455,0.858781909959658,0.4606149429785486,0.94992995262146,0.6000000238418579,6.606442520492955,0.20706892013549805
gradient_specific,1,systems,"[[34, 89]]",3145728.0,19.0,0.41607487201690674,-0.003912925720214844,0.4131401777267456,0.4199877977371216,0.24010214434048371,0.24185875638684792,0.8617813587188721,0.0,0.41564178466796875,-0.00519251823425293,0.4208343029022217,0.23985222489530625,0.24218327862171168,0.8644480109214783,0.0,3.7566776526601693,0.05076026916503906
gradient_specific,2,systems,"[[34, 89], [31, 249]]",6291456.0,19.0,0.583074688911438,-0.011835098266601562,0.5741983652114868,0.5949097871780396,0.3364718528654816,0.3417849300030345,0.8837707042694092,0.0,0.5831780433654785,0.00464177131652832,0.5785362720489502,0.3365314950782448,0.33444768567471905,0.8837707042694092,0.0,4.3430186698311255,0.16949176788330078
gradient_specific,4,systems,"[[34, 89], [31, 249], [32, 227], [32, 12]]",12582912.0,19.0,0.9012707471847534,-0.009196043014526367,0.8943737149238586,0.9104667901992798,0.5200915834725444,0.5242199214715886,0.9025181531906128,0.0,0.9073105454444885,-0.0033502578735351562,0.9106608033180237,0.5235769381792986,0.5250809542940628,0.9025181531906128,0.0,5.341164400703029,0.1446399688720703
gradient_specific,8,systems,"[[34, 89], [31, 249], [32, 227], [32, 12], [30, 229], [25, 168], [24, 153], [31, 38]]",25165824.0,19.0,1.5963251143693924,0.5922495126724243,1.5963251143693924,1.004075601696968,0.9211829620152712,0.6553070668918175,0.9760000705718994,0.8399999737739563,1.5974813848733902,0.576088547706604,1.0213928371667862,0.9218502049710925,0.6632293787576287,0.9700000286102295,0.7599999904632568,7.0804642627113745,0.1933150291442871
