layer,expert,panel_group,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,global_grad_ratio_bf16,scan_peak_gpu_gib,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank,global_target_grad_rank,global_grad_specific_rank,target_delta_nll,control_delta_nll,causal_specificity,target_relative_delta,control_relative_delta,causal_relative_specificity,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,renorm_target_relative_delta,renorm_control_relative_delta,renorm_causal_relative_specificity,ci_2.5,ci_97.5,p_positive,precise_target_grad_l2,precise_control_grad_l2,precise_grad_dot,precise_grad_cosine,precise_grad_specific,precise_grad_ratio,atlas_order_seed,atlas_lr,atlas_updates,trainable_params,mean_train_grad_norm,parameter_delta_l2,relative_parameter_delta,peak_gpu_gib,delta_merge_max_nll_diff,validation_target_nll,validation_control_nll,validation_target_improvement,validation_control_improvement,validation_utility_score,validation_specific_gain,validation_relative_target_improvement,validation_relative_control_improvement,validation_relative_specific_gain,validation_target_token_acc,validation_control_token_acc,validation_target_seq_exact,validation_control_seq_exact,validation_native_target_nll,validation_native_control_nll,validation_native_target_improvement,validation_native_control_improvement,validation_native_utility_score,validation_native_specific_gain,validation_native_relative_target_improvement,validation_native_relative_control_improvement,validation_native_relative_specific_gain,validation_native_target_token_acc,validation_native_control_token_acc,validation_native_target_seq_exact,validation_native_control_seq_exact
1,126,population_random,0.0176219306886196,0.0239485241472721,-0.0003394624218344,0.7358253301755565,64.9209337234497,526,0,0.0,0.0,6269,5370,6428,0.0221855193376541,-0.0076267528347671,0.0221855193376541,0.0123753689723434,-0.0034125733434005,0.0123753689723434,0.0289412923157215,0.0241305325180292,0.0108433929271996,0.0161438263171789,0.0107971523159503,0.0080459620802161,-0.0121474390290677,0.0484993860423564,0.8962,0.0167285579543349,0.0222418471605481,0.0001598435846972,0.4296015634983919,4.7172583923831e-05,0.7521208932347753,101.0,1e-05,7.0,3145728.0,0.0138488256239465,0.1030391306710963,0.0022315092710714,64.6339282989502,0.5639972686767578,1.5404058694839478,2.11501407623291,-0.0174163579940795,-0.0470108985900878,-0.0526745319366455,0.0295945405960083,-0.0114356388292142,-0.0227325079082675,0.0112968690790532,0.8530805110931396,0.7990680932998657,0.0,0.0,1.545051097869873,2.067227363586426,-0.0220615863800048,0.0007758140563964,-0.0220615863800048,-0.0228374004364013,-0.0144857113023865,0.000375151288346,-0.0148608625907325,0.8530805110931396,0.8123651146888733,0.0,0.0
2,236,population_random,0.0085619650781154,0.0074562211520969,0.0029697992140427,1.148298166365304,64.94063377380371,526,3,0.005703422053231939,0.000536552400190114,5183,6463,4949,0.0005989444325678,0.0134922862052917,-0.009520270221401,0.0003340989333694,0.0060370930123521,-0.0041937208258946,0.0152074145153164,0.0288589000701904,-0.0064367605373263,0.0084828920557652,0.0129128497058996,-0.0012017452236594,-0.0508415214978158,0.0237377344556152,0.2766,0.0081677149400723,0.0103584917090041,2.9439640456985217e-05,0.3479648751062305,0.0003988461583192,0.7885042696113821,101.0,1e-05,7.0,3145728.0,0.0056996851095131,0.0902334074385485,0.0020195505485781,64.6339282989502,0.8891506195068359,1.533801555633545,2.1513478755950928,-0.0108120441436767,-0.0833446979522705,-0.0733205676078796,0.0725326538085937,-0.0070992242967581,-0.0403020163862946,0.0332027920895365,0.8530805110931396,0.7990317344665527,0.0,0.0,1.5306237936019895,2.114720344543457,-0.0076342821121215,-0.0467171669006347,-0.0426721572875976,0.0390828847885131,-0.0050126951331748,-0.0225904715262016,0.0175777763930268,0.8530805110931396,0.8132346868515015,0.0,0.0
3,52,population_random,0.0092917010188102,0.0059845703653991,0.0048032732447609,1.5526095358455996,64.96033382415771,526,12,0.022813688212927757,0.004537488117870723,2067,6357,4695,0.0248844288289546,0.0125518562272191,0.0154705366585403,0.0138808555137883,0.0056162997410826,0.0096686307079763,0.0134448539465665,0.0066655348055064,0.0084457028424367,0.0074997130261284,0.0029824785055427,0.0052628541469714,-0.0220541581213474,0.0508757807947695,0.7746,0.0080229429736782,0.0052633491152143,6.029687256159377e-06,0.1427903651630889,0.0040754311372674,1.5243037838707336,101.0,1e-05,7.0,3145728.0,0.0131379031975354,0.0705973225757546,0.0016003764511719,64.6339282989502,0.3016805648803711,1.5447238683700562,2.0811221599578857,-0.0217343568801879,-0.0131189823150634,-0.0315735936164855,-0.0086153745651245,-0.0142708513198664,-0.0063437921454341,-0.0079270591744322,0.8530805110931396,0.8123651146888733,0.0,0.0,1.5318466424942017,2.101425886154175,-0.0088571310043334,-0.0334227085113525,-0.0339241623878479,0.024565577507019,-0.005815621800093,-0.0161618264771956,0.0103462046771026,0.8530805110931396,0.8132346868515015,0.0,0.0
4,127,population_random,0.018543355166912,0.0143421217799186,0.007786763831973,1.2929296968864743,64.97762298583984,526,16,0.030418250950570342,0.005012773288973384,1898,5283,4333,0.0135144451633095,0.017077824100852,0.0007060770876705,0.0075385319048448,0.0076414338516623,0.0018074565160981,0.0027855550870299,0.0147341676056385,-0.0082650706171989,0.0015538185728325,0.0065927700421844,-0.0033907589588057,-0.0370400303788483,0.0335733973067253,0.5046,0.0155793735485728,0.0168073548535635,1.1503174164317898e-06,0.0043930721429443,0.0029738574084001,0.9269378604416576,101.0,1e-05,7.0,3145728.0,0.0179231576621532,0.0785795740757989,0.0017696641955485,64.6339282989502,0.5774612426757812,1.532618761062622,2.075775146484375,-0.0096292495727539,-0.0077719688415527,-0.0154582262039184,-0.0018572807312011,-0.006322597430979,-0.0037581996611878,-0.0025643977697911,0.8530805110931396,0.7999013662338257,0.0,0.0,1.549527287483215,2.131065845489502,-0.0265377759933471,-0.0630626678466796,-0.0738347768783569,0.0365248918533325,-0.0174247923528944,-0.0304944733782085,0.013069681025314,0.8530805110931396,0.8132346868515015,0.0,0.0
5,228,population_random,0.0051567247137427,0.0,0.0051567247137427,5156724713.742733,64.99732303619385,526,5,0.009505703422053232,0.0010508258079847909,4345,6966,4638,-0.0002276349114254,0.0103258332237601,-0.0079720098292455,-0.0001269776910335,0.0046202707720079,-0.0035921807700395,0.0061261560767889,-0.0197250172495841,0.0061261560767889,0.0034172489126163,-0.0088259144517172,0.0034172489126163,-0.0379762610029429,0.021872725630179,0.288,0.0046399058603291,0.0,0.0,0.0,0.0046399058603291,4639905860.329133,101.0,1e-05,7.0,3145728.0,0.0041354213442121,0.0632447852931825,0.0014036191475868,64.63392782211304,0.3693070411682129,1.543124794960022,2.110342502593994,-0.0201352834701538,-0.0423393249511718,-0.0518897771835327,0.022204041481018,-0.0132208943779635,-0.02047352992921,0.0072526355512465,0.8486360907554626,0.7999013662338257,0.0,0.0,1.5711791515350342,2.131025791168213,-0.048189640045166,-0.0630226135253906,-0.0954566001892089,0.0148329734802246,-0.0316414786061293,-0.030475104780654,-0.0011663738254752,0.8530805110931396,0.8123651146888733,0.0,0.0
6,51,population_random,0.0163754187524318,0.0085598463192582,0.0099555340129882,1.9130505548536407,65.01702308654785,526,74,0.14068441064638784,0.014231170538260457,625,5508,4091,0.0169833675026893,0.009842618368566,0.0096014037262648,0.009473541549328,0.0044040573755998,0.0061704985176282,0.0109441401436924,0.0015310388989746,0.0097958609694615,0.0061047825972394,0.0006850599000052,0.0055909876722355,-0.029967693625018,0.0430117240138351,0.6614,0.0151414217391587,0.0083300461630834,1.4390951491805026e-05,0.1140973203771556,0.0088938871168461,1.817687614318858,101.0,1e-05,7.0,3145728.0,0.0169030588918498,0.0797161521778069,0.0017996057497004,64.6339282989502,0.4323935508728027,1.5498416423797607,2.121079206466675,-0.0268521308898925,-0.0530760288238525,-0.0666591525077819,0.0262238979339599,-0.0176311988279055,-0.0256653516772398,0.0080341528493343,0.8530805110931396,0.8132346868515015,0.0,0.0,1.5393295288085938,2.1194264888763428,-0.0163400173187255,-0.0514233112335205,-0.0549075007438659,0.0350832939147949,-0.0107289099468196,-0.0248661664495769,0.0141372565027573,0.8555805087089539,0.7999013662338257,0.0,0.0
7,9,population_random,0.0483009181916713,0.0107048088684678,0.0402723115403205,4.512076654580444,65.03672313690186,526,25,0.04752851711026616,0.006762602483365019,1467,3556,2415,0.0182569250464439,0.03596156463027,-0.0087142484262585,0.0101839483814424,0.0160909209335852,-0.0018842423187465,0.0196365322917699,0.0106754228472709,0.0116299651563167,0.0109535111055771,0.0047766938600729,0.0073709907105224,-0.0468188278023153,0.0271301793847233,0.3478,0.0409012851240649,0.0103098825881861,7.871426169003826e-05,0.1866649391332232,0.0331688731829253,3.967192135336796,101.0,1e-05,7.0,3145728.0,0.0382440585110868,0.0862523226731895,0.0019360139021302,64.6339282989502,0.7381830215454102,1.5393165349960327,2.117248773574829,-0.0163270235061645,-0.0492455959320068,-0.0532612204551696,0.0329185724258422,-0.0107203781660929,-0.0238131142468255,0.0130927360807326,0.8555805087089539,0.8132346868515015,0.0,0.0,1.5579365491867063,2.0831007957458496,-0.0349470376968383,-0.0150976181030273,-0.0462702512741088,-0.019849419593811,-0.0229463416741795,-0.0073005778067691,-0.0156457638674104,0.8530805110931396,0.7990317344665527,0.0,0.0
8,115,population_random,0.0240690317004919,0.0235263239592313,0.0064242887310683,1.0230681062276417,65.05401229858398,526,23,0.043726235741444866,0.003605019456986692,2420,4833,4470,0.0141572607681155,0.0238431505858898,-0.0037251021713018,0.0078971027442099,0.0106685639189954,-0.0001043201950365,0.0105702830478549,0.0144704198464751,-0.0002825318370014,0.0058962402848642,0.0064747567025886,0.0010401727579228,-0.041571880493313,0.0312388022355735,0.4224,0.0224077830626875,0.0246611389215965,-7.547439849986404e-06,-0.0136580167060091,0.0039119288714902,0.9086272589850172,101.0,1e-05,7.0,3145728.0,0.0188909045287541,0.0636385455616583,0.0014631355510883,64.6339282989502,0.5483698844909668,1.5343844890594482,2.1450035572052,-0.01139497756958,-0.0770003795623779,-0.0691452622413635,0.0656054019927978,-0.0074819803311927,-0.0372341688807971,0.0297521885496043,0.8530805110931396,0.7999013662338257,0.0,0.0,1.5419180393218994,2.0810179710388184,-0.0189285278320312,-0.013014793395996,-0.0286896228790283,-0.0059137344360351,-0.0124285345954315,-0.0062934107339384,-0.0061351238614931,0.8530805110931396,0.7999013662338257,0.0,0.0
9,184,population_random,0.0,0.0057410625740885,-0.0043057969305664,0.0,65.07371234893799,526,1,0.0019011406844106464,0.0001448134505703422,6097,8185,7068,0.0044223354198038,0.0063155903480947,-0.0003143573412671,0.0024668357637519,0.0028258966478495,0.0003474132778647,0.0101625826209783,0.0156301446259021,-0.0015600258484482,0.0056688197257153,0.0069936729378063,0.0004235650223605,-0.036885999482125,0.0280227066278457,0.4442,0.0,0.0047585025701934,0.0,0.0,-0.0035688769276451,0.0,101.0,1e-05,7.0,3145728.0,0.0002072653234271,0.0151224008550383,0.0003308501763129,64.63392782211304,0.5159010887145996,1.5323323011398315,2.1230809688568115,-0.0093427896499633,-0.0550777912139892,-0.0506511330604553,0.0457350015640258,-0.0061345068889041,-0.0266333203978771,0.0204988135089729,0.8530805110931396,0.7999013662338257,0.0,0.0,1.5351122617721558,2.1123921871185303,-0.0121227502822875,-0.044389009475708,-0.0454145073890686,0.0322662591934204,-0.0079598383251034,-0.0214646717933499,0.0135048334682465,0.8530805110931396,0.8132346868515015,0.0,0.0
10,73,population_random,0.0178032107651233,0.0084811402484774,0.0114423555787652,2.099152972528695,65.09341239929199,526,15,0.028517110266159697,0.0030011659339353614,2695,5354,3943,0.0217707473784685,0.0026003993116319,0.0198204478947445,0.0121440038212202,0.0011635428032516,0.0112713467187815,0.0038018953055143,0.0170520693063735,-0.0089871566742658,0.0021207462617341,0.0076299099269979,-0.0036016861835142,-0.0133513744473457,0.0433689063601195,0.8744,0.0147497453849759,0.0067759646058693,-6.598397206403206e-07,-0.0066021107171291,0.0096677719305739,2.176774266208968,101.0,1e-05,7.0,3145728.0,0.0152105229997882,0.0571466748408391,0.0013126044151105,64.6339282989502,0.5201678276062012,1.5264357328414917,2.131798505783081,-0.0034462213516235,-0.0637953281402587,-0.0512927174568176,0.0603491067886352,-0.0022628004497892,-0.0308487573084751,0.0285859568586859,0.8486360907554626,0.8123651146888733,0.0,0.0,1.5361939668655396,2.116182565689087,-0.0132044553756713,-0.0481793880462646,-0.0493389964103698,0.0349749326705932,-0.0086700895022934,-0.0232975406262098,0.0146274511239163,0.8530805110931396,0.7990317344665527,0.0,0.0
