selector,order_seed,capability,layer,expert,lr,updates,trainable_params,mean_train_grad_norm,relative_parameter_delta,final_target_improvement,final_control_improvement,final_utility_score,final_specific_gain,final_relative_target_improvement,final_relative_control_improvement,final_relative_specific_gain,final_target_token_acc,final_control_token_acc,final_target_seq_exact,final_control_seq_exact,peak_gpu_gib,delta_merge_max_nll_diff,native_target_improvement,native_control_improvement,native_utility_score,native_specific_gain,native_relative_target_improvement,native_relative_control_improvement,native_relative_specific_gain,native_target_token_acc,native_control_token_acc,native_target_seq_exact,native_control_seq_exact
causal,11,systems,36.0,229.0,1e-05,19.0,3145728.0,0.37728803095064667,0.004705524495361441,0.01206505298614502,0.0054378509521484375,0.01206505298614502,0.006627202033996582,0.00696231685300444,0.0024411898338700107,0.00452112701913443,0.8387225270271301,0.7918581962585449,0.0,0.0,64.54046773910522,0.07256889343261719,0.014110803604125977,0.0066983699798583984,0.014110803604125977,0.007412433624267578,0.008142847433431173,0.0030070689399586963,0.005135778493472477,0.8387225270271301,0.7918581962585449,0.0,0.0
causal,23,systems,36.0,229.0,1e-05,19.0,3145728.0,0.37447166129162435,0.004661304388794229,0.012935638427734375,0.0012068748474121094,0.012935638427734375,0.011728763580322266,0.00746470102810242,0.0005417968668471586,0.0069229041612552614,0.8387225270271301,0.7918581962585449,0.0,0.0,64.54046773910522,0.10006427764892578,0.01495826244354248,0.007689714431762695,0.01495826244354248,0.007268548011779785,0.008631886061497932,0.003452108721142119,0.005179777340355813,0.8387225270271301,0.7918581962585449,0.0,0.0
causal,47,systems,36.0,229.0,1e-05,19.0,3145728.0,0.3726331560235274,0.004775907862714087,0.015029668807983398,0.0044057369232177734,0.015029668807983398,0.010623931884765625,0.008673092157743815,0.001977847550863027,0.006695244606880788,0.8387225270271301,0.7918581962585449,0.0,0.0,64.54046773910522,0.07707977294921875,0.014090657234191895,0.0073146820068359375,0.014090657234191895,0.006775975227355957,0.00813122167338851,0.0032837471108002423,0.0048474745625882686,0.8387225270271301,0.7918581962585449,0.0,0.0
routing,11,systems,31.0,249.0,1e-05,19.0,3145728.0,2.7668655420604504,0.004601587316173263,0.28587424755096436,-0.0005588531494140625,0.2854551076889038,0.2864331007003784,0.16496795280134038,-0.00025088341680951,0.1652188362181499,0.8644480109214783,0.7918581962585449,0.0,0.0,64.54046773910522,0.19417858123779297,0.28748416900634766,-0.01155233383178711,0.2788199186325073,0.29903650283813477,0.16589698173256018,-0.005186136978706484,0.17108311871126666,0.8644480109214783,0.7918581962585449,0.0,0.0
routing,23,systems,31.0,249.0,1e-05,19.0,3145728.0,2.6681443672431144,0.004591620504215545,0.2847731113433838,-0.005561351776123047,0.2806020975112915,0.29033446311950684,0.16433252590480746,-0.0024966325002127266,0.1668291584050202,0.8668010234832764,0.7918581962585449,0.0,0.0,64.54046773910522,0.08273172378540039,0.2824132442474365,-0.011992216110229492,0.2734190821647644,0.294405460357666,0.16297072977578655,-0.0053836113404870075,0.16835434111627356,0.8644480109214783,0.7936763167381287,0.0,0.0
routing,47,systems,31.0,249.0,1e-05,19.0,3145728.0,2.7478358055415906,0.004650073878937421,0.2799793481826782,-0.007133960723876953,0.2746288776397705,0.2871133089065552,0.16156621413796984,-0.003202616722599897,0.16476883086056973,0.8644480109214783,0.7936763167381287,0.0,0.0,64.54046773910522,0.08324718475341797,0.27716517448425293,-0.009976387023925781,0.2696828842163086,0.2871415615081787,0.15994225368041295,-0.004478654305877619,0.16442090798629058,0.8668010234832764,0.7918581962585449,0.0,0.0
gradient,11,systems,30.0,229.0,1e-05,19.0,3145728.0,5.19037726050929,0.005225039326807119,0.08140218257904053,0.03710794448852539,0.08140218257904053,0.04429423809051514,0.04697433059699172,0.016658701689021227,0.030315628907970495,0.8387225270271301,0.7936763167381287,0.0,0.0,64.54046773910522,0.18085956573486328,0.08203339576721191,0.0470888614654541,0.08203339576721191,0.03494453430175781,0.04733858148116861,0.021139389606212575,0.026199191874956035,0.8387225270271301,0.7936763167381287,0.0,0.0
gradient,23,systems,30.0,229.0,1e-05,19.0,3145728.0,5.179951843462493,0.0052048867924535435,0.08374440670013428,0.041075944900512695,0.08374440670013428,0.04266846179962158,0.04832594558704035,0.018440038167673395,0.029885907419366954,0.8387225270271301,0.7936763167381287,0.0,0.0,64.54046773910522,0.08137929439544678,0.08354377746582031,0.03921055793762207,0.08354377746582031,0.04433321952819824,0.04821016952697053,0.017602618435114688,0.03060755109185584,0.8387225270271301,0.7936763167381287,0.0,0.0
gradient,47,systems,30.0,229.0,1e-05,19.0,3145728.0,5.159269558755975,0.005280104281066031,0.08691775798797607,0.037077903747558594,0.08691775798797607,0.04983985424041748,0.05015717477245842,0.016645215635045972,0.03351195913741245,0.8387225270271301,0.7936763167381287,0.0,0.0,64.54046773910522,0.09828042984008789,0.08617401123046875,0.0458371639251709,0.08617401123046875,0.04033684730529785,0.04972798473159353,0.02057747069057694,0.029150514041016592,0.8387225270271301,0.7936763167381287,0.0,0.0
gradient_specific,11,systems,34.0,89.0,1e-05,19.0,3145728.0,3.7566776526601693,0.00476233653479416,0.41607487201690674,-0.003912925720214844,0.4131401777267456,0.4199877977371216,0.24010214434048371,-0.0017566120463641973,0.24185875638684792,0.8617813587188721,0.7918581962585449,0.0,0.0,64.54046773910522,0.05076026916503906,0.41564178466796875,-0.00519251823425293,0.41174739599227905,0.4208343029022217,0.23985222489530625,-0.0023310537264054263,0.24218327862171168,0.8644480109214783,0.7936763167381287,0.0,0.0
gradient_specific,23,systems,34.0,89.0,1e-05,19.0,3145728.0,3.607421787161576,0.004804597583042644,0.421636700630188,-0.0018007755279541016,0.4202861189842224,0.4234374761581421,0.24331167961001285,-0.0008084140132944664,0.2441200936233073,0.8644480109214783,0.7936763167381287,0.0,0.0,64.54046773910522,0.06328320503234863,0.42356252670288086,-0.003354310989379883,0.42104679346084595,0.42691683769226074,0.24442300596201996,-0.0015058356617290941,0.24592884162374906,0.8644480109214783,0.7918581962585449,0.0,0.0
gradient_specific,47,systems,34.0,89.0,1e-05,19.0,3145728.0,3.731214975055895,0.004850809695937034,0.4111487865447998,-0.003980398178100586,0.40816348791122437,0.4151291847229004,0.23725947403135406,-0.0017869021517213182,0.23904637618307537,0.8644480109214783,0.7936763167381287,0.0,0.0,64.54046773910522,0.04163646697998047,0.41354072093963623,-0.0029859542846679688,0.41130125522613525,0.4165266752243042,0.23863977506837186,-0.0013404709522706073,0.23998024602064247,0.8644480109214783,0.7918581962585449,0.0,0.0
