layer,expert,target_delta_nll,control_delta_nll,causal_specificity
9,14,0.009271613322198391,0.014937224797904491,-0.0019313052762299776
9,34,0.023920021951198578,0.015498405322432518,0.01229621795937419
9,51,0.012535170651972294,0.01720147766172886,-0.00036593759432435036
9,56,0.01377914473414421,0.022722771391272545,-0.003262933809310198
9,60,0.013926907442510128,0.01277989149093628,0.0043419888243079185
9,71,0.0004651582275982946,0.03005753830075264,-0.022077995497966185
9,72,0.004108680412173271,0.013046300038695335,-0.00567604461684823
9,74,0.006445277947932482,0.013885092921555042,-0.0039685417432338
9,92,-0.005300829187035561,0.006270223762840033,-0.010003497009165585
9,101,-0.00985028874129057,0.011540941894054413,-0.01850599516183138
9,118,0.025190303102135658,-0.008722564205527306,0.025190303102135658
9,123,0.04671816900372505,0.008250797167420387,0.04053007112815976
9,127,0.004503920208662748,0.01830717734992504,-0.009226462803781033
9,130,-0.00568093778565526,0.018658729270100594,-0.019674984738230705
9,132,0.0034933460410684347,-0.002136428374797106,0.0034933460410684347
9,133,0.021397840231657028,0.018155941739678383,0.007780883926898241
9,154,0.012667658738791943,0.00788738764822483,0.00675211800262332
9,155,-0.0035093820188194513,0.013969101011753082,-0.013986207777634263
9,179,0.0012377107050269842,0.012341669760644436,-0.008018541615456343
9,188,0.0029754936695098877,-0.0042425780557096004,0.0029754936695098877
9,189,0.028150217607617378,0.024975739419460297,0.009418413043022156
9,211,0.022805534303188324,0.00888252817094326,0.01614363817498088
9,214,-0.0045578693971037865,0.03654882684350014,-0.03196948952972889
9,219,0.0007891487912274897,0.013204612769186497,-0.009114310785662383
9,222,0.03711709380149841,-0.012886869721114635,0.03711709380149841
9,225,0.00918004009872675,0.00899092573672533,0.0024368457961827517
9,227,0.0051251864060759544,-0.0038972627371549606,0.0051251864060759544
9,230,0.0003348863101564348,0.03002016618847847,-0.022180238331202418
9,244,0.02904142625629902,0.022771364077925682,0.011962903197854757
10,1,-0.007340654265135527,0.01817530021071434,-0.020972129423171282
10,16,0.002539964858442545,-0.0040861498564481735,0.002539964858442545
10,31,0.01884603500366211,0.026212451979517937,-0.0008133039809763432
10,38,0.009477700106799603,0.038100458681583405,-0.01909764390438795
10,45,0.034923166036605835,-0.020859045907855034,0.034923166036605835
10,49,-0.005188398528844118,0.03176196292042732,-0.02900987071916461
10,66,0.09267625212669373,0.026781924068927765,0.0725898090749979
10,69,0.01842397265136242,0.00665851216763258,0.013430088525637984
10,79,0.022057240828871727,0.027133291587233543,0.0017072721384465694
10,92,0.008740025572478771,0.01743387244641781,-0.004335378762334585
10,99,0.0035160910338163376,0.024509726092219353,-0.014866203535348177
10,100,0.016070852056145668,-0.016782443970441818,0.016070852056145668
10,102,0.0035626054741442204,0.0012847412144765258,0.002599049563286826
10,117,0.013525825925171375,-0.002708415500819683,0.013525825925171375
10,133,0.003717670449987054,0.019104816019535065,-0.010610941564664245
10,150,0.017633650451898575,0.0059914859011769295,0.013140036026015878
10,156,0.01168997772037983,0.009846951812505722,0.004304763861000538
10,171,0.009214981459081173,0.025596892461180687,-0.009982687886804342
10,173,0.005348109174519777,0.02519841678440571,-0.013550703413784504
10,176,0.013381537981331348,0.01355292834341526,0.003216841723769903
10,198,0.007811767980456352,0.02851453796029091,-0.01357413548976183
10,223,0.0,0.0,0.0
10,233,0.013381251133978367,0.015231592580676079,0.0019575566984713078
10,251,0.0035538601223379374,0.023678947240114212,-0.014205350307747722
10,255,0.020082267001271248,0.022385725751519203,0.0032929726876318455
13,3,0.023658975958824158,0.029751040041446686,0.0013456959277391434
13,6,0.01878071017563343,0.004964943043887615,0.015057002892717719
13,29,-0.0041407025419175625,0.005669381003826857,-0.008392738294787705
13,31,0.011914122849702835,0.015161680057644844,0.000542862806469202
13,36,0.015520844608545303,0.0075862957164645195,0.009831122821196914
13,49,0.009419631212949753,0.011489513330161572,0.0008024962153285742
13,50,0.007922491058707237,0.02963544800877571,-0.014304094947874546
13,57,0.009790610522031784,-0.01111057959496975,0.009790610522031784
13,69,0.011440444737672806,-0.013977216556668282,0.011440444737672806
13,73,0.036886993795633316,0.027538547292351723,0.016233083326369524
13,75,-0.002449878491461277,0.018558569252490997,-0.016368805430829525
13,82,0.014362489804625511,0.027463573962450027,-0.006235190667212009
13,104,0.023482613265514374,-0.00972041580826044,0.023482613265514374
13,117,-0.0021442496217787266,0.030930381268262863,-0.025342035572975874
13,122,0.0244827251881361,0.030513688921928406,0.0015974584966897964
13,126,0.0,0.0,0.0
13,130,0.021060895174741745,0.024142935872077942,0.0029536932706832886
13,134,0.015820909291505814,0.006048376671969891,0.011284626787528396
13,135,-0.00993545725941658,0.000840180495288223,-0.010565592630882747
13,139,0.013890848495066166,0.008332282304763794,0.0076416367664933205
13,153,0.02233210578560829,0.012037995271384716,0.013303609332069755
13,161,0.011459490284323692,-0.026052456349134445,0.011459490284323692
13,183,0.02823684737086296,0.010412255302071571,0.020427655894309282
13,187,0.014291292056441307,0.005765859968960285,0.009966897079721093
13,194,0.006673245225101709,0.008262191899120808,0.00047660130076110363
13,225,0.011206597089767456,0.023813385516405106,-0.006653442047536373
13,226,0.012749365530908108,0.03040873259305954,-0.010057183913886547
13,229,0.004917053040117025,0.02023777738213539,-0.010261279996484518
13,233,0.0034343921579420567,0.005733485799282789,-0.0008657221915200353
13,246,0.014806825667619705,0.01347610354423523,0.004699748009443283
25,9,0.006793931592255831,0.0021408018656075,0.005188330193050206
25,29,-0.004242254421114922,0.004300781991332769,-0.007467840914614499
25,51,0.008006823249161243,-0.004773165099322796,0.008006823249161243
25,57,0.002227004850283265,-0.010111477226018906,0.002227004850283265
25,58,0.004227401223033667,-0.009654453955590725,0.004227401223033667
25,62,-0.00110984209459275,-0.016494758427143097,-0.00110984209459275
25,63,0.018705204129219055,0.0007903346559032798,0.018112453137291595
25,96,0.0016886842204257846,-0.0037239897064864635,0.0016886842204257846
25,97,0.0015265070833265781,-0.002237487817183137,0.0015265070833265781
25,101,0.00574120506644249,-0.006912522483617067,0.00574120506644249
25,111,0.002443369710817933,0.010856347158551216,-0.005698890658095479
25,112,-0.0007073533488437533,-0.0030303446110337973,-0.0007073533488437533
25,120,-0.0003363144351169467,-0.0014264205237850547,-0.0003363144351169467
25,126,0.0024407850578427315,-0.00028224647394381464,0.0024407850578427315
25,134,0.006144655868411064,0.004177402704954147,0.0030116038396954536
25,156,0.0268078800290823,0.01546430867165327,0.015209648525342345
25,168,0.1600451022386551,0.09092985838651657,0.09184770844876766
25,177,-0.0024013626389205456,0.004389848560094833,-0.005693749058991671
25,193,-0.002242748625576496,0.008190831169486046,-0.00838587200269103
25,196,0.017497418448328972,0.0036504175513982773,0.014759605284780264
25,205,-0.0004266106989234686,0.00106502091512084,-0.0012253763852640986
25,215,-0.0008614146499894559,0.0031190284062176943,-0.0032006859546527267
25,216,-0.005419958848506212,0.004584883339703083,-0.008858621353283525
25,225,0.013623776845633984,-0.0030794013291597366,0.013623776845633984
25,227,0.00859080906957388,0.009997577406466007,0.0010926260147243738
25,245,0.006965300068259239,0.0037954312283545732,0.004118726646993309
25,248,0.007121540140360594,0.0017973646754398942,0.005773516633780673
33,8,0.013967747800052166,0.006182109005749226,0.009331166045740247
33,9,0.0033612167462706566,-0.0002452158951200545,0.0033612167462706566
33,14,0.034169040620326996,0.002625785768032074,0.03219970129430294
33,31,0.003499239683151245,-3.879129872075282e-05,0.003499239683151245
33,36,0.0017848003190010786,0.0023474842309951782,2.418714575469494e-05
33,37,-0.003305144375190139,0.004525040742009878,-0.0066989249316975474
33,49,0.02366637997329235,0.006830382160842419,0.018543593352660537
33,59,0.0008335518650710583,0.0053715575486421585,-0.0031951162964105606
33,88,0.0033376323990523815,0.003823169507086277,0.00047025526873767376
33,95,0.0008082938147708774,0.0008957668906077743,0.00013646864681504667
33,119,0.005183251108974218,0.0015411075437441468,0.004027420451166108
33,125,0.000655133742839098,0.0014618184650316834,-0.0004412301059346646
33,150,0.0014840805670246482,0.0015211981954053044,0.00034318192047066987
33,154,0.04466370493173599,0.006464758887887001,0.03981513576582074
33,186,-0.001528013963252306,0.000889104325324297,-0.0021948422072455287
33,189,0.002225047443062067,0.007238251157104969,-0.0032036409247666597
33,191,-9.829401824390516e-05,0.0012590852566063404,-0.0010426079606986605
33,205,0.0024348855949938297,0.0005398836801759899,0.0020299728348618373
33,206,-0.007783855311572552,0.003227668348699808,-0.010204606573097408
33,207,0.006094819400459528,0.007942268624901772,0.0001381179317831993
33,234,0.03796536847949028,-0.018919426947832108,0.03796536847949028
36,2,0.0164682287722826,0.0029849663842469454,0.014229503984097391
36,35,0.0008771669818088412,0.000137194394483231,0.000774271185946418
36,37,0.0015478122513741255,0.00405406067147851,-0.001492733252234757
36,38,0.0009676849585957825,0.0003772184136323631,0.0006847711483715102
36,42,-0.0005012237816117704,-0.001063559320755303,-0.0005012237816117704
36,59,0.00037857890129089355,0.0014791801804676652,-0.0007308062340598553
36,62,0.03580820560455322,-0.0018788597080856562,0.03580820560455322
