layer,target_delta_nll,control_delta_nll,causal_specificity
1,-0.07266005873680115,-0.039582155644893646,-0.07266005873680115
2,-0.13396762311458588,-0.048566509038209915,-0.13396762311458588
3,-0.06021233648061752,-0.04909713193774223,-0.06021233648061752
4,-0.13228347897529602,-0.08487926423549652,-0.13228347897529602
5,-0.0376422256231308,-0.025433138012886047,-0.0376422256231308
6,-0.08030934631824493,-0.046068690717220306,-0.08030934631824493
7,-0.05287454277276993,-0.026145601645112038,-0.05287454277276993
8,0.018108133226633072,0.006295759696513414,0.013386313454248011
9,0.09410721063613892,0.029953904449939728,0.07164178229868412
10,0.0355195552110672,0.026671137660741806,0.015516201965510845
11,-0.0913524180650711,-0.05723140388727188,-0.0913524180650711
12,-0.10303275287151337,0.03666948899626732,-0.13053486961871386
13,0.0678962767124176,0.022707533091306686,0.05086562689393759
14,-0.07595653831958771,-0.04007682204246521,-0.07595653831958771
15,-0.20530818402767181,-0.09004825353622437,-0.20530818402767181
16,0.021390454843640327,0.07868047058582306,-0.03761989809572697
17,-0.10363729298114777,0.005978222005069256,-0.10812095948494971
18,-0.029827440157532692,0.0234359223395586,-0.04740438191220164
19,-0.24233150482177734,-0.05551100894808769,-0.24233150482177734
20,-0.09167150408029556,-0.05219186469912529,-0.09167150408029556
21,-0.0750056803226471,-0.008608120493590832,-0.0750056803226471
22,-0.26194435358047485,-0.08021924644708633,-0.26194435358047485
23,-0.1412527859210968,0.06831809878349304,-0.19249136000871658
24,-0.005258010700345039,0.07482942938804626,-0.06138008274137974
25,0.2757290005683899,0.22400730848312378,0.10772351920604706
26,-0.2551133334636688,-0.041601233184337616,-0.2551133334636688
27,-0.08745894581079483,0.09932386130094528,-0.1619518417865038
28,-0.0540279783308506,-0.023227471858263016,-0.0540279783308506
29,0.06377031654119492,0.08996875584125519,-0.0037062503397464752
30,-0.08441001921892166,-0.09790363162755966,-0.08441001921892166
31,-0.0331127792596817,-0.07010439038276672,-0.0331127792596817
32,-0.0972449779510498,0.06739448755979538,-0.14779084362089634
33,0.09467651695013046,0.047625474631786346,0.0589574109762907
34,0.008555893786251545,0.020627403631806374,-0.006914658937603235
35,-0.17153972387313843,-0.09999337792396545,-0.17153972387313843
36,0.5848644375801086,0.5821242332458496,0.14827126264572144
37,-0.09895692020654678,-0.05834009125828743,-0.09895692020654678
38,0.46149173378944397,0.45500969886779785,0.12023445963859558
39,0.05116254836320877,-0.14945176243782043,0.05116254836320877
