layer,expert,target_delta_nll,control_delta_nll,causal_specificity,target_relative_delta,control_relative_delta,causal_relative_specificity,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,renorm_target_relative_delta,renorm_control_relative_delta,renorm_causal_relative_specificity,ci_2.5,ci_97.5,p_positive
1,126,0.022185519337654114,-0.007626752834767103,0.022185519337654114,0.012375368972343448,-0.0034125733434005336,0.012375368972343448,0.028941292315721512,0.024130532518029213,0.010843392927199602,0.0161438263171789,0.010797152315950314,0.008045962080216166,-0.012147439029067755,0.04849938604235644,0.8962
2,236,0.000598944432567805,0.013492286205291748,-0.009520270221401006,0.00033409893336944647,0.0060370930123521405,-0.004193720825894659,0.015207414515316486,0.02885890007019043,-0.006436760537326336,0.008482892055765278,0.012912849705899641,-0.0012017452236594527,-0.050841521497815845,0.02373773445561527,0.2766
3,52,0.024884428828954697,0.012551856227219105,0.015470536658540368,0.013880855513788377,0.005616299741082658,0.009668630707976383,0.013444853946566582,0.006665534805506468,0.00844570284243673,0.007499713026128462,0.002982478505542712,0.005262854146971428,-0.022054158121347426,0.05087578079476952,0.7746
4,127,0.013514445163309574,0.017077824100852013,0.0007060770876705647,0.007538531904844867,0.007641433851662302,0.0018074565160981406,0.002785555087029934,0.014734167605638504,-0.008265070617198944,0.001553818572832597,0.006592770042184415,-0.0033907589588057147,-0.037040030378848315,0.033573397306725365,0.5046
5,228,-0.0002276349114254117,0.010325833223760128,-0.007972009829245508,-0.0001269776910335814,0.004620270772007974,-0.003592180770039562,0.006126156076788902,-0.019725017249584198,0.006126156076788902,0.0034172489126163105,-0.008825914451717284,0.0034172489126163105,-0.037976261002942914,0.021872725630179037,0.288
6,51,0.01698336750268936,0.009842618368566036,0.009601403726264834,0.009473541549328087,0.004404057375599821,0.0061704985176282215,0.010944140143692493,0.001531038898974657,0.0097958609694615,0.006104782597239465,0.000685059900005238,0.005590987672235537,-0.029967693625018,0.043011724013835184,0.6614
7,9,0.01825692504644394,0.035961564630270004,-0.008714248426258564,0.010183948381442428,0.016090920933585284,-0.0018842423187465339,0.01963653229176998,0.010675422847270966,0.011629965156316757,0.010953511105577126,0.004776693860072941,0.00737099071052242,-0.04681882780231535,0.0271301793847233,0.3478
8,115,0.01415726076811552,0.023843150585889816,-0.0037251021713018417,0.007897102744209985,0.010668563918995426,-0.00010432019503658387,0.0105702830478549,0.014470419846475124,-0.0002825318370014429,0.005896240284864271,0.006474756702588618,0.0010401727579228068,-0.04157188049331307,0.03123880223557351,0.4224
9,184,0.004422335419803858,0.006315590348094702,-0.0003143573412671685,0.0024668357637519706,0.002825896647849585,0.00034741327786478194,0.010162582620978355,0.015630144625902176,-0.0015600258484482765,0.005668819725715319,0.006993672937806391,0.00042356502236052564,-0.03688599948212504,0.028022706627845735,0.4442
10,73,0.021770747378468513,0.002600399311631918,0.019820447894744575,0.012144003821220224,0.0011635428032516233,0.011271346718781506,0.0038018953055143356,0.017052069306373596,-0.008987156674265862,0.002120746261734135,0.007629909926997908,-0.0036016861835142964,-0.013351374447345734,0.04336890636011953,0.8744
11,80,0.009152505546808243,0.031027579680085182,-0.014118179213255644,0.005105385699532995,0.013883220502940044,-0.005307029677672037,0.02969142235815525,-0.00029582620481960475,0.02969142235815525,0.016562258534656968,-0.00013236676770810252,0.016562258534656968,-0.05306472464278341,0.02177056249603629,0.2212
