capability,predictor,outcome,n,spearman_rho,spearman_p,spearman_ci_low,spearman_ci_high,kendall_tau
systems,global_gradient_specific,native_relative_specific_gain,48,0.3340214148952029,,,,0.21696463164031346
systems,precise_gradient_specific,native_relative_specific_gain,48,0.3272855789142295,,,,0.20446461171041885
systems,target_control_gradient_cosine,native_relative_specific_gain,48,0.1889513385944936,,,,0.16109712182621555
systems,precise_target_gradient,native_relative_specific_gain,48,0.16356436742305142,,,,0.09197778090844773
systems,global_target_gradient,native_relative_specific_gain,48,0.15899218543851354,,,,0.09017429500828208
systems,routing_mass,native_relative_specific_gain,48,0.10445960089873298,,,,0.06665029828160784
systems,causal_target_damage,native_relative_specific_gain,48,0.08765309228592373,,,,0.030289775693740497
systems,causal_relative_target_damage,native_relative_specific_gain,48,0.08765309228592373,,,,0.030289775693740497
systems,routing_rate,native_relative_specific_gain,48,0.06726042155836638,,,,0.046148166728961076
systems,renorm_causal_target_damage,native_relative_specific_gain,48,0.04789964522688025,,,,0.012472260579775499
systems,causal_relative_specificity,native_relative_specific_gain,48,-0.0439882762812256,,,,-0.0302763463977163
systems,causal_specificity,native_relative_specific_gain,48,-0.05256870548176096,,,,-0.037400192608943665
systems,precise_control_gradient,native_relative_specific_gain,48,-0.05846555096718105,,,,-0.03309481216457961
systems,renorm_causal_specificity,native_relative_specific_gain,48,-0.26697082246729015,,,,-0.19946769391436622
systems,precise_control_gradient,native_relative_target_improvement,48,0.29254509889154534,,,,0.21198568872987478
systems,precise_target_gradient,native_relative_target_improvement,48,0.2521231780045172,,,,0.16952767461557033
systems,global_target_gradient,native_relative_target_improvement,48,0.2520143165286949,,,,0.16051024511474213
systems,target_control_gradient_cosine,native_relative_target_improvement,48,0.0672335501227235,,,,0.06878304077973249
systems,routing_rate,native_relative_target_improvement,48,-0.04019220312634089,,,,-0.027688900037376646
systems,global_gradient_specific,native_relative_target_improvement,48,-0.0596990624442719,,,,-0.047321504020315285
systems,precise_gradient_specific,native_relative_target_improvement,48,-0.0661089708777788,,,,-0.04910722115315737
systems,causal_specificity,native_relative_target_improvement,48,-0.08613013108891826,,,,-0.08370519298192153
systems,routing_mass,native_relative_target_improvement,48,-0.0905826455492151,,,,-0.0629982271428896
systems,causal_relative_specificity,native_relative_target_improvement,48,-0.15748889038957312,,,,-0.12644827024928573
systems,renorm_causal_specificity,native_relative_target_improvement,48,-0.27120673055363037,,,,-0.19234384770313884
systems,causal_target_damage,native_relative_target_improvement,48,-0.3973172386392924,,,,-0.30111600542600847
systems,causal_relative_target_damage,native_relative_target_improvement,48,-0.3973172386392924,,,,-0.30111600542600847
systems,renorm_causal_target_damage,native_relative_target_improvement,48,-0.43011926326178185,,,,-0.29755250240321546
systems,global_gradient_specific,native_specific_gain,48,0.3468955530201277,,,,0.22767893443736598
systems,precise_gradient_specific,native_specific_gain,48,0.33994243200751006,,,,0.21875034877315555
