example_id,topic,source_capability
systems-selection-control-045-src-sql,control_from_sql:date_filter,sql
systems-selection-control-037-src-python,control_from_python:iteration,python
systems-selection-control-002-src-algorithms,control_from_algorithms:bfs,algorithms
systems-selection-control-017-src-frontend,control_from_frontend:frontend_original,frontend
systems-selection-control-040-src-sql,control_from_sql:window_latest,sql
systems-selection-control-044-src-python,control_from_python:generators,python
systems-selection-control-036-src-algorithms,control_from_algorithms:prefix_sum,algorithms
systems-selection-control-041-src-frontend,control_from_frontend:frontend_original,frontend
systems-selection-control-033-src-sql,control_from_sql:joins,sql
systems-selection-control-001-src-python,control_from_python:collections,python
systems-selection-control-027-src-algorithms,control_from_algorithms:sliding_window,algorithms
systems-selection-control-014-src-frontend,control_from_frontend:frontend_original,frontend
systems-selection-control-030-src-sql,control_from_sql:joins,sql
systems-selection-control-006-src-python,control_from_python:pathlib,python
systems-selection-control-031-src-algorithms,control_from_algorithms:sliding_window,algorithms
systems-selection-control-025-src-frontend,control_from_frontend:frontend_original,frontend
systems-selection-control-029-src-sql,control_from_sql:running_total,sql
systems-selection-control-008-src-python,control_from_python:pathlib,python
systems-selection-control-000-src-algorithms,control_from_algorithms:bfs,algorithms
systems-selection-control-024-src-frontend,control_from_frontend:frontend_original,frontend
systems-selection-control-011-src-sql,control_from_sql:max_per_group,sql
systems-selection-control-003-src-python,control_from_python:pathlib,python
systems-selection-control-012-src-algorithms,control_from_algorithms:binary_search,algorithms
systems-selection-control-039-src-frontend,control_from_frontend:frontend_original,frontend
systems-selection-control-015-src-sql,control_from_sql:window_latest,sql
systems-selection-control-016-src-python,control_from_python:generators,python
systems-selection-control-026-src-algorithms,control_from_algorithms:topological_sort,algorithms
systems-selection-control-048-src-frontend,control_from_frontend:frontend_original,frontend
systems-selection-control-038-src-sql,control_from_sql:joins,sql
systems-selection-control-013-src-python,control_from_python:pathlib,python
systems-selection-control-049-src-algorithms,control_from_algorithms:binary_search,algorithms
systems-selection-control-023-src-frontend,control_from_frontend:frontend_original,frontend
systems-selection-control-022-src-sql,control_from_sql:conditional_aggregation,sql
systems-selection-control-035-src-python,control_from_python:sorting,python
systems-selection-control-019-src-algorithms,control_from_algorithms:top_k,algorithms
systems-selection-control-007-src-frontend,control_from_frontend:frontend_original,frontend
systems-selection-control-021-src-sql,control_from_sql:max_per_group,sql
systems-selection-control-018-src-python,control_from_python:zip,python
systems-selection-control-034-src-algorithms,control_from_algorithms:intervals,algorithms
systems-selection-control-004-src-frontend,control_from_frontend:frontend_original,frontend
systems-selection-control-032-src-sql,control_from_sql:max_per_group,sql
systems-selection-control-010-src-python,control_from_python:dicts,python
systems-selection-control-043-src-algorithms,control_from_algorithms:intervals,algorithms
systems-selection-control-047-src-frontend,control_from_frontend:frontend_original,frontend
systems-selection-control-046-src-sql,control_from_sql:conditional_aggregation,sql
systems-selection-control-005-src-python,control_from_python:dicts,python
systems-selection-control-020-src-algorithms,control_from_algorithms:binary_search,algorithms
systems-selection-control-028-src-frontend,control_from_frontend:frontend_original,frontend
systems-selection-control-042-src-algorithms,control_from_algorithms:union_find,algorithms
systems-selection-control-009-src-frontend,control_from_frontend:frontend_original,frontend
