layer,expert,panel_group,selection_supervised_routing_mass,selection_supervised_selected_rate,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,precise_target_grad_l2,precise_control_grad_l2,precise_grad_dot,precise_grad_cosine,precise_grad_specific,precise_grad_ratio
1,126,population_random,0.0,0.0,0.0176219306886196,0.0239485241472721,-0.0003394624218344,0.0167285579543349,0.0222418471605481,0.0001598435846972,0.4296015634983919,4.7172583923831e-05,0.7521208932347753
2,236,population_random,0.000536552400190114,0.005703422053231939,0.0085619650781154,0.0074562211520969,0.0029697992140427,0.0081677149400723,0.0103584917090041,2.9439640456985217e-05,0.3479648751062305,0.0003988461583192,0.7885042696113821
3,52,population_random,0.004537488117870723,0.022813688212927757,0.0092917010188102,0.0059845703653991,0.0048032732447609,0.0080229429736782,0.0052633491152143,6.029687256159377e-06,0.1427903651630889,0.0040754311372674,1.5243037838707336
4,127,population_random,0.005012773288973384,0.030418250950570342,0.018543355166912,0.0143421217799186,0.007786763831973,0.0155793735485728,0.0168073548535635,1.1503174164317898e-06,0.0043930721429443,0.0029738574084001,0.9269378604416576
5,228,population_random,0.0010508258079847909,0.009505703422053232,0.0051567247137427,0.0,0.0051567247137427,0.0046399058603291,0.0,0.0,0.0,0.0046399058603291,4639905860.329133
6,51,population_random,0.014231170538260457,0.14068441064638784,0.0163754187524318,0.0085598463192582,0.0099555340129882,0.0151414217391587,0.0083300461630834,1.4390951491805026e-05,0.1140973203771556,0.0088938871168461,1.817687614318858
7,9,population_random,0.006762602483365019,0.04752851711026616,0.0483009181916713,0.0107048088684678,0.0402723115403205,0.0409012851240649,0.0103098825881861,7.871426169003826e-05,0.1866649391332232,0.0331688731829253,3.967192135336796
8,115,population_random,0.003605019456986692,0.043726235741444866,0.0240690317004919,0.0235263239592313,0.0064242887310683,0.0224077830626875,0.0246611389215965,-7.547439849986404e-06,-0.0136580167060091,0.0039119288714902,0.9086272589850172
9,184,population_random,0.0001448134505703422,0.0019011406844106464,0.0,0.0057410625740885,-0.0043057969305664,0.0,0.0047585025701934,0.0,0.0,-0.0035688769276451,0.0
10,73,population_random,0.0030011659339353614,0.028517110266159697,0.0178032107651233,0.0084811402484774,0.0114423555787652,0.0147497453849759,0.0067759646058693,-6.598397206403206e-07,-0.0066021107171291,0.0096677719305739,2.176774266208968
11,80,population_random,0.0007500594106463878,0.009505703422053232,0.0306696314364671,0.0068910256959497,0.0255013621645048,0.038935397160761,0.0227991527862932,7.110382853170449e-06,0.0080099474629566,0.0218360325710411,1.7077563155092812
12,67,population_random,0.001065678469581749,0.009505703422053232,0.1935378313064575,0.0814718976616859,0.132433908060193,0.1893882837137439,0.1226389553092734,0.0090035465545952,0.3876431051764202,0.0974090672317888,1.5442750897102506
13,64,population_random,0.0038347715660646386,0.02091254752851711,0.017621548846364,0.0077976337634027,0.0117733235238119,0.0199752512721726,0.0064978537787278,2.881963681033995e-07,0.0022203749457159,0.0151018609381267,3.0741306205584213
14,245,population_random,0.0,0.0,0.0,0.0074265715666115,-0.0055699286749586,0.0,0.0061755306830507,0.0,0.0,-0.004631648012288,0.0
15,174,population_random,0.000390346512595057,0.0076045627376425855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,213,population_random,0.0001633792775665399,0.0019011406844106464,0.0,0.0177514813840389,-0.0133136110380291,0.0,0.0152770200537554,0.0,0.0,-0.0114577650403165,0.0
17,109,population_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,76,population_random,0.0024906056915399238,0.017110266159695818,0.2794309556484222,0.3755871653556824,-0.0022594183683395,0.2918548579995566,0.3973323557799203,0.0111557557247579,0.0962006789619743,-0.0061444088353836,0.7345358457554827
19,188,population_random,0.005178009149239543,0.049429657794676805,0.0176704805344343,0.009539189748466,0.0105160882230848,0.0148024902405408,0.0079568056184364,-2.020806562086364e-07,-0.0017157389537868,0.0088348860267135,1.8603558951323569
20,124,population_random,0.009205865316064639,0.09505703422053231,1.417957782745361,0.8507736921310425,0.7798775136470795,1.3462416591403612,1.0063452870999527,0.3195775002241134,0.2358881653906861,0.5914826938153966,1.3377532308205775
21,105,population_random,0.0016207966967680609,0.019011406844106463,0.2317718863487243,0.3234939575195312,-0.010848581790924,0.2169914768355,0.2897330766871049,0.0142729948274791,0.2270253503478329,-0.0003083306798287,0.7489358112504683
22,138,population_random,0.00018194510456273765,0.0019011406844106464,0.1090200319886207,0.0652062073349952,0.0601153764873743,0.0981663648792255,0.0691579730958621,0.0028033151174895,0.4129209838382257,0.0462978850573289,1.4194511562930632
23,57,population_random,0.04683926078303232,0.3612167300380228,0.6735427975654602,0.0120743494480848,0.6644870354793966,0.5878757588987746,0.0151944604526136,0.0002254987921332,0.0252448842899055,0.5764799135593144,38.6901371518568
24,83,population_random,0.005788824857414449,0.051330798479087454,0.2524665594100952,0.4571717977523803,-0.09041228890419,0.2153446124633493,0.3854725825069363,0.0005101604692754,0.0061458123959907,-0.0737598244168529,0.5586509189895904
25,180,population_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,142,population_random,0.0,0.0,0.0082244081422686,0.0046224002726376,0.0047576079377904,0.0078919026892006,0.0079203942097187,4.70554568892112e-05,0.7528032327875432,0.0019516070319115,0.996402764715986
27,31,population_random,0.0,0.0,0.0058475160039961,0.0038306906353682,0.0029744980274699,0.00549656147005,0.0049813995509786,1.3848304661223663e-05,0.5057712548901742,0.001760511806816,1.103417104509678
28,251,population_random,0.0,0.0,0.0472158603370189,0.403871476650238,-0.2556877471506595,0.0447900979858729,0.3667474808915207,0.0008695845608599,0.0529374074528293,-0.2302705126827675,0.1221278954033202
29,10,population_random,0.0,0.0,0.0,0.8928559422492981,-0.6696419566869736,0.0,0.7407349879043647,0.0,0.0,-0.5555512409282735,0.0
30,189,population_random,0.000594106463878327,0.005703422053231939,0.1275194734334945,0.3497813045978546,-0.1348165050148964,0.1608881451101753,0.3215005926164561,0.0003429869866522,0.0066308899503538,-0.0802372993521667,0.5004287668657934
31,54,population_random,0.0021025799073193917,0.030418250950570342,0.0435998700559139,0.0230313874781131,0.026326329447329,0.0360917763691642,0.023905174713869,1.1737370755326992e-06,0.0013604125923888,0.0181628953337624,1.509789273646896
32,176,population_random,0.0049417590007129275,0.04752851711026616,0.2140905559062957,0.1462803184986114,0.1043803170323371,0.1788060998039557,0.1221757547838502,-8.795545068096544e-05,-0.0040262004892303,0.0871742837160681,1.4635154095739435
33,128,population_random,0.0053887312856463875,0.060836501901140684,0.4634394645690918,0.2138740420341491,0.3030339330434799,0.4042670059227697,0.2113495220062842,0.0202082265168428,0.2365149695156468,0.2457548644180565,1.91278883473811
34,230,population_random,0.00215595665993346,0.026615969581749048,0.0046282624825835,0.0540264695882797,-0.0358915897086262,0.0040341766145698,0.049212908965883,1.928797587424924e-06,0.0097152215696959,-0.0328755051098423,0.0819739515354524
