example_id,topic,source_capability
systems-selection-target-018,dns,systems
systems-selection-target-011,find,systems
systems-selection-target-037,tar,systems
systems-selection-target-010,permissions,systems
systems-selection-target-025,systemd,systems
systems-selection-target-044,signals,systems
systems-selection-target-049,storage,systems
systems-selection-target-046,journald,systems
systems-selection-target-043,sockets,systems
systems-selection-target-032,grep,systems
systems-selection-target-048,dns,systems
systems-selection-target-021,find,systems
systems-selection-target-017,tar,systems
systems-selection-target-000,permissions,systems
systems-selection-target-015,systemd,systems
systems-selection-target-034,signals,systems
systems-selection-target-009,storage,systems
systems-selection-target-026,journald,systems
systems-selection-target-013,sockets,systems
systems-selection-target-022,grep,systems
systems-selection-target-038,dns,systems
systems-selection-target-031,find,systems
systems-selection-target-007,tar,systems
systems-selection-target-030,permissions,systems
systems-selection-target-035,systemd,systems
systems-selection-target-014,signals,systems
systems-selection-target-029,storage,systems
systems-selection-target-006,journald,systems
systems-selection-target-003,sockets,systems
systems-selection-target-042,grep,systems
systems-selection-target-028,dns,systems
systems-selection-target-001,find,systems
systems-selection-target-027,tar,systems
systems-selection-target-020,permissions,systems
systems-selection-target-045,systemd,systems
systems-selection-target-024,signals,systems
systems-selection-target-019,storage,systems
systems-selection-target-016,journald,systems
systems-selection-target-033,sockets,systems
systems-selection-target-002,grep,systems
systems-selection-target-008,dns,systems
systems-selection-target-041,find,systems
systems-selection-target-047,tar,systems
systems-selection-target-040,permissions,systems
systems-selection-target-005,systemd,systems
systems-selection-target-004,signals,systems
systems-selection-target-039,storage,systems
systems-selection-target-036,journald,systems
systems-selection-target-023,sockets,systems
systems-selection-target-012,grep,systems
