method,family,order_seed,lr,trainable_params,budget_rel_error,pairs_json,lora_layers_json,lora_rank,updates,train_wall_seconds,mean_grad_norm,parameter_delta_l2,relative_parameter_delta,peak_gpu_gib,delta_merge_max_nll_diff,surrogate_target_improvement,surrogate_control_improvement,target_improvement,control_improvement,control_damage,specific_gain,relative_target_improvement,relative_control_improvement,relative_utility_score,relative_specific_gain,target_token_acc,generation_accuracy,base_generation_accuracy,generation_accuracy_gain
random_experts,full_expert,11,1e-05,12582912,0.0,"[[5, 232], [6, 209], [10, 233], [35, 206]]",,,64,325.2267587184906,0.03087790889549069,1.0556605596598931,0.01187310015398238,64.67935943603516,0.185103178024292,0.01369786262512207,0.010812044143676758,0.012592077255249023,0.009887218475341797,-0.009887218475341797,0.0027048587799072266,0.01236479842674533,0.0053023401514497685,0.01236479842674533,0.007062458275295561,0.8269018530845642,0.8046875,0.796875,0.0078125
random_experts,full_expert,23,1e-05,12582912,0.0,"[[5, 232], [6, 209], [10, 233], [35, 206]]",,,64,325.01159715652466,0.030859952501486987,1.0604302911275072,0.011926745711642343,64.67935943603516,0.11124694347381592,0.01357877254486084,0.007080435752868652,0.011131763458251953,0.008645772933959961,-0.008645772933959961,0.002485990524291992,0.01093084234677155,0.004636574895394815,0.01093084234677155,0.0062942674513767356,0.8264721035957336,0.7890625,0.796875,-0.0078125
random_experts,full_expert,47,1e-05,12582912,0.0,"[[5, 232], [6, 209], [10, 233], [35, 206]]",,,64,324.8954436779022,0.03081538830883801,1.0610594432875762,0.011933821837145222,64.67935943603516,0.12549424171447754,0.012422323226928711,0.006481528282165527,0.014216184616088867,0.009761452674865723,-0.009761452674865723,0.0044547319412231445,0.013959591702954535,0.00523489418014787,0.013959591702954535,0.008724697522806666,0.8281281590461731,0.796875,0.796875,0.0
routing_experts,full_expert,11,1e-05,12582912,0.0,"[[5, 177], [8, 129], [19, 64], [24, 52]]",,,64,325.141713142395,0.6529621342197061,0.6304487835016251,0.007149640378224195,64.67935943603516,0.11369383335113525,0.10252189636230469,-0.0015636682510375977,0.10093969106674194,0.0012774467468261719,-0.0012774467468261719,0.09966224431991577,0.09911779510230838,0.000685072064901564,0.09911779510230838,0.09843272303740681,0.8324955701828003,0.78125,0.796875,-0.015625
routing_experts,full_expert,23,1e-05,12582912,0.0,"[[5, 177], [8, 129], [19, 64], [24, 52]]",,,64,324.661150932312,0.6479527875781059,0.6306907189206443,0.007152384060639021,64.67935943603516,0.23648500442504883,0.10273957252502441,-0.004186153411865234,0.10129737854003906,0.00533294677734375,-0.00533294677734375,0.09596443176269531,0.09946902654867257,0.002859964902522991,0.09946902654867257,0.09660906164614957,0.8335019946098328,0.78125,0.796875,-0.015625
routing_experts,full_expert,47,1e-05,12582912,0.0,"[[5, 177], [8, 129], [19, 64], [24, 52]]",,,64,324.5086796283722,0.6507480582222342,0.635386691337481,0.007205639003601975,64.67935943603516,0.23724818229675293,0.10581386089324951,0.004076719284057617,0.10589969158172607,0.004621744155883789,-0.004621744155883789,0.10127794742584229,0.10398827082455402,0.0024785595330565173,0.10398827082455402,0.1015097112914975,0.8331490159034729,0.78125,0.796875,-0.015625
causal_experts,full_expert,11,1e-05,12582912,0.0,"[[6, 73], [8, 184], [19, 64], [21, 183]]",,,64,323.7598536014557,0.6792766801081598,0.6792571237152449,0.007802118586411882,64.67935943603516,0.11744379997253418,0.10319638252258301,0.002575516700744629,0.10347694158554077,0.006528496742248535,-0.006528496742248535,0.09694844484329224,0.10160924989464812,0.003501117173790048,0.10160924989464812,0.09810813272085807,0.8358832597732544,0.7734375,0.796875,-0.0234375
causal_experts,full_expert,23,1e-05,12582912,0.0,"[[6, 73], [8, 184], [19, 64], [21, 183]]",,,64,323.8797335624695,0.6711798971518874,0.6816266503855349,0.007829335567183685,64.67935943603516,0.12500739097595215,0.10575807094573975,0.0016570091247558594,0.10181540250778198,0.0027570724487304688,-0.0027570724487304688,0.09905833005905151,0.09997770051973592,0.00147856912253111,0.09997770051973592,0.09849913139720481,0.8361488580703735,0.8203125,0.796875,0.0234375
causal_experts,full_expert,47,1e-05,12582912,0.0,"[[6, 73], [8, 184], [19, 64], [21, 183]]",,,64,324.896027803421,0.6646398790180683,0.6862193311767605,0.007882088256719995,64.67935943603516,0.13637042045593262,0.10352593660354614,0.004629373550415039,0.10485386848449707,0.002733469009399414,-0.002733469009399414,0.10212039947509766,0.10296132415601442,0.001465911016068763,0.10296132415601442,0.10149541313994566,0.8360216617584229,0.78125,0.796875,-0.015625
gradient_experts,full_expert,11,1e-05,12582912,0.0,"[[18, 43], [20, 219], [21, 183], [30, 229]]",,,64,324.5257143974304,1.0556299639865756,0.9714574281692515,0.011270966658368726,64.67935943603516,0.06737136840820312,0.3468625545501709,0.2390444278717041,0.348247230052948,0.23927128314971924,-0.23927128314971924,0.10897594690322876,0.34196159338858456,0.12831695131423748,0.34196159338858456,0.21364464207434708,0.8442707657814026,0.7109375,0.796875,-0.0859375
