layer,expert,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank
19,64,4051,3639,0.8982967168600345,0.1638275801885337,1
24,52,4051,3695,0.9121204640829425,0.15938164139641448,2
8,129,4051,3701,0.9136015798568254,0.15835975829656257,3
5,177,4051,3685,0.9096519377931375,0.15617032734972847,4
2,120,4051,3548,0.8758331276228092,0.14578708864323625,5
11,6,4051,3701,0.9136015798568254,0.14395479848725623,6
6,108,4051,3436,0.8481856331769934,0.14270317851687855,7
13,207,4051,2674,0.6600839298938533,0.12204680846550235,8
25,244,4051,3281,0.809923475685016,0.11963794626326833,9
18,112,4051,3178,0.7844976549000247,0.11939205790236979,10
35,228,4051,3027,0.7472229079239694,0.11180628143513947,11
12,252,4051,2886,0.7124166872377191,0.11130233082880771,12
11,217,4051,2826,0.6976055294988892,0.1103559017063688,13
7,112,4051,2829,0.6983460873858307,0.10907963263314614,14
27,247,4051,2856,0.7050111083683042,0.10760797873981733,15
21,221,4051,2674,0.6600839298938533,0.10702176401274377,16
23,209,4051,2878,0.7104418662058751,0.10572765598000494,17
28,75,4051,3027,0.7472229079239694,0.10495057643945939,18
38,148,4051,2391,0.5902246358923723,0.10263404290607257,19
15,26,4051,2756,0.6803258454702542,0.10195387230776351,20
14,8,4051,3035,0.7491977289558134,0.09814712272047026,21
20,125,4051,2432,0.6003455936805727,0.09501716879319921,22
24,208,4051,2599,0.641569982720316,0.09438659773435572,23
21,153,4051,2533,0.6252777092076031,0.09344143421377438,24
7,218,4051,2723,0.6721797087138978,0.0932411075197482,25
14,2,4051,2424,0.5983707726487287,0.09071882328437422,26
17,185,4051,2929,0.7230313502838805,0.09031575922611701,27
11,0,4051,2413,0.5956553937299432,0.08849232828313996,28
24,233,4051,2951,0.7284621081214515,0.08733104817869045,29
18,100,4051,2489,0.6144161935324611,0.08699620608723155,30
29,143,4051,2511,0.6198469513700321,0.0865710843965996,31
16,64,4051,2604,0.6428042458652184,0.08402071585333869,32
15,23,4051,2302,0.5682547519131079,0.08349344201277463,33
15,46,4051,2297,0.5670204887682054,0.08337369197034683,34
16,28,4051,2606,0.6432979511231794,0.08313581908787954,35
30,204,4051,2456,0.6062700567761047,0.08215744858522588,36
2,254,4051,2326,0.5741792150086399,0.0806991739115342,37
16,47,4051,2194,0.541594667983214,0.0804070006827018,38
9,185,4051,2031,0.5013576894593927,0.07783138036904468,39
21,206,4051,2100,0.5183905208590471,0.07769330923305974,40
23,230,4051,2177,0.5373981732905455,0.07735358553443594,41
30,201,4051,1822,0.4497654900024685,0.07677146894671069,42
13,121,4051,2089,0.5156751419402616,0.07617494860451123,43
18,135,4051,2122,0.5238212786966181,0.07576404986808813,44
15,76,4051,2076,0.5124660577635152,0.07529656064860528,45
17,88,4051,2171,0.5359170575166625,0.07460807323808936,46
22,3,4051,2292,0.5657862256233029,0.07372154927024191,47
16,52,4051,2025,0.49987657368550975,0.073706301781196,48
18,22,4051,2317,0.5719575413478154,0.07337182129026784,49
30,123,4051,2284,0.563811404591459,0.07335657380122192,50
19,66,4051,2194,0.541594667983214,0.07263915834824734,51
22,200,4051,2263,0.5586274993828684,0.07063926634627253,52
25,129,4051,1916,0.4729696371266354,0.06934997965394347,53
12,72,4051,2161,0.5334485312268575,0.06778099495109233,54
37,226,4051,1811,0.44705011108368303,0.06760561869368674,55
32,33,4051,1669,0.41199703776845226,0.06724871896985313,56
17,40,4051,1846,0.4556899530980005,0.06676785053073316,57
10,97,4051,1606,0.3964453221426808,0.06531873640382005,58
12,68,4051,1773,0.4376697111824241,0.0646215103138114,59
36,43,4051,1393,0.34386571216983464,0.0646109033649099,60
31,32,4051,2059,0.5082695630708467,0.06373353994384102,61
14,200,4051,1363,0.33646013330041963,0.06340797893267094,62
13,212,4051,1812,0.44729696371266353,0.06311231023204147,63
16,96,4051,1812,0.44729696371266353,0.06309646007544434,64
14,41,4051,1771,0.4371760059244631,0.06126013204687114,65
26,138,4051,1421,0.3507775857812886,0.061089396329609975,66
17,56,4051,1662,0.41026906936558877,0.06022794333189336,67
26,76,4051,1597,0.3942236484818563,0.05881300045513453,68
5,35,4051,1484,0.36632930140706,0.05866631117316712,69
27,20,4051,1389,0.3428783016539126,0.057951667990928164,70
20,24,4051,1555,0.3838558380646754,0.05747730836136139,71
1,107,4051,838,0.20686250308565787,0.05727897047025426,72
28,183,4051,1560,0.3850901012095779,0.056641950868612685,73
39,33,4051,1558,0.3845963959516169,0.05654371605776352,74
23,137,4051,1514,0.37373488027647495,0.056228460661719326,75
12,78,4051,1558,0.3845963959516169,0.055503873464885216,76
37,151,4051,1546,0.3816341644038509,0.05536875539990126,77
39,134,4051,1372,0.3386818069612441,0.055175359382714145,78
31,181,4051,1476,0.364354480375216,0.05501932875370279,79
19,200,4051,1747,0.43125154282893113,0.05494405557655517,80
9,35,4051,1493,0.3685509750678845,0.054476325290051836,81
38,81,4051,1496,0.369291532954826,0.05444112950506048,82
10,241,4051,1505,0.37151320661565046,0.053947785847630214,83
34,57,4051,1246,0.3075783757097013,0.053638496860343124,84
8,19,4051,1719,0.4243396692174772,0.05262939031257714,85
24,1,4051,1722,0.4250802271044187,0.05253555497485189,86
32,238,4051,1158,0.28585534435941745,0.05215671815215379,87
17,112,4051,1544,0.3811404591458899,0.05211850902940632,88
16,137,4051,1243,0.3068378178227598,0.051677416648667,89
29,95,4051,1443,0.35620834361885956,0.050078117767989386,90
33,202,4051,1401,0.3458405332016786,0.04982915580257961,91
15,4,4051,1401,0.3458405332016786,0.04931905798722538,92
4,156,4051,1347,0.33251049123673165,0.04923203279282893,93
35,191,4051,1176,0.2902986916810664,0.04892991554940138,94
9,205,4051,1461,0.36065169094050853,0.04887923120834362,95
17,167,4051,1255,0.3098000493705258,0.04885150850098741,96
7,96,4051,1711,0.4223648481856332,0.04848707543276352,97
27,66,4051,1217,0.30041964946926686,0.04842506094174278,98
26,9,4051,1525,0.37645025919526043,0.048201411013484324,99
33,183,4051,1448,0.35744260676376205,0.04818284885290669,100
27,82,4051,1293,0.31918044927178474,0.047932319951863735,101
29,218,4051,1080,0.2666008392989385,0.04789658176607628,102
9,121,4051,1340,0.33078252283386816,0.04765238087432116,103
36,164,4051,1131,0.27919032337694394,0.047476462216119474,104
37,19,4051,1552,0.3831152801777339,0.047441507498148607,105
27,182,4051,1597,0.3942236484818563,0.04717392310540607,106
4,16,4051,1280,0.31597136509503826,0.04637653366838435,107
5,84,4051,878,0.2167366082448778,0.04611648262003209,108
22,113,4051,1052,0.25968896568748456,0.04607188522124167,109
12,154,4051,1451,0.35818316465070354,0.04594213089746359,110
11,123,4051,1396,0.34460627005677613,0.045881562808565785,111
24,87,4051,1116,0.27548753394223646,0.045685273987132805,112
36,252,4051,1044,0.2577141446556406,0.0456580936805727,113
12,106,4051,1427,0.3522587015551716,0.04547608808010368,114
17,1,4051,1156,0.28536163910145645,0.045397259164403854,115
38,169,4051,1183,0.2920266600839299,0.045337715610343124,116
28,114,4051,1254,0.3095531967415453,0.04437386939567391,117
34,136,4051,999,0.24660577635151815,0.04399316430356702,118
28,72,4051,1158,0.28585534435941745,0.043866242517279684,119
29,194,4051,1321,0.3260923228832387,0.04361179627715379,120
25,39,4051,1680,0.41471241668723774,0.043198004736484816,121
9,214,4051,1289,0.31819303875586274,0.04317552523682424,122
25,253,4051,1174,0.2898049864231054,0.042183353647247596,123
38,215,4051,1152,0.28437422858553446,0.041986884025549245,124
35,250,4051,1196,0.2952357442606764,0.04185616543368921,125
7,114,4051,1088,0.2685756603307825,0.04158436236808813,126
26,220,4051,1154,0.28486793384349546,0.041579962894964205,127
20,22,4051,1048,0.25870155517156257,0.04153090575629474,128
28,79,4051,1029,0.2540113552209331,0.04152976068794742,129
27,6,4051,1335,0.3295482596889657,0.04122993358121452,130
32,14,4051,1028,0.2537645025919526,0.04112977023420143,131
7,252,4051,1384,0.3416440385090101,0.04104352850762157,132
39,52,4051,837,0.20661565045667737,0.04015043546346581,133
15,174,4051,1125,0.27770920760306095,0.040037555831121945,134
30,41,4051,1122,0.27696864971611945,0.04002019900564675,135
6,173,4051,1080,0.2666008392989385,0.03960815520087633,136
25,175,4051,1188,0.2932609232288324,0.03945375177425327,137
10,62,4051,991,0.24463095531967416,0.039438202951431744,138
14,3,4051,1207,0.2979511231794619,0.03931893504304493,139
16,220,4051,1037,0.2559861762527771,0.03909227177703036,140
34,5,4051,1225,0.30239447050111085,0.039090765108152306,141
11,243,4051,947,0.2337694396445322,0.038932805942977045,142
37,79,4051,829,0.2046408294248334,0.038482613282214265,143
15,44,4051,1299,0.32066156504566773,0.03822641930618983,144
21,17,4051,985,0.24314983954579117,0.03819345339113799,145
32,15,4051,1028,0.2537645025919526,0.038037663829147125,146
2,253,4051,1271,0.3137496914342138,0.03802603234540854,147
4,71,4051,1040,0.2567267341397186,0.03748049767804246,148
20,23,4051,1299,0.32066156504566773,0.03744337335688719,149
2,194,4051,970,0.2394470501110837,0.03707526401660084,150
25,231,4051,1013,0.2500617131572451,0.03683690900009257,151
25,154,4051,1113,0.27474697605529497,0.036633930568841025,152
22,87,4051,1099,0.271291039249568,0.0365722174115959,153
5,12,4051,1102,0.2720315971365095,0.03627516257559862,154
10,200,4051,1078,0.2661071340409775,0.03612401355375216,155
22,158,4051,1136,0.28042458652184643,0.03598124161086769,156
1,28,4051,851,0.21007158726240435,0.03585883983121452,157
15,99,4051,1238,0.3056035546778573,0.03535121295282029,158
25,234,4051,1039,0.2564798815107381,0.035143292647648726,159
6,155,4051,1006,0.24833374475438164,0.03509140297148852,160
1,139,4051,760,0.18760799802517897,0.03499099855745495,161
27,87,4051,948,0.2340162922735127,0.03494344808766354,162
30,144,4051,915,0.22587015551715625,0.03493386567359911,163
32,70,4051,1179,0.2910392495680079,0.03486015943208467,164
34,186,4051,1128,0.27844976549000244,0.03483044792180943,165
6,237,4051,1064,0.26265119723525054,0.034598601714854356,166
13,234,4051,897,0.22142680819550728,0.03441695771491607,167
3,123,4051,859,0.21204640829424834,0.03434710854572945,168
23,90,4051,1061,0.26191063934830905,0.03396326958235621,169
11,138,4051,1264,0.3120217230313503,0.03392512072636386,170
37,67,4051,936,0.23105406072574672,0.03388636920282029,171
25,65,4051,1070,0.26413231300913353,0.03382357124398297,172
23,105,4051,1048,0.25870155517156257,0.03381049335812145,173
14,20,4051,1244,0.3070846704517403,0.033789399993828684,174
8,15,4051,960,0.2369785238212787,0.0336886942460195,175
35,93,4051,970,0.2394470501110837,0.033681341701894595,176
14,16,4051,1057,0.26092322883238706,0.033073310409466795,177
22,44,4051,1123,0.27721550234509995,0.033059147722013085,178
